GEO_ID,C03002_001E,C03002_001M,C03002_002E,C03002_002M,C03002_003E,C03002_003M,C03002_004E,C03002_004M,C03002_005E,C03002_005M,C03002_006E,C03002_006M,C03002_007E,C03002_007M,C03002_008E,C03002_008M,C03002_009E,C03002_009M,C03002_010E,C03002_010M,C03002_011E,C03002_011M,C03002_012E,C03002_012M,NAME,C03002_001EA,C03002_001MA,C03002_002EA,C03002_002MA,C03002_003EA,C03002_003MA,C03002_004MA,C03002_004EA,C03002_005EA,C03002_005MA,C03002_006MA,C03002_006EA,C03002_007EA,C03002_007MA,C03002_008EA,C03002_008MA,C03002_009MA,C03002_009EA,C03002_010EA,C03002_010MA,C03002_011MA,C03002_011EA,C03002_012EA,C03002_012MA,state
0400000US39,11594163,-555555555,11195457,1832,9277608,2747,1402190,9075,16856,1806,223984,4862,3026,1311,14657,2849,257136,9822,6878,2007,250258,9906,398706,1832,Ohio,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3878051,-555555555,3499172,714,2597146,626,281252,4354,276829,5463,75854,2783,4436,911,1856,696,261799,7860,1776,709,260023,7850,378879,714,Oklahoma,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3970239,-555555555,3473448,-555555555,3052407,2154,68775,3409,35628,2882,157528,4163,13483,1711,5872,2221,139755,5812,1997,870,137758,5758,496791,-555555555,Oregon,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,41
0400000US42,12787209,-555555555,11949722,1034,9937668,4362,1359575,8543,16827,1901,396372,4858,2989,1288,23044,4848,213247,9047,7423,1558,205824,8791,837487,1034,Pennsylvania,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1055173,-555555555,907077,-555555555,781398,1569,58095,2455,4386,702,34934,1922,385,421,6084,2013,21795,3223,4329,1815,17466,2681,148096,-555555555,Rhode Island,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,44
0400000US45,4832482,-555555555,4575078,860,3082187,1352,1311369,6651,13607,1756,68331,2537,2916,1696,5476,1854,91192,6823,915,557,90277,6715,257404,860,South Carolina,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,853175,-555555555,824456,1214,709585,340,14260,1891,67725,2110,11001,1195,384,414,495,354,21006,2752,335,267,20671,2719,28719,1214,South Dakota,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6549352,-555555555,6227013,1777,4881929,2029,1098287,6992,14900,2189,101866,3782,3036,1208,6263,2397,120732,7213,2323,1041,118409,7309,322339,1777,Tennessee,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26956958,-555555555,16548720,1826,11708178,5418,3150560,12663,62460,4003,1151731,9003,17270,2086,34121,5987,424400,13052,20217,3769,404183,13072,10408238,1826,Texas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2942902,-555555555,2545802,447,2330356,2210,31816,2045,30223,2339,64918,2748,24808,2191,5396,2191,58285,4698,806,442,57479,4571,397100,447,Utah,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,626562,-555555555,615787,584,584101,1464,5899,992,2342,765,9933,1118,365,370,1351,850,11796,2212,78,75,11718,2223,10775,584,Vermont,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8326289,-555555555,7594318,2514,5242578,3799,1572488,9407,17392,1999,507648,6904,4336,1609,20639,4569,229237,10121,7506,2532,221731,9710,731971,2514,Virginia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,7061530,-555555555,6202752,-555555555,4960822,3247,242656,6857,80907,3818,550240,5298,43761,2201,9989,3333,314377,8888,5791,1947,308586,9229,858778,-555555555,Washington,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,53
0400000US54,1850326,-555555555,1825823,1679,1713147,1738,67307,3348,3364,1104,11642,1694,90,152,1343,769,28930,3081,1060,744,27870,2959,24503,1679,West Virginia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5757564,-555555555,5386582,455,4731591,967,357934,4085,46200,2281,149258,3160,1197,604,2751,1142,97651,5219,2062,770,95589,5185,370982,455,Wisconsin,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,584153,-555555555,527088,-555555555,490892,356,5912,968,13331,1433,5515,1069,837,674,149,234,10452,2125,248,265,10204,2100,57065,-555555555,Wyoming,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,56
0400000US72,3548397,-555555555,34118,3817,23709,2697,3388,1422,0,220,2691,1546,118,139,1702,801,2510,870,0,220,2510,870,3514279,3817,Puerto Rico,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
