GEO_ID,C17001F_001E,C17001F_001M,C17001F_002E,C17001F_002M,C17001F_003E,C17001F_003M,C17001F_004E,C17001F_004M,C17001F_005E,C17001F_005M,C17001F_006E,C17001F_006M,C17001F_007E,C17001F_007M,C17001F_008E,C17001F_008M,C17001F_009E,C17001F_009M,C17001F_010E,C17001F_010M,C17001F_011E,C17001F_011M,C17001F_012E,C17001F_012M,C17001F_013E,C17001F_013M,C17001F_014E,C17001F_014M,C17001F_015E,C17001F_015M,C17001F_016E,C17001F_016M,C17001F_017E,C17001F_017M,C17001F_018E,C17001F_018M,C17001F_019E,C17001F_019M,NAME,C17001F_001MA,C17001F_001EA,C17001F_002MA,C17001F_002EA,C17001F_003EA,C17001F_003MA,C17001F_004EA,C17001F_004MA,C17001F_005EA,C17001F_005MA,C17001F_006MA,C17001F_006EA,C17001F_007MA,C17001F_007EA,C17001F_008MA,C17001F_008EA,C17001F_009EA,C17001F_009MA,C17001F_010EA,C17001F_010MA,C17001F_011EA,C17001F_011MA,C17001F_012MA,C17001F_012EA,C17001F_013MA,C17001F_013EA,C17001F_014EA,C17001F_014MA,C17001F_015EA,C17001F_015MA,C17001F_016EA,C17001F_016MA,C17001F_017MA,C17001F_017EA,C17001F_018MA,C17001F_018EA,C17001F_019MA,C17001F_019EA,state
0400000US01,68587,6659,27974,5544,13737,3070,7008,1800,6560,1724,169,275,14237,2963,7294,1857,6943,1529,0,189,40613,5188,23698,3156,9118,1891,14141,2019,439,324,16915,3322,5886,2198,10446,1756,583,365,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9258,2139,1522,1136,466,417,233,347,233,198,0,145,1056,962,342,390,714,614,0,145,7736,2193,4255,1126,407,292,3837,1063,11,18,3481,1475,902,835,2330,839,249,197,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,423627,21246,125150,13201,57956,6974,25908,3549,30104,4543,1944,538,67194,7564,26807,3979,37326,4064,3061,1007,298477,17548,151042,10196,39141,4423,105103,7851,6798,1165,147435,9053,38950,3975,99674,6525,8811,1279,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,49373,5640,13627,2579,6666,1765,3262,1176,3348,1148,56,92,6961,1636,2447,896,4316,1087,198,205,35746,5533,20549,3254,6920,1844,13143,2172,486,303,15197,2762,5523,1358,9320,1718,354,295,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5016409,53814,1216457,36628,560114,18533,257357,11296,281735,10187,21022,2492,656343,20948,245549,10830,380105,12675,30689,3099,3799952,49754,1978673,30153,502861,14330,1382387,20731,93425,4682,1821279,25244,486362,11537,1213826,17697,121091,5316,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,213218,14355,49973,8003,22590,4559,10120,2739,11698,2328,772,418,27383,4221,10920,2675,14942,2187,1521,597,163245,12660,89563,7123,24723,3959,60288,4319,4552,849,73682,6676,18548,2946,50011,4415,5123,950,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,190868,11842,54597,7138,24855,4229,9390,2626,14182,2342,1283,655,29742,3868,9719,2436,17606,2069,2417,605,136271,10325,74481,5925,20924,2845,51642,4523,1915,566,61790,5788,16640,2407,42759,4062,2391,770,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20287,3417,4878,2318,2229,1273,958,780,1200,649,71,113,2649,1432,1257,1141,1351,651,41,68,15409,3197,8023,1614,1715,756,6064,1242,244,203,7386,1948,1959,879,5123,1244,304,246,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28209,4667,5830,2524,2292,1505,512,521,1376,863,404,531,3538,1507,1418,1134,2003,772,117,139,22379,4418,13362,2716,3252,1128,10082,2166,28,52,9017,2156,1995,956,6947,1550,75,87,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,481684,24923,122733,11769,58278,6415,22801,3835,33792,4315,1685,642,64455,6903,22490,3804,37553,4270,4412,1287,358951,18539,185573,10658,43858,4496,130863,9435,10852,1671,173378,10657,35314,4314,124013,8570,14051,2835,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
