GEO_ID,B27023_001E,B27023_001M,B27023_002E,B27023_002M,B27023_003E,B27023_003M,B27023_004E,B27023_004M,B27023_005E,B27023_005M,B27023_006E,B27023_006M,B27023_007E,B27023_007M,B27023_008E,B27023_008M,B27023_009E,B27023_009M,B27023_010E,B27023_010M,B27023_011E,B27023_011M,B27023_012E,B27023_012M,B27023_013E,B27023_013M,B27023_014E,B27023_014M,B27023_015E,B27023_015M,NAME,B27023_001EA,B27023_001MA,B27023_002EA,B27023_002MA,B27023_003EA,B27023_003MA,B27023_004EA,B27023_004MA,B27023_005MA,B27023_005EA,B27023_006MA,B27023_006EA,B27023_007EA,B27023_007MA,B27023_008EA,B27023_008MA,B27023_009EA,B27023_009MA,B27023_010MA,B27023_010EA,B27023_011MA,B27023_011EA,B27023_012EA,B27023_012MA,B27023_013EA,B27023_013MA,B27023_014EA,B27023_014MA,B27023_015MA,B27023_015EA,state
0400000US01,467574,6126,236442,4205,82654,4871,67947,4722,14707,2502,153788,4730,90837,5035,62951,4219,231132,4148,97585,4804,78193,4153,19392,2379,133547,4440,75245,4286,58302,4395,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,77533,2780,41689,1979,12231,1931,10129,1776,2102,838,29458,2171,17601,2114,11857,1490,35844,1658,10033,1354,7824,1357,2209,692,25811,1786,14379,1455,11432,1533,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,649740,7633,329992,5296,123369,5646,89007,5098,34362,3575,206623,5979,110239,5023,96384,5369,319748,5041,132155,5410,90721,4620,41434,3512,187593,5349,95444,4118,92149,4757,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,280402,4997,138266,3578,46444,3553,38145,3202,8299,1374,91822,4781,51398,3827,40424,3403,142136,3103,55675,2888,40755,2638,14920,2020,86461,3660,46490,3322,39971,3011,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3962180,16411,2008818,12775,875883,13989,607695,12824,268188,8910,1132935,15371,633964,13790,498971,10341,1953362,11363,962659,14398,657687,13827,304972,9247,990703,13839,547156,12120,443547,11508,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,514008,7728,263883,5043,100257,5261,82506,4622,17751,2392,163626,6306,102474,4485,61152,4598,250125,4643,104878,4730,81775,4032,23103,2853,145247,4746,90860,4087,54387,3902,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,334201,4300,169216,3491,72654,3322,60818,3388,11836,1713,96562,3778,63542,3558,33020,3063,164985,3347,82603,3975,67458,3404,15145,2156,82382,4049,50590,3555,31792,2633,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,88991,3116,45413,2132,17257,1984,14940,1840,2317,809,28156,2629,17958,2184,10198,1759,43578,1904,20986,1786,17677,1636,3309,817,22592,2191,13826,1836,8766,1532,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,83718,2537,37416,1914,17414,1982,14363,1989,3051,783,20002,1995,11559,1939,8443,1333,46302,1619,24992,1855,21295,1840,3697,1069,21310,1705,14157,1687,7153,1227,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1776109,12416,889174,9029,352056,9235,255454,8682,96602,5274,537118,11466,278788,8607,258330,10575,886935,8837,411339,9842,284334,8709,127005,7059,475596,9915,243880,7756,231716,7563,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
