GEO_ID,B15002G_001E,B15002G_001M,B15002G_002E,B15002G_002M,B15002G_003E,B15002G_003M,B15002G_004E,B15002G_004M,B15002G_005E,B15002G_005M,B15002G_006E,B15002G_006M,B15002G_007E,B15002G_007M,B15002G_008E,B15002G_008M,B15002G_009E,B15002G_009M,B15002G_010E,B15002G_010M,B15002G_011E,B15002G_011M,B15002G_012E,B15002G_012M,B15002G_013E,B15002G_013M,B15002G_014E,B15002G_014M,B15002G_015E,B15002G_015M,B15002G_016E,B15002G_016M,B15002G_017E,B15002G_017M,B15002G_018E,B15002G_018M,B15002G_019E,B15002G_019M,NAME,B15002G_001EA,B15002G_001MA,B15002G_002EA,B15002G_002MA,B15002G_003MA,B15002G_003EA,B15002G_004MA,B15002G_004EA,B15002G_005MA,B15002G_005EA,B15002G_006EA,B15002G_006MA,B15002G_007EA,B15002G_007MA,B15002G_008EA,B15002G_008MA,B15002G_009MA,B15002G_009EA,B15002G_010EA,B15002G_010MA,B15002G_011EA,B15002G_011MA,B15002G_012EA,B15002G_012MA,B15002G_013EA,B15002G_013MA,B15002G_014MA,B15002G_014EA,B15002G_015MA,B15002G_015EA,B15002G_016EA,B15002G_016MA,B15002G_017EA,B15002G_017MA,B15002G_018EA,B15002G_018MA,B15002G_019MA,B15002G_019EA,state
0400000US01,33229,3137,15871,1753,937,462,1603,634,2955,828,1261,576,4323,1155,1322,742,1964,742,1506,687,17358,1954,446,278,2238,795,2684,835,1027,532,4056,965,2130,737,2429,700,2348,854,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23265,2017,10919,1165,160,186,781,410,2925,711,1203,494,3160,782,788,314,1306,570,596,292,12346,1630,221,223,277,162,1964,734,1194,527,4223,1023,1483,715,2258,744,726,355,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,86162,6116,43713,3611,2312,674,3177,929,7412,1400,2353,815,13901,2208,3968,1059,6637,1395,3953,881,42449,3390,3059,850,3077,965,6367,1352,1427,520,11728,1480,4585,1056,8075,1491,4131,1088,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26633,2698,12555,1694,778,366,1357,638,2687,882,1489,576,2379,704,1056,485,1817,757,992,496,14078,1704,829,487,710,313,2812,864,1537,590,3381,889,1496,626,1225,459,2088,833,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,779802,13689,377254,9246,21314,2400,30996,2830,61769,4407,13398,1935,106332,5337,30369,2856,75910,4563,37166,2670,402548,9039,25655,3193,25516,2234,60212,3756,10386,1563,111158,5217,39428,2757,82587,4242,47606,2589,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80197,4816,38623,3118,1204,565,2726,770,6670,1401,2416,671,9926,1447,3318,859,8820,1318,3543,742,41574,3148,1348,516,2779,857,7296,1353,1551,608,11034,1686,4772,1325,7748,1393,5046,1194,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,39775,3474,19462,2226,699,413,1038,579,4659,1256,1623,796,4100,1077,981,462,3413,1066,2949,882,20313,2270,786,482,2017,812,3827,955,840,506,5260,1173,1140,490,3746,856,2697,868,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6198,1289,2616,921,333,381,178,149,647,398,241,286,653,421,194,238,230,229,140,116,3582,890,235,166,86,94,718,565,105,112,901,344,565,393,476,315,496,355,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8217,1425,3436,771,88,130,57,97,59,71,95,113,298,198,343,325,965,314,1531,514,4781,1078,229,217,72,87,166,142,0,198,512,330,87,143,1402,570,2313,680,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,197454,9983,94634,6045,6616,1603,7702,1617,17154,2435,5909,1202,21332,2614,10886,1704,16023,2561,9012,1544,102820,6441,5849,1575,6705,1523,18853,2185,4030,1220,25870,3283,12600,2071,19468,2295,9445,1474,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
