GEO_ID,B14007H_001E,B14007H_001M,B14007H_002E,B14007H_002M,B14007H_003E,B14007H_003M,B14007H_004E,B14007H_004M,B14007H_005E,B14007H_005M,B14007H_006E,B14007H_006M,B14007H_007E,B14007H_007M,B14007H_008E,B14007H_008M,B14007H_009E,B14007H_009M,B14007H_010E,B14007H_010M,B14007H_011E,B14007H_011M,B14007H_012E,B14007H_012M,B14007H_013E,B14007H_013M,B14007H_014E,B14007H_014M,B14007H_015E,B14007H_015M,B14007H_016E,B14007H_016M,B14007H_017E,B14007H_017M,B14007H_018E,B14007H_018M,B14007H_019E,B14007H_019M,NAME,B14007H_001MA,B14007H_001EA,B14007H_002MA,B14007H_002EA,B14007H_003EA,B14007H_003MA,B14007H_004MA,B14007H_004EA,B14007H_005MA,B14007H_005EA,B14007H_006MA,B14007H_006EA,B14007H_007MA,B14007H_007EA,B14007H_008EA,B14007H_008MA,B14007H_009EA,B14007H_009MA,B14007H_010MA,B14007H_010EA,B14007H_011MA,B14007H_011EA,B14007H_012MA,B14007H_012EA,B14007H_013EA,B14007H_013MA,B14007H_014EA,B14007H_014MA,B14007H_015MA,B14007H_015EA,B14007H_016MA,B14007H_016EA,B14007H_017MA,B14007H_017EA,B14007H_018EA,B14007H_018MA,B14007H_019EA,B14007H_019MA,state
0400000US01,3108474,3669,699253,8563,33779,3073,34717,3122,33051,3085,38644,3176,35358,2769,32603,2920,35751,3175,39073,3003,40396,3514,40650,3017,39684,3145,37764,2508,38065,2441,36861,3202,152286,6225,30571,3315,2409221,8266,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,439637,1530,107266,3141,5023,995,5285,1090,4890,966,6091,988,4336,805,4580,849,5910,1056,4736,836,5807,1085,4593,1028,5493,942,5494,977,5431,901,5978,971,25633,2243,7986,1229,332371,3182,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3679714,3370,790384,8324,42812,2805,33610,3096,36862,2483,35979,3177,35492,3388,35783,2644,36989,2945,33707,2329,40055,3345,37722,2636,37773,2898,37821,2623,37866,2908,39100,3230,220070,6768,48743,3097,2889330,7853,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2109315,2937,488975,6441,33656,3343,24454,2502,25962,2702,24631,2571,26011,2089,24812,2317,22066,2558,25363,2030,26458,2082,25966,2325,26138,2432,26215,2110,26011,2373,24926,2362,108161,4560,18145,2312,1620340,5931,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14475036,9646,3048052,18647,174802,6614,132095,6094,123227,5450,132359,5334,131306,5801,130361,4757,138617,5827,130852,5485,130527,5981,134668,5948,139178,5187,142050,4933,145528,5605,164438,5891,873602,13927,224442,7107,11426984,18555,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3574041,3132,850527,9654,51018,2829,43047,2449,37962,2556,36927,2468,40239,2890,37911,2707,40654,2584,41942,2843,41552,3172,43075,2937,39429,2683,39564,2726,38808,2629,39258,2561,223337,6994,55804,4396,2723514,9548,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2407674,3212,558688,6076,32650,2696,19548,1965,22781,2191,21984,2138,25527,2139,26092,2278,26886,2637,28364,2313,27809,2468,31550,2328,28144,2372,31428,1732,30617,1979,32140,2344,140065,5261,33103,2819,1848986,6432,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,577965,1403,123619,3093,8312,1279,6556,1254,4542,849,4681,1035,6403,1056,5663,1190,5659,1075,5350,1186,5914,1146,6703,1124,5961,931,6225,1199,6456,997,5344,1037,32042,2261,7808,1363,454346,3267,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,227929,620,50577,2866,3821,723,1180,407,972,553,1707,550,1426,560,1109,445,1358,677,611,314,1099,562,593,333,651,350,593,247,959,337,750,305,19334,2016,14414,1679,177352,2818,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10788288,9960,2081141,13656,115118,5449,92068,5142,94827,4723,100238,4654,97510,4476,92656,4882,108311,4936,98732,5064,100025,5436,102290,5416,112579,5986,103920,4786,102894,5086,115011,4582,532205,9706,112757,5499,8707147,15659,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5308741,5767,1285050,11352,79948,5086,65924,4197,57192,3898,68967,4280,64382,4002,63635,4552,64719,3955,65616,3803,63410,3776,69183,4540,69441,3762,67387,4283,66276,3856,67363,4538,288698,9042,62909,4471,4023691,10985,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,315915,1036,54225,2709,2667,861,2520,767,3056,918,1979,552,2680,648,1868,484,2647,750,1803,683,2457,683,1661,509,1285,409,1511,538,2540,687,2316,812,17278,2074,5957,1132,261690,2716,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1304684,2422,345636,5634,16767,2056,19534,2031,17461,2068,15684,1897,19987,2185,19962,1890,18195,2225,18196,1945,15815,1964,20311,2178,17744,2098,21557,2018,17207,1772,19853,1853,75919,4831,11444,1641,959048,6199,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7770748,4381,1813462,10190,123157,4723,84199,3950,82732,4036,83269,3596,82957,4135,83376,3897,89801,3940,88921,3863,86987,3392,92738,3857,88132,3686,96265,3924,93440,3243,97069,4433,424078,9578,116341,5157,5957286,10410,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5117559,4779,1264331,9656,73765,4206,60277,3812,65431,3220,62294,3620,63268,3338,60091,3635,63598,4060,66177,3237,66725,3627,68103,4292,68333,3654,66650,2894,66241,3233,70345,3756,294213,7271,48820,3430,3853228,11114,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
