GEO_ID,C21001D_001E,C21001D_001M,C21001D_002E,C21001D_002M,C21001D_003E,C21001D_003M,C21001D_004E,C21001D_004M,C21001D_005E,C21001D_005M,C21001D_006E,C21001D_006M,C21001D_007E,C21001D_007M,C21001D_008E,C21001D_008M,C21001D_009E,C21001D_009M,C21001D_010E,C21001D_010M,C21001D_011E,C21001D_011M,C21001D_012E,C21001D_012M,C21001D_013E,C21001D_013M,C21001D_014E,C21001D_014M,C21001D_015E,C21001D_015M,NAME,C21001D_001EA,C21001D_001MA,C21001D_002EA,C21001D_002MA,C21001D_003MA,C21001D_003EA,C21001D_004MA,C21001D_004EA,C21001D_005EA,C21001D_005MA,C21001D_006EA,C21001D_006MA,C21001D_007EA,C21001D_007MA,C21001D_008MA,C21001D_008EA,C21001D_009MA,C21001D_009EA,C21001D_010MA,C21001D_010EA,C21001D_011EA,C21001D_011MA,C21001D_012EA,C21001D_012MA,C21001D_013EA,C21001D_013MA,C21001D_014MA,C21001D_014EA,C21001D_015MA,C21001D_015EA,state
0400000US01,45365,2348,20335,1759,18735,1553,235,200,18500,1568,1600,712,269,251,1331,596,25030,1420,21496,1400,33,61,21463,1398,3534,821,34,59,3500,819,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,32847,1292,14964,1031,13686,1285,1082,471,12604,1333,1278,557,114,149,1164,536,17883,794,15653,882,153,155,15500,910,2230,268,195,300,2035,403,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,163962,3249,73683,2347,64989,2366,3081,886,61908,2280,8694,643,1173,526,7521,674,90279,1957,77140,2167,362,251,76778,2180,13139,761,129,212,13010,725,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,27964,1701,12400,993,11898,991,356,296,11542,1027,502,248,163,196,339,208,15564,1295,13862,1154,192,248,13670,1192,1702,622,0,190,1702,622,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4373173,10857,2026358,5845,1709290,5755,53344,3373,1655946,6072,317068,1379,43660,2554,273408,2568,2346815,7253,1929615,6209,6750,1239,1922865,6362,417200,2443,806,328,416394,2510,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,121601,2696,53907,1507,48261,1677,1944,665,46317,1686,5646,521,1013,386,4633,554,67694,1895,58737,1881,428,268,58309,1845,8957,431,54,92,8903,437,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,118384,2408,54795,1584,50066,1627,695,509,49371,1666,4729,438,636,348,4093,464,63589,1915,57281,1784,0,197,57281,1784,6308,562,0,197,6308,562,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,27995,810,13488,683,12214,723,371,317,11843,780,1274,170,10,21,1264,166,14507,560,12378,558,96,148,12282,570,2129,343,0,185,2129,343,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22593,758,9053,566,8502,576,50,59,8452,577,551,212,0,198,551,212,13540,518,12484,522,133,224,12351,562,1056,56,0,198,1056,56,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,422923,4725,189799,2768,162448,2776,7297,1371,155151,3011,27351,1296,4395,922,22956,1365,233124,3502,195946,3300,1921,698,194025,3308,37178,1390,192,220,36986,1425,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
