GEO_ID,B27020_001E,B27020_001M,B27020_002E,B27020_002M,B27020_003E,B27020_003M,B27020_004E,B27020_004M,B27020_005E,B27020_005M,B27020_006E,B27020_006M,B27020_007E,B27020_007M,B27020_008E,B27020_008M,B27020_009E,B27020_009M,B27020_010E,B27020_010M,B27020_011E,B27020_011M,B27020_012E,B27020_012M,B27020_013E,B27020_013M,B27020_014E,B27020_014M,B27020_015E,B27020_015M,B27020_016E,B27020_016M,B27020_017E,B27020_017M,NAME,B27020_001EA,B27020_001MA,B27020_002MA,B27020_002EA,B27020_003MA,B27020_003EA,B27020_004MA,B27020_004EA,B27020_005MA,B27020_005EA,B27020_006EA,B27020_006MA,B27020_007EA,B27020_007MA,B27020_008MA,B27020_008EA,B27020_009MA,B27020_009EA,B27020_010EA,B27020_010MA,B27020_011EA,B27020_011MA,B27020_012MA,B27020_012EA,B27020_013MA,B27020_013EA,B27020_014EA,B27020_014MA,B27020_015EA,B27020_015MA,B27020_016EA,B27020_016MA,B27020_017EA,B27020_017MA,state
0400000US01,4767383,1932,4611196,7506,4095301,17294,3048848,25546,1673295,17215,515895,15283,156187,6957,54185,4496,46055,4075,40436,4118,14970,1898,8130,2066,102002,6060,46858,4884,43164,4826,5432,1228,55144,5404,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711541,1618,657928,4377,548351,6271,435347,7887,177744,6664,109577,5768,53613,3963,29539,2396,24409,2356,19603,1832,7449,1867,5130,1313,24074,3447,16345,2984,11565,1760,5810,2528,7729,1595,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6623074,1740,5718491,16060,5091895,22011,3632860,29395,2155075,28537,626596,15386,904583,15946,356744,10496,308901,10232,217422,6939,135236,6994,47843,4305,547839,14446,318950,10279,199790,8472,136575,6963,228889,10010,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914376,756,2775085,6129,2491222,12056,1694138,18895,1151875,15911,283863,11946,139291,6146,41872,3232,35364,3110,29039,3008,10725,1581,6508,1601,97419,6671,44619,4774,38078,4227,8085,2244,52800,5501,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38297457,5321,27861549,47050,25457498,53757,18340088,71404,9794959,60523,2404051,30787,10435908,46682,5116759,36930,4625445,32924,3228105,28972,1865313,19396,491314,13473,5319149,47258,3447803,34797,2096590,30046,1462928,24905,1871346,30473,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5266022,2396,4732576,12816,4355207,17778,3399097,23591,1468292,18083,377369,12301,533446,12614,211973,8165,189230,7569,139069,6619,72213,4769,22743,3103,321473,11831,178974,8362,133774,7236,51591,4922,142499,8750,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541282,1220,3053571,12550,2903016,14601,2219974,19129,1043492,16121,150555,8092,487711,12615,233331,9619,219760,9644,166856,8222,85983,4729,13571,2126,254380,10113,173107,8440,134768,7632,44655,5088,81273,6761,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920930,554,840808,4944,786465,7064,602264,10106,308291,8639,54343,5770,80122,4875,39023,3730,35142,3615,28757,3096,13527,1956,3881,1459,41099,4221,27726,3458,23577,2904,5426,1371,13373,2855,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,647966,509,556923,5227,537224,5496,384973,8453,207689,7334,19699,2854,91043,5181,34825,3807,32846,3659,24677,2964,12914,2415,1979,864,56218,4320,43708,3886,30666,3437,15636,2437,12510,2876,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19583357,3419,15639371,35606,13567977,45238,9634541,49692,6016209,45012,2071394,34537,3943986,36034,2121687,27174,1784434,25726,1212100,22113,773223,15744,337253,11625,1822299,30130,985785,21868,715266,19399,315295,11708,836514,23583,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
