GEO_ID,B18101D_001E,B18101D_001M,B18101D_002E,B18101D_002M,B18101D_003E,B18101D_003M,B18101D_004E,B18101D_004M,B18101D_005E,B18101D_005M,B18101D_006E,B18101D_006M,B18101D_007E,B18101D_007M,B18101D_008E,B18101D_008M,B18101D_009E,B18101D_009M,B18101D_010E,B18101D_010M,NAME,B18101D_001EA,B18101D_001MA,B18101D_002EA,B18101D_002MA,B18101D_003MA,B18101D_003EA,B18101D_004MA,B18101D_004EA,B18101D_005EA,B18101D_005MA,B18101D_006MA,B18101D_006EA,B18101D_007EA,B18101D_007MA,B18101D_008EA,B18101D_008MA,B18101D_009MA,B18101D_009EA,B18101D_010EA,B18101D_010MA,state
0400000US30,8073,1507,1568,616,0,161,1568,616,5973,1279,473,396,5500,1242,532,359,163,284,369,222,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,38707,1644,9966,1054,210,150,9756,1045,26396,1235,1640,733,24756,1231,2345,529,1071,421,1274,502,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,221040,4675,37628,2385,1415,670,36213,2426,152040,3489,7843,1442,144197,3572,31372,637,10034,1169,21338,1147,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,33911,2252,8746,1335,206,266,8540,1399,23053,1479,644,349,22409,1500,2112,673,370,381,1742,599,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,825917,4784,187930,2560,3061,724,184869,2729,558187,2968,16016,2124,542171,3716,79800,1358,17634,1719,62166,2138,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,31297,2113,5950,1240,42,68,5908,1243,22099,1803,768,410,21331,1834,3248,731,1032,449,2216,665,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1608159,8518,309558,4826,6635,1315,302923,4855,1128804,5819,51143,3335,1077661,6475,169797,1866,50658,2995,119139,3444,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,244866,4166,59712,2707,1027,425,58685,2645,170758,2990,4913,1016,165845,3241,14396,1254,4309,938,10087,1277,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,8726,924,1464,460,73,96,1391,437,6936,769,718,533,6218,1009,326,171,56,79,270,134,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,224877,5023,49244,2839,1491,753,47753,2864,157425,3392,8525,1753,148900,3288,18208,1305,3566,934,14642,1137,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,75922,2821,16492,1489,518,327,15974,1438,53154,2145,2769,865,50385,2216,6276,722,2301,528,3975,757,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,159258,4239,32133,2815,1282,664,30851,2654,111993,2630,6460,1363,105533,2892,15132,803,5068,911,10064,1018,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,398225,5025,88496,3046,2253,770,86243,3080,276398,3384,12788,1834,263610,3832,33331,1372,9984,1282,23347,1631,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,35433,2008,7369,1045,329,297,7040,1073,25041,1767,931,499,24110,1813,3023,867,1149,607,1874,653,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,67571,2548,15496,1238,753,442,14743,1294,44964,2454,3036,897,41928,2250,7111,1349,1725,665,5386,1204,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,10909,1157,3257,867,0,151,3257,867,7273,777,257,300,7016,842,379,313,0,151,379,313,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,102022,3825,23655,1913,388,291,23267,1879,69021,2355,3304,936,65717,2451,9346,1364,2655,806,6691,1242,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,1155999,9120,264572,5746,5656,1098,258916,5734,793892,5750,28893,2683,764999,5445,97535,1853,29789,2769,67746,3023,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,65773,2701,13905,1520,550,389,13355,1556,46961,1908,2479,802,44482,1849,4907,573,800,385,4107,594,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,9933,1118,2328,528,0,147,2328,528,6967,764,967,409,6000,599,638,280,260,231,378,189,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,506397,6745,112903,3522,2938,893,109965,3517,346430,4837,14282,2146,332148,5141,47064,1831,13511,1511,33553,1899,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,549274,5933,108884,3850,2348,773,106536,3820,379450,4457,20605,2540,358845,4751,60940,1478,22592,1936,38348,2086,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,11546,1675,1563,750,0,187,1563,750,9076,1180,891,519,8185,1250,907,532,127,133,780,499,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,149661,3142,43564,1967,1118,448,42446,1969,98161,2122,6977,984,91184,2068,7936,893,2606,625,5330,824,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,5532,1066,1164,578,0,190,1164,578,3515,925,421,366,3094,845,853,502,204,199,649,465,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,8595,2256,2191,998,137,226,2054,990,5601,1659,459,348,5142,1533,803,436,391,264,412,314,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
