GEO_ID,C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,NAME,C27001I_001MA,C27001I_001EA,C27001I_002EA,C27001I_002MA,C27001I_003EA,C27001I_003MA,C27001I_004MA,C27001I_004EA,C27001I_005MA,C27001I_005EA,C27001I_006MA,C27001I_006EA,C27001I_007MA,C27001I_007EA,C27001I_008EA,C27001I_008MA,C27001I_009MA,C27001I_009EA,C27001I_010EA,C27001I_010MA,state
0400000US01,189298,2111,72685,1189,64991,2352,7694,2003,109270,2161,56699,3591,52571,4173,7343,1425,6341,1413,1002,578,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46362,782,16638,135,13106,1049,3532,1043,27563,918,19012,1839,8551,1812,2161,635,2104,639,57,80,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2019057,2495,703128,215,613985,5762,89143,5782,1191140,2565,838107,11004,353033,11140,124789,906,118995,1718,5794,1474,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,203500,1495,79667,1101,70868,2184,8799,1766,117113,1751,63208,3991,53905,4114,6720,1425,6040,1343,680,670,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14830878,4440,4741940,983,4419242,14398,322698,14254,9159775,4740,6586989,30386,2572786,30368,929163,2042,886607,4413,42556,3899,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1115739,1964,388683,1016,351196,4041,37487,4209,660343,2408,471809,8848,188534,8836,66713,1170,64007,1322,2706,878,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,533496,1253,171933,117,161735,2706,10198,2704,333124,1282,258030,5795,75094,5546,28439,815,27366,911,1073,512,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,82580,314,29776,32,26180,1609,3596,1605,49661,421,38090,1875,11571,1830,3143,398,3084,405,59,84,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,67780,587,16805,73,15987,602,818,603,47479,345,37764,1964,9715,2023,3496,452,2958,638,538,544,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4741261,2894,1190665,1284,1046834,10446,143831,10502,3026139,3533,1975117,21528,1051022,21822,524457,2868,502174,4265,22283,3061,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
