GEO_ID,C21001H_001E,C21001H_001M,C21001H_002E,C21001H_002M,C21001H_003E,C21001H_003M,C21001H_004E,C21001H_004M,C21001H_005E,C21001H_005M,C21001H_006E,C21001H_006M,C21001H_007E,C21001H_007M,C21001H_008E,C21001H_008M,C21001H_009E,C21001H_009M,C21001H_010E,C21001H_010M,C21001H_011E,C21001H_011M,C21001H_012E,C21001H_012M,C21001H_013E,C21001H_013M,C21001H_014E,C21001H_014M,C21001H_015E,C21001H_015M,NAME,C21001H_001EA,C21001H_001MA,C21001H_002EA,C21001H_002MA,C21001H_003MA,C21001H_003EA,C21001H_004EA,C21001H_004MA,C21001H_005EA,C21001H_005MA,C21001H_006EA,C21001H_006MA,C21001H_007EA,C21001H_007MA,C21001H_008EA,C21001H_008MA,C21001H_009MA,C21001H_009EA,C21001H_010EA,C21001H_010MA,C21001H_011EA,C21001H_011MA,C21001H_012EA,C21001H_012MA,C21001H_013EA,C21001H_013MA,C21001H_014MA,C21001H_014EA,C21001H_015EA,C21001H_015MA,state
0400000US01,2549699,1778,1227762,1627,968606,1622,109944,4302,858662,4582,259156,59,127246,3311,131910,3300,1321937,446,992395,444,11807,1668,980588,1699,329542,62,4376,911,325166,905,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,350681,1494,184416,1456,157806,1446,31888,2539,125918,3150,26610,136,16113,1053,10497,1028,166265,458,141247,460,5385,1064,135862,1231,25018,57,862,302,24156,306,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3110599,1891,1520376,1520,1115956,1616,144880,5262,971076,5474,404420,380,214308,4088,190112,4166,1590223,778,1124350,779,22355,2263,1101995,2248,465873,121,6594,1120,459279,1107,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1720703,1089,834003,948,652151,944,75431,3905,576720,4146,181852,78,87666,2879,94186,2881,886700,497,661579,527,9790,1538,651789,1565,225121,119,2567,731,222554,753,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12377855,7040,6112089,5465,4777653,5205,422258,10184,4355395,11204,1334436,983,627460,8173,706976,8269,6265766,3600,4638809,3313,54963,3898,4583846,5106,1626957,1114,21052,1896,1605905,2037,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2959292,2519,1462499,2325,1202665,2295,144352,5158,1058313,5916,259834,276,134170,3550,125664,3539,1496793,1029,1186343,981,26687,2660,1159656,2789,310450,289,5467,949,304983,1065,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2014658,2049,966289,1638,760484,1617,53968,3221,706516,3566,205805,117,97979,3091,107826,3095,1048369,1011,778483,977,6554,1232,771929,1533,269886,226,2954,716,266932,738,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,488488,702,232949,581,176956,573,22547,1449,154409,1421,55993,92,28425,1385,27568,1380,255539,363,186836,363,3679,1025,183157,953,68703,185,594,280,68109,280,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,208773,694,103097,593,91688,593,4316,829,87372,921,11409,198,4616,713,6793,713,105676,314,92652,312,1135,486,91517,570,13024,51,565,490,12459,492,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9263436,6263,4491622,3249,3178463,3073,409039,9579,2769424,10286,1313159,689,688687,8370,624472,8366,4771814,4068,3226432,3070,60827,3947,3165605,4998,1545382,1544,20689,2287,1524693,2654,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
