GEO_ID,C16005_001E,C16005_001M,C16005_002E,C16005_002M,C16005_003E,C16005_003M,C16005_004E,C16005_004M,C16005_005E,C16005_005M,C16005_006E,C16005_006M,C16005_007E,C16005_007M,C16005_008E,C16005_008M,C16005_009E,C16005_009M,C16005_010E,C16005_010M,C16005_011E,C16005_011M,C16005_012E,C16005_012M,C16005_013E,C16005_013M,C16005_014E,C16005_014M,C16005_015E,C16005_015M,C16005_016E,C16005_016M,C16005_017E,C16005_017M,C16005_018E,C16005_018M,C16005_019E,C16005_019M,C16005_020E,C16005_020M,C16005_021E,C16005_021M,C16005_022E,C16005_022M,C16005_023E,C16005_023M,C16005_024E,C16005_024M,C16005_025E,C16005_025M,C16005_026E,C16005_026M,C16005_027E,C16005_027M,C16005_028E,C16005_028M,C16005_029E,C16005_029M,NAME,C16005_001EA,C16005_001MA,C16005_002MA,C16005_002EA,C16005_003MA,C16005_003EA,C16005_004MA,C16005_004EA,C16005_005MA,C16005_005EA,C16005_006EA,C16005_006MA,C16005_007EA,C16005_007MA,C16005_008MA,C16005_008EA,C16005_009MA,C16005_009EA,C16005_010MA,C16005_010EA,C16005_011EA,C16005_011MA,C16005_012EA,C16005_012MA,C16005_013MA,C16005_013EA,C16005_014MA,C16005_014EA,C16005_015MA,C16005_015EA,C16005_016MA,C16005_016EA,C16005_017EA,C16005_017MA,C16005_018EA,C16005_018MA,C16005_019MA,C16005_019EA,C16005_020MA,C16005_020EA,C16005_021EA,C16005_021MA,C16005_022EA,C16005_022MA,C16005_023EA,C16005_023MA,C16005_024MA,C16005_024EA,C16005_025MA,C16005_025EA,C16005_026EA,C16005_026MA,C16005_027EA,C16005_027MA,C16005_028EA,C16005_028MA,C16005_029EA,C16005_029MA,state
0400000US01,4558217,2782,4401536,7476,4299014,9262,76295,4890,58026,4677,18269,2495,14902,2574,13114,2243,1788,873,8389,1442,7000,1223,1389,677,2936,1133,2628,1085,308,325,156681,6861,36718,4452,66394,4157,22041,2795,44353,3860,17573,2614,12389,1966,5184,1205,29220,3049,10742,1756,18478,3108,6776,1735,4293,1293,2483,1119,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,683324,986,629149,4311,560605,6483,14653,2312,11778,2011,2875,1244,8189,1708,6561,1527,1628,846,13298,1916,9992,1552,3306,1291,32404,1900,28373,1750,4031,833,54175,3928,9154,1349,7681,1465,3730,1085,3951,1128,9315,2329,6259,1736,3056,995,25249,1723,9890,1748,15359,1675,2776,2399,1843,1401,933,1053,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6298821,1394,5385531,15643,4458705,20019,746036,14818,643469,14321,102567,6104,40171,3699,37082,3640,3089,721,24684,3297,21346,3226,3338,788,115935,4098,92232,3902,23703,1937,913290,15630,142403,5900,552631,12870,191591,8456,361040,10840,85537,6606,58028,4990,27509,3590,99590,4741,48473,3285,51117,4532,33129,4265,18430,3286,14699,2639,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2775973,2624,2636978,6368,2554628,6456,63922,4718,48589,4215,15333,2605,7627,1407,6799,1259,828,476,8732,1469,7103,1297,1629,870,2069,1190,1751,1078,318,269,138995,5913,30225,3911,77101,4939,20633,2970,56468,4586,9644,1951,6980,1525,2664,940,20450,2658,8123,1587,12327,2084,1575,893,801,468,774,622,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36290808,2542,25828401,45442,19304435,56006,5243188,35256,4544321,33990,698867,15526,428689,13679,387956,13165,40733,3144,761313,15121,631631,14244,129682,6295,90776,7190,81193,7142,9583,1838,10462407,45501,1057073,17511,5194105,34950,1528166,20559,3665939,33652,1169009,26858,706713,19529,462296,15549,2775008,27619,1170349,21814,1604659,20564,267212,15137,154803,8749,112409,9335,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5023808,2144,4490012,12067,4072164,16101,331574,9077,279930,9257,51644,5231,44043,3500,39900,3148,4143,976,27028,2683,23098,2580,3930,992,15203,3224,14153,3146,1050,544,533796,12410,85198,4918,269388,10012,95154,5589,174234,8759,76386,5376,49484,3700,26902,3332,69311,3881,32379,3207,36932,2913,33513,4372,20564,3168,12949,2325,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3407815,964,2920465,12409,2553115,13592,259110,9084,193822,8626,65288,4877,84829,5696,75498,5264,9331,1593,16743,2179,14742,2103,2001,767,6668,1551,5974,1438,694,550,487350,12307,112148,6184,130269,7996,44794,4091,85475,5629,158604,9019,85849,5957,72755,5664,66747,4293,31236,3334,35511,3434,19582,3604,13910,3226,5672,1449,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,879604,228,799794,4883,748443,5763,38210,3397,31809,3222,6401,1293,6402,1249,5598,1189,804,363,3708,1051,2919,1254,789,576,3031,1300,2632,1247,399,356,79810,4888,17107,2585,22694,2633,6534,1399,16160,2102,16786,2993,11270,1970,5516,1451,17366,2212,9133,1980,8233,1775,5857,2975,5237,2913,620,342,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,616130,6,525632,5095,482031,5700,22653,2778,19418,2328,3235,1340,13355,2241,12334,2178,1021,689,4173,1021,3681,947,492,355,3420,1148,2898,1043,522,397,90498,5094,24189,3251,30264,2917,11520,1766,18744,2887,17095,2756,13829,2388,3266,1178,8607,1440,4303,1071,4304,1366,10343,2183,5469,1425,4874,1383,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18815725,3345,14863516,35339,12737700,39261,1745391,26160,1427802,23730,317589,11962,287227,12189,261728,11628,25499,2895,57416,5089,49063,4789,8353,1945,35782,5136,31101,5247,4681,1777,3952209,35155,756315,19436,2188529,24086,804333,15580,1384196,23538,692865,21940,387112,15031,305753,13633,241820,9188,115828,6089,125992,8048,72680,6351,46617,4536,26063,3977,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
