GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,NAME,B10056_001MA,B10056_001EA,B10056_002MA,B10056_002EA,B10056_003EA,B10056_003MA,B10056_004EA,B10056_004MA,B10056_005MA,B10056_005EA,B10056_006MA,B10056_006EA,B10056_007MA,B10056_007EA,B10056_008EA,B10056_008MA,B10056_009EA,B10056_009MA,B10056_010EA,B10056_010MA,B10056_011EA,B10056_011MA,state
0400000US01,114534,6358,38128,3414,21817,2572,11648,1766,10169,1525,16311,1990,76406,3870,38093,3153,23441,2490,14652,1923,38313,2806,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14694,1540,4796,771,2111,337,1050,280,1061,221,2685,690,9898,1118,3613,699,2169,518,1444,458,6285,933,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,161514,8101,58500,4215,23756,1940,13148,1637,10608,1384,34744,3193,103014,5055,35008,2684,22444,2276,12564,1571,68006,4284,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,69110,4713,24316,1978,14421,1580,7933,1321,6488,983,9895,1424,44794,3431,23232,2185,16011,1860,7221,1312,21562,2630,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1161135,20054,434869,9944,107083,5354,57085,3899,49998,3490,327786,8399,726266,12372,177305,6754,104975,6321,72330,4114,548961,10731,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,92261,5807,36054,3017,13337,1870,7665,1470,5672,1211,22717,2328,56207,3720,19306,2298,12065,1868,7241,1399,36901,2798,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,61705,4165,23392,2446,7478,1344,4508,1090,2970,777,15914,2089,38313,2798,12224,1979,7954,1438,4270,1187,26089,2237,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25008,2731,8298,1402,3425,705,1858,571,1567,468,4873,1233,16710,1790,6553,1212,4532,1120,2021,655,10157,1647,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9919,1771,2200,666,1018,456,432,327,586,323,1182,451,7719,1398,3175,808,1953,696,1222,414,4544,1155,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,480862,16174,163785,8239,60019,5212,32226,3747,27793,2940,103766,6283,317077,10515,95697,6303,58097,4350,37600,4044,221380,7667,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,260132,10221,87408,4702,42370,3136,22943,2645,19427,2165,45038,3450,172724,6906,72327,4264,48451,3596,23876,2259,100397,5694,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,55432,3776,22398,1697,6345,991,2773,778,3572,799,16053,1550,33034,2529,7668,1233,3672,986,3996,936,25366,2171,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28354,3992,12133,2103,6520,1362,2975,928,3545,1181,5613,1437,16221,2345,6030,1516,3786,1356,2244,658,10191,2050,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,269663,9174,99204,4775,35426,3055,21400,2307,14026,1501,63778,3922,170459,6150,55905,3913,35898,3033,20007,2007,114554,5495,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,127546,6365,46835,3011,21234,2111,13115,1691,8119,1358,25601,2498,80711,4566,36138,3206,25857,2576,10281,1633,44573,3141,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,37826,3149,15101,1634,6277,1083,4136,985,2141,531,8824,1156,22725,1864,8520,1132,6093,1068,2427,601,14205,1517,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,51363,4603,19919,2328,9383,1512,4951,1034,4432,956,10536,1724,31444,2980,13712,1737,8850,1432,4862,932,17732,2114,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,103367,6085,39917,3056,23497,2426,14022,1997,9475,1358,16420,1845,63450,3760,32424,2700,22756,2220,9668,1345,31026,2706,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,116573,6678,40305,3288,19928,2013,11228,1747,8700,1506,20377,2484,76268,4392,36712,2762,24912,2513,11800,1613,39556,3124,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
