GEO_ID,B20017F_001E,B20017F_001M,B20017F_002E,B20017F_002M,B20017F_003E,B20017F_003M,B20017F_004E,B20017F_004M,B20017F_005E,B20017F_005M,B20017F_006E,B20017F_006M,B20017F_007E,B20017F_007M,NAME,B20017F_001MA,B20017F_001EA,B20017F_002EA,B20017F_002MA,B20017F_003EA,B20017F_003MA,B20017F_004EA,B20017F_004MA,B20017F_005MA,B20017F_005EA,B20017F_006MA,B20017F_006EA,B20017F_007EA,B20017F_007MA,state
0400000US01,18526,2874,21245,2115,26016,1573,11779,2074,14708,2510,22655,2902,7678,4317,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31043,5875,30914,7263,36077,7323,13483,11242,31320,7794,35918,2014,3786,3248,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,20855,656,22036,820,30313,1467,10528,2111,18725,1175,28547,2171,7751,1142,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,21272,1040,22949,2334,25469,3568,11905,1753,16061,2246,21836,1738,9887,1847,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,21726,188,24929,404,31628,275,11611,241,17810,395,27168,355,9444,265,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,24157,1413,27005,1621,32171,2794,12271,1335,19530,2143,30709,1822,8931,1217,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21307,1078,25426,2266,32266,2184,11920,1013,17731,2138,29398,2657,10842,1111,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26082,6593,30692,5232,35300,8385,5044,6919,21915,6709,31384,6698,11454,5624,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,25865,3007,30356,4214,35924,5081,18906,4929,17333,11084,41334,8193,8736,2116,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,21703,673,24145,1461,29094,1879,11826,801,18408,1711,26944,758,9622,1093,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,21493,730,24741,1226,28286,1538,13787,2036,15807,1335,21875,2194,9788,1136,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,31168,5292,35430,6679,40670,5483,23011,6828,24086,8147,37008,6437,6996,5180,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,17879,3685,22620,3444,27780,4249,5477,1629,12497,3759,20565,3230,10077,3444,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,22278,516,25595,615,30782,763,12765,1092,18576,671,26509,922,10253,641,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,21787,912,25368,1856,30173,1700,11704,1046,18405,2805,25545,2686,7136,1572,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
