GEO_ID,C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,NAME,C08128_001MA,C08128_001EA,C08128_002MA,C08128_002EA,C08128_003EA,C08128_003MA,C08128_004EA,C08128_004MA,C08128_005EA,C08128_005MA,C08128_006EA,C08128_006MA,C08128_007MA,C08128_007EA,C08128_008MA,C08128_008EA,C08128_009EA,C08128_009MA,C08128_010EA,C08128_010MA,C08128_011EA,C08128_011MA,C08128_012MA,C08128_012EA,C08128_013MA,C08128_013EA,C08128_014EA,C08128_014MA,C08128_015EA,C08128_015MA,C08128_016EA,C08128_016MA,C08128_017EA,C08128_017MA,C08128_018MA,C08128_018EA,C08128_019MA,C08128_019EA,C08128_020EA,C08128_020MA,C08128_021EA,C08128_021MA,C08128_022EA,C08128_022MA,C08128_023MA,C08128_023EA,C08128_024MA,C08128_024EA,C08128_025EA,C08128_025MA,C08128_026EA,C08128_026MA,C08128_027EA,C08128_027MA,C08128_028EA,C08128_028MA,C08128_029MA,C08128_029EA,C08128_030MA,C08128_030EA,state
0400000US01,2007426,13350,1573229,14528,329453,10380,101005,5086,3739,854,1724178,15545,1361076,15100,293151,9622,67620,4189,2331,713,171927,8594,136589,7410,24157,2549,10693,1946,488,323,8276,1749,5644,1207,2129,949,460,331,43,70,45812,4180,36236,3990,5182,997,4095,1075,299,230,57233,3661,33684,3134,4834,832,18137,2181,578,322,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,359211,5456,234016,5634,103354,4263,21313,2000,528,404,249481,6163,162468,6006,74911,3874,11726,1611,376,400,43221,3223,28024,2826,13585,1894,1579,538,33,54,4703,1196,3837,1120,823,366,43,73,0,145,47891,2941,31824,2377,13171,1237,2863,807,33,40,13915,1891,7863,1761,864,301,5102,995,86,71,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2831592,19395,2244606,21207,409527,9825,173095,8033,4364,1111,2178267,17614,1745938,18894,330574,8874,99884,4959,1871,707,295724,9385,234580,8697,42000,3069,18044,2409,1100,599,57615,5086,47971,4468,7101,1455,2543,1070,0,200,138333,7363,108264,6443,21270,2084,8681,1785,118,108,161653,6371,107853,5278,8582,1271,43943,3922,1275,547,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1249674,12677,966562,12955,201346,6876,79845,4354,1921,705,1031366,13889,808782,13295,170799,6474,50517,3477,1268,624,136027,7210,104283,6127,21927,2419,9717,1787,100,125,4072,1177,3113,998,874,556,85,147,0,190,36834,2749,29674,2384,3876,1018,3016,805,268,193,41375,3177,20710,2335,3870,1253,16510,2190,285,236,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17254926,40650,13443040,45369,2386313,25109,1398281,19863,27292,2895,12679198,45211,10039758,41813,1793339,19717,833297,17039,12804,1523,1813154,27870,1425896,23422,236687,7453,145592,6764,4979,1185,914442,15685,757591,14746,107411,4747,48674,4188,766,322,917157,14761,705138,13884,144249,6883,65188,4311,2582,874,930975,16361,514657,11761,104627,6175,305530,10384,6161,1229,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2681200,13178,2135273,15457,377836,8912,164536,7156,3555,747,2027739,15432,1634058,15613,294823,7513,97009,5726,1849,653,258146,10065,206628,8891,35609,3629,15507,2103,402,260,88355,4521,73075,4265,13379,1925,1797,693,104,123,132607,6586,101175,5993,24788,2057,6381,1122,263,175,174353,6876,120337,5589,9237,1659,43842,3204,937,435,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1765420,11499,1420123,12932,234658,7197,107086,5781,3553,1032,1379348,12794,1107206,12145,198509,6755,71502,4519,2131,841,142584,7540,120954,7343,13185,1807,7707,1437,738,533,84731,4188,76126,4173,6473,1318,2132,719,0,197,77163,4758,60630,4502,11953,1757,4368,1189,212,177,81594,4474,55207,3374,4538,1379,21377,2310,472,300,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,434766,5852,352412,5985,64647,3985,17090,2046,617,337,354350,7480,288738,7176,53769,3263,11388,1672,455,261,33132,3564,26493,2894,6118,1574,515,223,6,10,12635,2056,10440,1813,2033,707,162,192,0,185,15362,2386,12949,2298,1734,773,679,354,0,185,19287,2306,13792,2052,993,386,4346,1006,156,152,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,343062,5802,245594,6141,84402,3855,12407,1738,659,413,120528,5465,83651,4507,32305,3220,4435,1114,137,116,19166,2155,13014,1977,5635,1284,517,277,0,198,123707,5492,89600,5034,32031,2370,2032,712,44,74,62649,3498,46911,3225,13212,1772,2318,667,208,211,17012,2053,12418,1801,1219,518,3105,762,270,325,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8636223,32707,7040244,33918,1072397,19442,510043,14737,13539,2334,6886539,35014,5653968,34767,913226,17279,312099,10360,7246,1901,783105,17887,637332,17037,91307,5126,51928,4953,2538,989,179401,7747,154234,7734,14924,2019,9821,2153,422,344,321317,11257,266858,10084,29263,3227,24422,3321,774,628,465861,12632,327852,10205,23677,2401,111773,5583,2559,1254,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
