GEO_ID,C23008_001E,C23008_001M,C23008_002E,C23008_002M,C23008_003E,C23008_003M,C23008_004E,C23008_004M,C23008_005E,C23008_005M,C23008_006E,C23008_006M,C23008_007E,C23008_007M,C23008_008E,C23008_008M,C23008_009E,C23008_009M,C23008_010E,C23008_010M,C23008_011E,C23008_011M,C23008_012E,C23008_012M,C23008_013E,C23008_013M,C23008_014E,C23008_014M,C23008_015E,C23008_015M,C23008_016E,C23008_016M,C23008_017E,C23008_017M,C23008_018E,C23008_018M,C23008_019E,C23008_019M,NAME,C23008_001EA,C23008_001MA,C23008_002MA,C23008_002EA,C23008_003EA,C23008_003MA,C23008_004EA,C23008_004MA,C23008_005EA,C23008_005MA,C23008_006EA,C23008_006MA,C23008_007MA,C23008_007EA,C23008_008MA,C23008_008EA,C23008_009EA,C23008_009MA,C23008_010EA,C23008_010MA,C23008_011EA,C23008_011MA,C23008_012MA,C23008_012EA,C23008_013MA,C23008_013EA,C23008_014EA,C23008_014MA,C23008_015EA,C23008_015MA,C23008_016EA,C23008_016MA,C23008_017EA,C23008_017MA,C23008_018EA,C23008_018MA,C23008_019EA,C23008_019MA,state
0400000US01,1036087,7021,330483,5699,190255,5924,107342,5646,72579,4846,6534,1632,3800,1317,140228,6109,103664,4745,36564,4035,705604,7039,434238,7903,275211,9145,123851,8363,24039,4103,11137,1849,271366,8241,205967,7739,65399,4765,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175939,2151,61427,1757,41922,2440,20636,1835,18746,2319,1850,683,690,312,19505,2347,15345,1856,4160,1050,114512,2306,80113,3752,49861,3455,22958,3031,4479,1241,2815,1152,34399,3361,29187,3107,5212,1108,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1524523,6689,499076,6950,305127,8527,150566,7166,136689,7456,8714,1591,9158,2338,193949,8125,142387,8034,51562,4919,1025447,6881,650602,13781,378089,11329,228353,8555,27187,3619,16973,2714,374845,12846,298328,12633,76517,6073,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,659918,5132,217002,4682,127992,4730,72429,4250,49874,3599,4627,1370,1062,482,89010,4812,68444,4251,20566,3084,442916,5148,272743,8814,176553,8239,74012,5880,15079,2912,7099,1913,170173,7505,130559,6987,39614,4239,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8721788,13757,2895155,11844,1875732,20108,1009060,18622,773667,18771,58757,5441,34248,4388,1019423,19285,742617,17412,276806,10304,5826633,16339,3849607,25998,2251206,25728,1354903,22774,161357,7183,82141,7300,1977026,26442,1565381,25711,411645,15211,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1197828,5419,392952,5065,283784,7471,165709,6245,105751,5291,8687,2013,3637,1136,109168,6410,85249,5579,23919,3664,804876,5990,547266,9112,344442,9378,173350,7399,21169,2841,8305,1747,257610,8798,220897,8587,36713,4523,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,744456,3956,221557,3312,144083,5050,93569,5098,46554,3838,2492,817,1468,687,77474,3883,63379,3832,14095,2516,522899,5009,348040,7442,243232,8817,87480,6707,12454,1778,4874,1545,174859,7210,150218,6696,24641,3406,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,190578,2472,64487,2152,36974,2548,25004,2700,9992,1679,1241,804,737,663,27513,2483,21700,2539,5813,1675,126091,2870,73817,3964,53744,3537,15888,2561,2178,971,2007,1031,52274,4083,43794,3889,8480,2319,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,106942,1891,45895,1229,25581,2125,18122,2321,6463,1844,677,362,319,338,20314,2275,15754,2459,4560,1573,61047,1827,24815,2492,17150,2141,5712,1675,1240,609,713,870,36232,2640,28863,3000,7369,2186,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3837835,12306,1242026,11463,722584,15768,414293,14715,269240,10770,24907,3666,14144,2576,519442,13535,401870,13405,117572,7929,2595809,15152,1567752,23697,995547,19432,455337,17115,78856,7179,38012,5032,1028057,23046,854234,22584,173823,10846,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
