GEO_ID,B25096_001E,B25096_001M,B25096_002E,B25096_002M,B25096_003E,B25096_003M,B25096_004E,B25096_004M,B25096_005E,B25096_005M,B25096_006E,B25096_006M,B25096_007E,B25096_007M,B25096_008E,B25096_008M,B25096_009E,B25096_009M,B25096_010E,B25096_010M,B25096_011E,B25096_011M,B25096_012E,B25096_012M,B25096_013E,B25096_013M,B25096_014E,B25096_014M,B25096_015E,B25096_015M,B25096_016E,B25096_016M,B25096_017E,B25096_017M,NAME,B25096_001MA,B25096_001EA,B25096_002MA,B25096_002EA,B25096_003MA,B25096_003EA,B25096_004EA,B25096_004MA,B25096_005EA,B25096_005MA,B25096_006MA,B25096_006EA,B25096_007MA,B25096_007EA,B25096_008MA,B25096_008EA,B25096_009MA,B25096_009EA,B25096_010EA,B25096_010MA,B25096_011EA,B25096_011MA,B25096_012MA,B25096_012EA,B25096_013MA,B25096_013EA,B25096_014MA,B25096_014EA,B25096_015EA,B25096_015MA,B25096_016EA,B25096_016MA,B25096_017MA,B25096_017EA,state
0400000US01,1246080,12085,714687,9945,62743,3492,154146,6001,153927,5238,123073,5328,130235,5696,69057,4376,21506,2045,531393,8917,144323,5275,131992,4945,82772,3827,65105,2872,60970,3636,29289,2382,16942,1668,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156006,4250,103179,3869,2640,901,2541,573,5897,964,15838,2041,36686,2786,31912,2540,7665,1230,52827,2371,9737,1077,4970,781,4408,812,7259,1111,11224,1387,11852,1435,3377,655,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1484857,11801,956507,11704,46399,3019,105235,4061,160090,5307,181625,5907,214406,6363,169285,5404,79467,4118,528350,8875,112690,4356,83608,4017,74163,3382,71252,4063,86604,4580,64343,3309,35690,2817,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,744318,10448,413767,9667,43050,3252,108286,5067,96939,4802,71031,3987,56074,3609,28425,2398,9962,1349,330551,7086,96067,3550,86474,3831,49349,2627,43138,2805,33162,2418,15358,2063,7003,1116,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6855688,27608,4929106,26058,134919,5003,105415,4997,200354,5816,304998,9284,724006,11401,1480300,18223,1979114,18555,1926582,16196,223986,6595,121635,5020,93521,3966,112905,4408,234121,5695,454165,8372,686249,11672,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1302533,10820,948014,10751,33340,2715,38005,2651,78150,4052,147799,4875,266236,7714,255404,7083,129080,3910,354519,6438,45211,3217,23293,1986,31949,2426,45202,2712,85359,3599,75507,3514,47998,2471,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,900039,8072,628902,8526,17420,2190,17274,2256,58323,3413,99191,4561,170311,5484,163950,5134,102433,4309,271137,5712,17353,1830,10080,1307,25173,2047,41568,2347,69445,3377,65608,2988,41910,2200,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,245808,4425,170546,3729,6664,1286,7661,1338,18850,2143,31317,2461,52713,2818,42586,2450,10755,1228,75262,3429,10985,1510,5495,1036,6419,914,10420,1296,20256,1871,15420,1258,6267,945,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112492,3641,85550,3521,2008,495,1158,463,1658,695,2837,634,10842,1599,24516,2058,42531,2176,26942,2120,1322,620,528,318,907,420,1129,429,3420,850,7877,1245,11759,1344,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693821,26616,2728967,21466,168937,6068,445602,9902,471917,11215,489261,9439,550772,11203,409876,9919,192602,6722,1964854,18332,356145,8255,399356,10456,271484,8589,254950,7335,308782,8430,227220,7018,146917,4822,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
