B17023_020M,B17023_021E,B17023_021M,B17023_022E,B17023_022M,B17023_023E,B17023_023M,B17023_024E,B17023_024M,B17023_025E,B17023_025M,B17023_026E,B17023_026M,B17023_027E,B17023_027M,B17023_028E,B17023_028M,B17023_029E,B17023_029M,B17023_030E,B17023_030M,B17023_031E,B17023_031M,B17023_032E,B17023_032M,B17023_033E,B17023_033M,B17023_034E,B17023_034M,B17023_035E,B17023_035M,GEO_ID,B17023_001E,B17023_001M,B17023_002E,B17023_002M,B17023_003E,B17023_003M,B17023_004E,B17023_004M,B17023_005E,B17023_005M,B17023_006E,B17023_006M,B17023_007E,B17023_007M,B17023_008E,B17023_008M,B17023_009E,B17023_009M,B17023_010E,B17023_010M,B17023_011E,B17023_011M,B17023_012E,B17023_012M,B17023_013E,B17023_013M,B17023_014E,B17023_014M,B17023_015E,B17023_015M,B17023_016E,B17023_016M,B17023_017E,B17023_017M,B17023_018E,B17023_018M,B17023_019E,B17023_019M,B17023_020E,B17023_020MA,B17023_021MA,B17023_021EA,B17023_022MA,B17023_022EA,B17023_023EA,B17023_023MA,B17023_024EA,B17023_024MA,B17023_025EA,B17023_025MA,B17023_026MA,B17023_026EA,B17023_027MA,B17023_027EA,B17023_028EA,B17023_028MA,B17023_029MA,B17023_029EA,B17023_030MA,B17023_030EA,B17023_031EA,B17023_031MA,B17023_032MA,B17023_032EA,B17023_033EA,B17023_033MA,B17023_034EA,B17023_034MA,B17023_035EA,B17023_035MA,NAME,B17023_001MA,B17023_001EA,B17023_002EA,B17023_002MA,B17023_003MA,B17023_003EA,B17023_004MA,B17023_004EA,B17023_005MA,B17023_005EA,B17023_006EA,B17023_006MA,B17023_007EA,B17023_007MA,B17023_008MA,B17023_008EA,B17023_009EA,B17023_009MA,B17023_010MA,B17023_010EA,B17023_011MA,B17023_011EA,B17023_012MA,B17023_012EA,B17023_013MA,B17023_013EA,B17023_014EA,B17023_014MA,B17023_015MA,B17023_015EA,B17023_016MA,B17023_016EA,B17023_017EA,B17023_017MA,B17023_018MA,B17023_018EA,B17023_019MA,B17023_019EA,B17023_020EA,state
12248,535053,9409,226476,6749,49652,3699,2591,805,233902,7177,61185,3606,38728,2766,20895,2627,1562,698,0,189,172717,5819,103166,4338,63372,4376,5993,1165,186,168,0400000US01,1232515,11755,184841,6662,56254,3359,28834,2270,18138,1786,7820,1465,1462,658,128587,5238,16420,2394,7736,1626,6240,1253,1909,813,535,387,112167,5073,32750,2793,56369,3801,20744,2570,2304,952,1047674,12321,813772,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
3424,65924,2737,39338,2615,12123,1580,1758,596,32873,3004,12349,1870,5278,1073,6396,1291,664,245,11,13,20524,2120,9227,1261,10127,1490,1132,421,38,32,0400000US02,165015,3765,12999,1612,4885,1020,1734,527,1897,763,618,205,636,407,8114,1333,2317,642,769,448,947,401,305,138,296,332,5797,1159,621,236,3588,934,1083,429,505,343,152016,3662,119143,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
12543,674827,9839,285876,8369,83780,3840,8477,1627,317520,9464,108230,5859,59682,3735,41681,4065,6852,1513,15,26,209290,7098,115939,5134,80781,5191,12065,1621,505,351,0400000US04,1579481,13962,209001,6363,88335,4279,36886,2832,27750,2624,20334,2326,3365,1002,120666,5231,25890,2940,9880,1608,10660,1999,4428,1220,922,669,94776,4191,23754,2271,48286,3184,19054,2233,3682,1085,1370480,13405,1052960,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
9423,330621,8407,142777,6026,32880,2800,1923,866,139873,5594,43661,3786,22852,2369,17915,2464,2811,839,83,138,96212,4644,53218,3066,36534,3307,6337,1617,123,153,0400000US05,752212,9854,104138,4501,38327,2962,18016,1982,10600,1489,8723,1791,988,536,65811,3452,9891,1758,3126,813,5411,1453,1247,480,107,156,55920,2988,13560,1634,28869,3005,12494,1688,997,568,648074,9714,508201,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
25282,3320115,20614,2003873,18333,439531,10460,22854,2555,1908267,22054,646999,13474,385048,9640,223831,9026,36309,3474,1811,713,1261268,16448,750970,11132,456667,12380,50595,4264,3036,1100,0400000US06,8762059,27318,1067419,13044,452770,11184,154265,5334,168754,6469,113585,6130,16166,2217,614649,11962,125277,5404,44299,2892,56033,3943,22267,2771,2678,948,489372,11197,121143,4619,250849,8274,105107,5669,12273,1791,7694640,28159,5786373,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
10575,566738,8969,315597,6774,75184,4119,5342,1014,246862,6362,87770,4684,40514,3053,40445,2900,6339,1571,472,404,159092,5547,77131,4394,73895,4589,7650,1430,416,354,0400000US08,1315283,8405,105560,4841,42865,3138,16370,2053,14340,1974,11123,1767,1032,499,62695,4689,11365,2198,3638,1245,5588,1463,1881,874,258,248,51330,4066,10287,1524,27546,3001,12502,1871,995,515,1209723,10079,962861,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
9055,383963,6963,205738,6071,40117,2574,1175,433,189321,5974,56763,3609,34520,3065,19977,2597,2266,656,0,197,132558,5089,69656,3522,55385,3763,7243,1401,274,231,0400000US09,887263,10002,66949,4874,19680,2501,9358,1708,6575,1295,3467,943,280,235,47269,4219,8008,1771,1674,720,5390,1484,833,495,111,193,39261,3896,9071,1689,21007,2512,8442,1643,741,493,820314,9845,630993,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
4060,106461,3289,43401,2784,8696,1503,1041,665,53668,2749,15655,1986,9681,1608,5242,1182,732,393,0,185,38013,2417,20632,1735,15192,1917,2189,806,0,185,0400000US10,233000,4645,19733,2314,5763,1205,2496,709,2519,935,693,322,55,97,13970,2088,2502,749,989,621,1104,431,359,283,50,84,11468,1892,3003,767,5468,1295,2606,883,391,362,213267,4508,159599,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
3106,40696,2650,20557,1623,2699,806,0,198,37205,2778,7792,1463,4987,997,2690,897,115,141,0,198,29413,2463,17513,1863,10936,1821,806,471,158,185,0400000US11,117864,3359,16707,2102,2292,700,1002,390,757,550,533,397,0,198,14415,1910,1704,674,901,560,544,357,0,198,259,343,12711,1772,3679,787,5732,1305,2948,968,352,312,101157,3173,63952,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
24036,2166649,18316,821131,14171,162045,6402,8713,1387,971112,16358,293183,8421,174447,6053,104445,5976,13954,2690,337,313,677929,12957,393084,9314,255520,9826,28374,2968,951,508,0400000US12,4693411,24879,563761,13976,221565,8739,115877,6081,68405,4236,32688,3650,4595,1098,342196,9105,60354,4673,23665,2541,28526,3273,7095,1497,1068,588,281842,7975,72343,3320,154903,6627,47941,4023,6655,1438,4129650,24086,3158538,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
