GEO_ID,C21001A_001E,C21001A_001M,C21001A_002E,C21001A_002M,C21001A_003E,C21001A_003M,C21001A_004E,C21001A_004M,C21001A_005E,C21001A_005M,C21001A_006E,C21001A_006M,C21001A_007E,C21001A_007M,C21001A_008E,C21001A_008M,C21001A_009E,C21001A_009M,C21001A_010E,C21001A_010M,C21001A_011E,C21001A_011M,C21001A_012E,C21001A_012M,C21001A_013E,C21001A_013M,C21001A_014E,C21001A_014M,C21001A_015E,C21001A_015M,NAME,C21001A_001EA,C21001A_001MA,C21001A_002EA,C21001A_002MA,C21001A_003EA,C21001A_003MA,C21001A_004MA,C21001A_004EA,C21001A_005MA,C21001A_005EA,C21001A_006EA,C21001A_006MA,C21001A_007EA,C21001A_007MA,C21001A_008EA,C21001A_008MA,C21001A_009EA,C21001A_009MA,C21001A_010MA,C21001A_010EA,C21001A_011MA,C21001A_011EA,C21001A_012EA,C21001A_012MA,C21001A_013EA,C21001A_013MA,C21001A_014MA,C21001A_014EA,C21001A_015MA,C21001A_015EA,state
0400000US01,2623500,4139,1267733,2890,1006517,2995,112602,4443,893915,5678,261216,733,128360,3421,132856,3286,1355767,2443,1023013,2298,12397,1750,1010616,2813,332754,1158,4468,918,328286,1467,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,368248,2388,193510,2058,165977,1978,33760,2698,132217,3499,27533,535,16616,1143,10917,1061,174738,1275,148716,1295,5965,1143,142751,1651,26022,392,862,302,25160,502,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4098506,16243,2013884,9713,1564337,9493,167649,5838,1396688,11715,449547,1617,228527,4688,221020,4838,2084622,8293,1562850,7995,25926,2420,1536924,8717,521772,1570,7082,1163,514690,1807,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1809394,3942,881229,2766,696876,2632,77023,3887,619853,5058,184353,866,88300,2877,96053,3013,928165,2217,700671,2066,9947,1522,690724,2772,227494,738,2577,731,224917,970,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18485703,36759,9126510,22970,7520619,22097,515530,10648,7005089,23384,1605891,5505,691424,8021,914467,9188,9359193,20917,7368771,19298,67692,4081,7301079,20255,1990422,6002,22612,1975,1967810,6021,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3503330,9350,1738034,6174,1453536,5972,158337,5512,1295199,8202,284498,1210,144199,3631,140299,3560,1765296,5254,1425353,4835,29099,2739,1396254,5083,339943,1445,5565,964,334378,1730,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2220428,8496,1066077,5496,851712,5396,58310,3497,793402,5629,214365,883,100088,3211,114277,3124,1154351,4555,874240,4306,7036,1329,867204,4356,280111,1025,2964,719,277147,1284,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,522401,2591,250517,1724,193443,1628,24218,1616,169225,2070,57074,404,28623,1424,28451,1474,271884,1481,202255,1477,3954,1002,198301,1544,69629,324,594,280,69035,458,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,231564,2934,114342,1908,102238,1854,4787,902,97451,1777,12104,486,4718,879,7386,819,117222,1519,102948,1520,1222,485,101726,1592,14274,344,565,490,13709,553,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12341444,21519,5984390,12131,4470828,12065,462078,10620,4008750,17049,1513562,2640,715015,8858,798547,9321,6357054,12477,4528855,11546,67259,4284,4461596,11982,1828199,4023,21248,2313,1806951,4737,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
