GEO_ID,B19101A_001E,B19101A_001M,B19101A_002E,B19101A_002M,B19101A_003E,B19101A_003M,B19101A_004E,B19101A_004M,B19101A_005E,B19101A_005M,B19101A_006E,B19101A_006M,B19101A_007E,B19101A_007M,B19101A_008E,B19101A_008M,B19101A_009E,B19101A_009M,B19101A_010E,B19101A_010M,B19101A_011E,B19101A_011M,B19101A_012E,B19101A_012M,B19101A_013E,B19101A_013M,B19101A_014E,B19101A_014M,B19101A_015E,B19101A_015M,B19101A_016E,B19101A_016M,B19101A_017E,B19101A_017M,NAME,B19101A_001EA,B19101A_001MA,B19101A_002MA,B19101A_002EA,B19101A_003EA,B19101A_003MA,B19101A_004EA,B19101A_004MA,B19101A_005MA,B19101A_005EA,B19101A_006EA,B19101A_006MA,B19101A_007EA,B19101A_007MA,B19101A_008MA,B19101A_008EA,B19101A_009EA,B19101A_009MA,B19101A_010EA,B19101A_010MA,B19101A_011MA,B19101A_011EA,B19101A_012EA,B19101A_012MA,B19101A_013MA,B19101A_013EA,B19101A_014EA,B19101A_014MA,B19101A_015EA,B19101A_015MA,B19101A_016MA,B19101A_016EA,B19101A_017EA,B19101A_017MA,state
0400000US01,886263,9520,39160,3377,26166,2398,30916,2794,40059,3040,40257,2943,41456,3196,43010,3341,42827,2797,43672,3229,76230,4515,104047,4681,130332,5532,88372,4646,51799,3135,49374,3062,38586,2277,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,119805,3199,2593,765,1371,605,2136,731,2456,647,2575,617,2480,680,2962,785,3848,1007,3941,944,6981,1082,12989,1610,19097,2199,19304,1926,12048,1430,14033,1391,10991,1633,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1292942,13144,60737,3371,38986,3126,43448,3098,51781,3605,59096,4148,65541,3953,60622,3932,61264,3754,56330,3305,118095,5819,146615,5988,181346,6183,128303,5279,73758,3491,73216,4013,73804,4204,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,613407,8381,26548,2534,21022,2136,26542,2345,32664,2894,32410,2487,31654,2564,36966,2682,33428,2628,30637,2675,59716,3488,69833,3553,84943,5313,53692,3542,27123,2497,23774,2228,22455,2110,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5637267,23560,208495,7413,159019,6425,189428,6290,219788,7945,222805,6790,223877,7541,218983,7790,218635,7597,201103,5913,386288,7873,545800,10958,732738,14170,584334,10938,405422,9815,501546,10620,619006,9029,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1146406,8236,33333,3062,19772,2142,28409,2919,36431,2843,40993,3184,44620,3356,41229,3086,45165,3444,43485,2821,85280,4141,125072,4601,178980,5922,135771,4917,86808,4397,100809,3850,100249,3955,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,712114,8744,17186,2476,10620,1891,12694,1864,15258,1650,19052,2345,19984,1834,20870,2175,19467,1974,18971,1956,41493,3270,64289,3759,107414,5654,87685,4550,67885,4069,82987,3830,106259,4154,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,170090,3453,5217,1317,2553,741,3413,922,5161,839,6010,1099,7524,1342,6569,1231,6338,1189,6922,1111,13174,1487,19413,2005,27177,2288,19420,1721,13499,1653,14123,1511,13577,1632,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,44582,2258,602,389,396,343,131,154,663,454,511,326,486,411,164,142,519,293,328,216,709,477,2990,959,3197,778,4607,1003,3510,694,7739,1056,18030,1529,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3741919,21514,149442,6337,113873,5725,139943,7390,173557,7200,178427,6515,188789,6678,185025,7288,190272,6741,172824,7415,337396,10341,423452,10065,502090,11313,350457,9141,203152,5976,202920,6424,230300,7171,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
