GEO_ID,B11004_001E,B11004_001M,B11004_002E,B11004_002M,B11004_003E,B11004_003M,B11004_004E,B11004_004M,B11004_005E,B11004_005M,B11004_006E,B11004_006M,B11004_007E,B11004_007M,B11004_008E,B11004_008M,B11004_009E,B11004_009M,B11004_010E,B11004_010M,B11004_011E,B11004_011M,B11004_012E,B11004_012M,B11004_013E,B11004_013M,B11004_014E,B11004_014M,B11004_015E,B11004_015M,B11004_016E,B11004_016M,B11004_017E,B11004_017M,B11004_018E,B11004_018M,B11004_019E,B11004_019M,B11004_020E,B11004_020M,NAME,B11004_001MA,B11004_001EA,B11004_002EA,B11004_002MA,B11004_003EA,B11004_003MA,B11004_004EA,B11004_004MA,B11004_005MA,B11004_005EA,B11004_006MA,B11004_006EA,B11004_007MA,B11004_007EA,B11004_008EA,B11004_008MA,B11004_009EA,B11004_009MA,B11004_010MA,B11004_010EA,B11004_011MA,B11004_011EA,B11004_012MA,B11004_012EA,B11004_013EA,B11004_013MA,B11004_014EA,B11004_014MA,B11004_015EA,B11004_015MA,B11004_016MA,B11004_016EA,B11004_017MA,B11004_017EA,B11004_018MA,B11004_018EA,B11004_019MA,B11004_019EA,B11004_020EA,B11004_020MA,state
0400000US01,1232515,11755,870026,12061,333469,7336,73086,4314,65055,3288,195328,5511,536557,9048,362489,7696,77605,4478,39514,3645,9428,1806,6562,1418,23524,2796,38091,2914,284884,6553,181270,5264,39886,3350,34982,2934,106402,4878,103614,4503,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,124028,3565,59481,3045,13967,1827,14871,1652,30643,2127,64547,2565,40987,3201,14666,1760,9330,1290,3050,886,1605,606,4675,991,5336,1018,26321,2332,19032,1890,5140,1157,3408,727,10484,1304,7289,1217,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,1141295,13485,462677,10410,93958,4673,114034,5646,254685,6944,678618,9978,438186,9863,134120,5652,76672,4328,19073,2358,14367,1806,43232,3849,57448,3608,304066,7963,198012,7187,37481,2773,45415,3621,115116,5238,106054,4858,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,546528,9376,215889,6076,47103,3700,46983,3422,121803,5182,330639,8372,205684,7012,53552,4358,32034,3045,8565,1558,4474,1187,18995,2529,21518,2326,152132,5472,102423,4805,24605,2550,21216,2594,56602,3622,49709,2923,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,6239143,26454,2988660,19899,654126,11811,702150,14916,1632384,16017,3250483,21864,2522916,23148,772276,14460,419297,11236,99562,5083,79643,5095,240092,8669,352979,9183,1750640,18960,1068635,17403,194500,7927,235222,8656,638913,13046,682005,10675,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,1005726,10270,443693,7592,112158,4095,95915,4342,235620,5875,562033,8495,309557,7641,99135,5173,62073,3738,12211,1759,8945,1748,40917,3109,37062,3208,210422,6507,140838,5916,30026,2738,25082,2571,85730,4583,69584,4355,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,650673,9276,271619,6795,58903,3837,45903,2711,166813,5412,379054,6647,236590,6825,64771,4207,32544,2924,8345,1612,4620,1158,19579,2286,32227,2779,171819,6120,105809,4968,17995,2375,21821,2327,65993,3771,66010,3921,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,165362,4195,62458,3163,14610,1685,13591,1622,34257,2637,102904,3374,67638,3162,18157,2184,8752,1313,2148,696,1632,689,4972,1143,9405,1743,49481,2861,32347,2711,6414,1236,7587,1553,18346,2039,17134,1705,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,66244,3097,25694,1820,10741,1439,4170,789,10783,1414,40550,2752,51620,3103,9496,1621,4318,1074,1201,576,799,432,2318,896,5178,1065,42124,2614,25819,2567,5674,1284,4814,1107,15331,2106,16305,1772,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,3380103,24537,1192686,16659,261954,9597,238533,9117,692199,14230,2187417,19504,1313308,18799,353537,9783,182276,8340,51939,4831,30057,3875,100280,6396,171261,6877,959771,14173,588566,12305,118151,6443,109990,6777,360425,11453,371205,8462,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
