GEO_ID,B08007_001E,B08007_001M,B08007_002E,B08007_002M,B08007_003E,B08007_003M,B08007_004E,B08007_004M,B08007_005E,B08007_005M,B08007_006E,B08007_006M,B08007_007E,B08007_007M,B08007_008E,B08007_008M,B08007_009E,B08007_009M,B08007_010E,B08007_010M,B08007_011E,B08007_011M,B08007_012E,B08007_012M,B08007_013E,B08007_013M,B08007_014E,B08007_014M,B08007_015E,B08007_015M,NAME,B08007_001MA,B08007_001EA,B08007_002EA,B08007_002MA,B08007_003EA,B08007_003MA,B08007_004EA,B08007_004MA,B08007_005EA,B08007_005MA,B08007_006MA,B08007_006EA,B08007_007EA,B08007_007MA,B08007_008EA,B08007_008MA,B08007_009EA,B08007_009MA,B08007_010EA,B08007_010MA,B08007_011MA,B08007_011EA,B08007_012MA,B08007_012EA,B08007_013EA,B08007_013MA,B08007_014EA,B08007_014MA,B08007_015EA,B08007_015MA,state
0400000US01,2007426,13350,1917660,14065,1466878,15670,450782,9561,89766,5006,1059453,9644,1002455,9797,742374,10101,260081,7041,56998,4075,947973,9784,915205,10013,724504,10614,190701,5864,32768,2786,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,359211,5456,357741,5490,333653,5445,24088,1662,1470,713,202972,3602,201592,3637,183495,3823,18097,1303,1380,708,156239,3948,156149,3939,150158,4015,5991,1017,90,95,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2831592,19395,2782775,18641,2664465,19388,118310,5522,48817,4088,1527939,12401,1494757,11601,1425003,11617,69754,3746,33182,3203,1303653,13310,1288018,13521,1239462,14609,48556,3907,15635,2004,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1249674,12677,1203199,13133,929471,11511,273728,8403,46475,3163,667551,8368,638704,9343,478253,8349,160451,6912,28847,2710,582123,9160,564495,9037,451218,8365,113277,4600,17628,1822,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17254926,40650,17176631,40836,14262130,44510,2914501,25402,78295,4413,9428905,26053,9375459,25733,7592885,27021,1782574,18915,53446,3637,7826021,29988,7801172,30279,6669245,31055,1131927,16818,24849,2484,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2681200,13178,2645948,13304,1750583,12946,895365,12566,35252,2821,1453889,9774,1429306,9731,910579,10073,518727,9650,24583,2487,1227311,8978,1216642,9109,840004,8338,376638,8499,10669,1619,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1765420,11499,1651248,12347,1305133,12605,346115,8885,114172,5175,917611,7939,844874,8310,650622,8882,194252,7060,72737,3691,847809,7713,806374,7869,654511,8044,151863,5686,41435,3377,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,434766,5852,372899,6521,343485,6851,29414,2935,61867,4322,220610,3955,183938,4244,168626,4165,15312,1969,36672,3488,214156,4298,188961,4487,174859,4561,14102,1883,25195,2608,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,343062,5802,259894,5296,259894,5296,0,198,83168,4289,165714,3554,122448,3745,122448,3745,0,198,43266,3256,177348,4230,137446,3982,137446,3982,0,198,39902,2745,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8636223,32707,8531314,32793,7044880,36744,1486434,25374,104909,5713,4541802,23123,4465034,23319,3608624,24747,856410,17543,76768,4670,4094421,20834,4066280,20630,3436256,21580,630024,15143,28141,2840,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
