GEO_ID,C27002_001E,C27002_001M,C27002_002E,C27002_002M,C27002_003E,C27002_003M,C27002_004E,C27002_004M,C27002_005E,C27002_005M,C27002_006E,C27002_006M,C27002_007E,C27002_007M,C27002_008E,C27002_008M,C27002_009E,C27002_009M,C27002_010E,C27002_010M,C27002_011E,C27002_011M,C27002_012E,C27002_012M,C27002_013E,C27002_013M,C27002_014E,C27002_014M,C27002_015E,C27002_015M,C27002_016E,C27002_016M,C27002_017E,C27002_017M,C27002_018E,C27002_018M,C27002_019E,C27002_019M,C27002_020E,C27002_020M,C27002_021E,C27002_021M,NAME,C27002_001EA,C27002_001MA,C27002_002MA,C27002_002EA,C27002_003EA,C27002_003MA,C27002_004MA,C27002_004EA,C27002_005MA,C27002_005EA,C27002_006EA,C27002_006MA,C27002_007MA,C27002_007EA,C27002_008EA,C27002_008MA,C27002_009MA,C27002_009EA,C27002_010MA,C27002_010EA,C27002_011EA,C27002_011MA,C27002_012EA,C27002_012MA,C27002_013MA,C27002_013EA,C27002_014MA,C27002_014EA,C27002_015EA,C27002_015MA,C27002_016EA,C27002_016MA,C27002_017MA,C27002_017EA,C27002_018EA,C27002_018MA,C27002_019MA,C27002_019EA,C27002_020MA,C27002_020EA,C27002_021EA,C27002_021MA,state
0400000US01,4767383,1932,2289780,5872,564919,4746,305253,8543,259666,8637,1407781,3396,985135,11382,422646,10504,317080,1997,208164,4202,108916,4380,2477603,5606,541928,4642,298453,8034,243475,7669,1527586,3213,1077003,9298,450583,8661,408089,2062,258440,4299,149649,3970,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711541,1618,363589,2580,94656,1704,54959,2920,39697,2764,235033,2140,162920,3866,72113,3596,33900,1002,20738,1305,13162,1231,347952,2104,91589,1669,55552,2745,36037,2523,221245,1198,152018,3518,69227,3775,35118,972,20328,1381,14790,1554,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6623074,1740,3251297,3166,826358,2285,457624,10131,368734,10251,1937999,2770,1251502,11659,686497,11713,486940,1367,280566,5049,206374,5065,3371777,2888,794218,2258,437244,7798,356974,7987,2006493,2365,1309281,12214,697212,11870,571066,1364,313855,6285,257211,6299,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914376,756,1423412,4652,360391,3763,167632,6133,192759,6362,861325,3214,569705,8879,291620,9242,201696,1438,122806,3111,78890,2920,1490964,4568,343420,3861,160207,6449,183213,7044,900910,3016,592546,8402,308364,8293,246634,1843,148359,3078,98275,2971,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38297457,5321,18865494,8096,4657991,3964,2580925,23000,2077066,22336,12038061,7340,7985990,27605,4052071,28278,2169442,2989,1158159,10287,1011283,10808,19431963,5973,4477142,4008,2458788,20034,2018354,19636,12226448,3884,8106015,28307,4120433,27973,2728373,3145,1374906,12466,1353467,12510,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5266022,2396,2622411,4609,640300,2702,401853,7534,238447,8008,1678778,3434,1230399,9878,448379,9741,303333,1624,188252,3349,115081,3071,2643611,4048,605132,2527,381791,7236,223341,6875,1677532,2424,1245618,9137,431914,9088,360947,1439,224027,4270,136920,4440,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541282,1220,1719425,2334,395003,1458,257643,5826,137360,5955,1091478,1984,824064,7988,267414,7612,232944,1423,151293,3142,81651,3045,1821857,2336,379018,1430,248010,5676,131008,5783,1142258,1885,851539,7724,290719,7780,300581,1319,189049,3733,111532,3543,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920930,554,443623,1227,104031,825,65988,2962,38043,2889,272159,1135,202880,3999,69279,3967,67433,733,49736,1666,17697,1709,477307,1167,99383,901,61943,2850,37440,2914,295631,700,217101,4333,78530,4348,82293,658,56950,2164,25343,2132,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,647966,509,303791,1024,58140,442,30929,2038,27211,2040,216572,977,154022,3772,62550,3632,29079,646,20805,1417,8274,1384,344175,1099,56694,456,28369,2246,28325,2187,244580,597,176953,3494,67627,3470,42901,869,29238,1386,13663,1342,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19583357,3419,9490859,7749,2066004,5977,1032259,18951,1033745,18386,5747594,5911,3625178,23447,2122416,23811,1677261,3397,901311,9865,775950,9402,10092498,7609,1980146,6054,992522,16574,987624,17668,6066114,4654,3973191,25505,2092923,23924,2046238,3447,1037446,11573,1008792,12007,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
