GEO_ID,B01001D_001E,B01001D_001M,B01001D_002E,B01001D_002M,B01001D_003E,B01001D_003M,B01001D_004E,B01001D_004M,B01001D_005E,B01001D_005M,B01001D_006E,B01001D_006M,B01001D_007E,B01001D_007M,B01001D_008E,B01001D_008M,B01001D_009E,B01001D_009M,B01001D_010E,B01001D_010M,B01001D_011E,B01001D_011M,B01001D_012E,B01001D_012M,B01001D_013E,B01001D_013M,B01001D_014E,B01001D_014M,B01001D_015E,B01001D_015M,B01001D_016E,B01001D_016M,B01001D_017E,B01001D_017M,B01001D_018E,B01001D_018M,B01001D_019E,B01001D_019M,B01001D_020E,B01001D_020M,B01001D_021E,B01001D_021M,B01001D_022E,B01001D_022M,B01001D_023E,B01001D_023M,B01001D_024E,B01001D_024M,B01001D_025E,B01001D_025M,B01001D_026E,B01001D_026M,B01001D_027E,B01001D_027M,B01001D_028E,B01001D_028M,B01001D_029E,B01001D_029M,B01001D_030E,B01001D_030M,B01001D_031E,B01001D_031M,NAME,B01001D_001EA,B01001D_001MA,B01001D_002EA,B01001D_002MA,B01001D_003MA,B01001D_003EA,B01001D_004MA,B01001D_004EA,B01001D_005MA,B01001D_005EA,B01001D_006EA,B01001D_006MA,B01001D_007EA,B01001D_007MA,B01001D_008EA,B01001D_008MA,B01001D_009MA,B01001D_009EA,B01001D_010MA,B01001D_010EA,B01001D_011EA,B01001D_011MA,B01001D_012EA,B01001D_012MA,B01001D_013EA,B01001D_013MA,B01001D_014MA,B01001D_014EA,B01001D_015EA,B01001D_015MA,B01001D_016MA,B01001D_016EA,B01001D_017EA,B01001D_017MA,B01001D_018EA,B01001D_018MA,B01001D_019EA,B01001D_019MA,B01001D_020MA,B01001D_020EA,B01001D_021EA,B01001D_021MA,B01001D_022MA,B01001D_022EA,B01001D_023EA,B01001D_023MA,B01001D_024EA,B01001D_024MA,B01001D_025MA,B01001D_025EA,B01001D_026EA,B01001D_026MA,B01001D_027MA,B01001D_027EA,B01001D_028EA,B01001D_028MA,B01001D_029EA,B01001D_029MA,B01001D_030EA,B01001D_030MA,B01001D_031MA,B01001D_031EA,state
0400000US01,58456,3055,27165,2160,1054,567,2349,872,1641,715,1351,607,1606,620,2568,837,1579,614,2159,639,5422,1042,4244,831,1592,682,897,522,662,394,41,93,31291,1952,1833,495,1558,583,1653,566,1217,703,622,349,2321,727,3501,945,2114,898,5111,980,4565,950,3262,680,1631,766,1681,748,222,249,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43915,2139,21122,1339,1257,344,1449,445,1797,457,1010,498,945,490,2371,696,1297,384,1092,325,2888,531,2567,351,3171,637,948,510,169,213,161,242,22793,1279,1324,332,1260,485,1416,472,864,464,1020,421,2294,629,1654,219,1428,359,3978,467,3009,495,2316,418,1202,413,564,305,464,369,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,212116,4644,97513,3129,6474,617,6100,1183,7128,1290,3465,589,2374,609,8301,955,9192,820,9130,615,16910,1110,11952,599,7793,708,5378,537,2672,548,644,398,114603,2854,7101,1131,6507,1041,7322,1357,3234,543,2552,445,7970,791,8542,718,9744,830,20199,1122,15299,556,12994,928,8446,680,3768,489,925,466,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36555,2279,17770,1260,1157,481,1587,525,1564,624,900,358,278,256,1386,541,2043,706,1219,669,3070,808,2347,836,1717,442,199,170,303,210,0,190,18785,1612,559,331,924,478,1001,347,737,438,323,238,674,415,2321,609,1431,564,4011,875,3506,801,1596,395,1145,528,467,302,90,150,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5398090,18287,2555182,9672,141954,2876,140581,4613,147512,5056,91902,1919,67048,2148,182569,2939,211540,2932,201911,2341,387465,3243,361024,2415,304608,2217,186646,1253,99166,2326,31256,2134,2842908,10871,131438,3643,140061,4501,140628,5173,82847,2113,63563,1949,179378,2807,215022,3045,227027,2657,451166,2896,422106,2523,372472,2059,231387,1944,127944,3358,57869,3176,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,157958,4063,71631,2607,5123,806,3903,954,4751,1211,3320,710,1787,542,5275,975,7006,919,5793,712,13104,1031,9510,991,6413,546,3712,586,1637,490,297,197,86327,2560,4404,819,5865,1093,5244,1167,2783,670,2409,666,5216,1051,7436,733,7805,779,15454,1074,11211,825,9543,598,5295,577,2671,496,991,345,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,151402,3740,70968,2262,4512,647,5436,1199,3619,806,2379,520,1885,834,5809,1067,6190,588,7143,645,12721,783,9915,775,6630,498,3197,394,1417,429,115,136,80434,2406,4326,672,4911,806,4358,866,3120,468,3375,773,5647,912,6131,452,7670,691,16149,938,11198,736,7241,509,4163,595,1921,507,224,246,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36172,888,17255,826,1133,169,784,502,1511,620,288,273,601,318,1644,625,1443,326,1990,471,3837,593,1075,456,1675,314,821,238,348,223,105,171,18917,658,1179,182,1184,573,1408,727,639,369,199,178,1585,327,1746,227,1858,371,2757,232,2739,446,1494,184,1751,469,217,183,161,181,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24910,1142,10181,871,912,544,119,143,97,154,0,198,680,318,959,319,1492,280,1764,234,1893,305,1031,64,683,278,430,208,85,103,36,64,14729,703,493,342,575,322,75,96,46,77,1094,484,1062,528,2480,292,2646,242,2894,138,1212,215,1096,198,534,234,267,218,255,202,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,524583,7659,240407,4569,11201,1677,15449,1899,14003,1839,8891,1471,6960,1537,19307,1582,19521,1460,17083,1404,40634,1980,33876,1673,26131,1335,18482,1314,7157,1138,1712,593,284176,5575,12946,1699,14792,1761,14451,1692,8637,1374,8340,1506,16317,1711,20219,1402,23714,1688,48766,1926,43896,2329,34920,1200,24001,1446,10140,1442,3037,868,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,371688,5501,180253,3802,12913,1126,11989,1355,12586,1548,7918,1147,4983,813,13594,1224,14666,1225,14734,964,31790,1648,26066,1440,16422,1076,9237,976,2709,622,646,483,191435,3227,9802,1067,11913,1674,11908,1836,7095,773,5981,1041,13096,1455,13954,1069,18367,1094,38319,1896,26809,1510,17503,1054,11653,980,4119,646,916,456,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
