GEO_ID,B05003_001E,B05003_001M,B05003_002E,B05003_002M,B05003_003E,B05003_003M,B05003_004E,B05003_004M,B05003_005E,B05003_005M,B05003_006E,B05003_006M,B05003_007E,B05003_007M,B05003_008E,B05003_008M,B05003_009E,B05003_009M,B05003_010E,B05003_010M,B05003_011E,B05003_011M,B05003_012E,B05003_012M,B05003_013E,B05003_013M,B05003_014E,B05003_014M,B05003_015E,B05003_015M,B05003_016E,B05003_016M,B05003_017E,B05003_017M,B05003_018E,B05003_018M,B05003_019E,B05003_019M,B05003_020E,B05003_020M,B05003_021E,B05003_021M,B05003_022E,B05003_022M,B05003_023E,B05003_023M,NAME,B05003_001EA,B05003_001MA,B05003_002EA,B05003_002MA,B05003_003EA,B05003_003MA,B05003_004MA,B05003_004EA,B05003_005EA,B05003_005MA,B05003_006MA,B05003_006EA,B05003_007EA,B05003_007MA,B05003_008EA,B05003_008MA,B05003_009MA,B05003_009EA,B05003_010EA,B05003_010MA,B05003_011MA,B05003_011EA,B05003_012EA,B05003_012MA,B05003_013EA,B05003_013MA,B05003_014MA,B05003_014EA,B05003_015MA,B05003_015EA,B05003_016MA,B05003_016EA,B05003_017MA,B05003_017EA,B05003_018EA,B05003_018MA,B05003_019MA,B05003_019EA,B05003_020MA,B05003_020EA,B05003_021MA,B05003_021EA,B05003_022MA,B05003_022EA,B05003_023EA,B05003_023MA,state
0400000US01,4849377,-555555555,2347969,5243,566129,4695,559604,4576,6525,1498,1655,683,4870,1303,1781840,2573,1709621,4296,72219,3950,21636,2483,50583,3938,2501408,5243,542471,4638,536034,4404,6437,1596,1627,725,4810,1404,1958937,2553,1886762,4786,72175,4251,29798,3151,42377,3248,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,736732,-555555555,385582,1999,94861,1673,92470,2173,2391,1097,616,299,1775,1089,290721,1324,265838,2286,24883,1915,14388,1502,10495,1770,351150,1999,91908,1648,90414,1558,1494,798,580,435,914,621,259242,1188,233338,2512,25904,2157,15014,1614,10890,1666,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6731484,-555555555,3342946,2452,827598,2226,798671,3956,28927,3291,5183,1952,23744,3193,2515348,1684,2099333,8511,416015,8509,157490,5415,258525,7371,3388538,2452,794473,2245,766567,3603,27906,3015,5596,1247,22310,2782,2594065,1285,2147354,9012,446711,8856,190709,6884,256002,7376,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2966369,-555555555,1456778,4252,361242,3812,355030,3630,6212,1695,920,487,5292,1687,1095536,2838,1030464,4399,65072,3240,17617,2161,47455,3466,1509591,4252,344898,3853,340914,4166,3984,1165,1261,497,2723,1083,1164693,2336,1099964,3818,64729,3240,22423,2077,42306,3143,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38802500,-555555555,19264457,4495,4670967,3799,4427276,8608,243691,7782,48169,3911,195522,7502,14593490,3494,9740385,26890,4853105,26674,2333947,21500,2519158,26211,19538043,4495,4480612,3862,4255059,9765,225553,8722,47240,3852,178313,7864,15057431,3043,9867381,24853,5190050,24576,2725427,21524,2464623,24017,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5355866,-555555555,2692599,3357,641670,2690,622528,3152,19142,2713,5614,1430,13528,2403,2050929,2412,1803304,8088,247625,8251,91901,4880,155724,6797,2663267,3357,605475,2535,587112,2927,18363,2102,5597,1280,12766,2031,2057792,1913,1804678,7131,253114,6764,111261,4921,141853,6300,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3596677,-555555555,1754116,1816,395695,1453,378630,3165,17065,2668,4495,1173,12570,2421,1358421,1565,1131838,7029,226583,6722,101284,5777,125299,5366,1842561,1816,379181,1451,362621,2184,16560,1900,5344,1383,11216,1583,1463380,1513,1231669,6722,231711,6452,124782,5333,106929,4489,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,935614,-555555555,454005,925,104316,827,102259,1134,2057,694,960,472,1097,513,349689,700,312290,2755,37399,2651,18296,1928,19103,2358,481609,925,99526,850,95915,1237,3611,842,961,515,2650,878,382083,528,344850,3044,37233,3005,18952,2277,18281,1987,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,658893,-555555555,312633,686,58267,437,55122,1056,3145,899,665,402,2480,847,254366,479,213786,3076,40580,3023,14237,2449,26343,2193,346260,686,56763,437,52915,1192,3848,1159,907,568,2941,1131,289497,480,245121,3068,44376,3012,19706,2025,24670,2501,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19893297,-555555555,9722228,6892,2071679,5904,1967322,8081,104357,5745,22081,2741,82276,5090,7650549,3480,5878486,17953,1772063,18076,921073,15301,850990,14063,10171069,6892,1982344,6030,1873501,9275,108843,7308,31549,3367,77294,6764,8188725,3139,6200473,20038,1988252,19976,1161759,17504,826493,17214,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
