GEO_ID,B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,NAME,B12002B_001MA,B12002B_001EA,B12002B_002EA,B12002B_002MA,B12002B_003EA,B12002B_003MA,B12002B_004EA,B12002B_004MA,B12002B_005MA,B12002B_005EA,B12002B_006MA,B12002B_006EA,B12002B_007MA,B12002B_007EA,B12002B_008EA,B12002B_008MA,B12002B_009EA,B12002B_009MA,B12002B_010EA,B12002B_010MA,B12002B_011EA,B12002B_011MA,B12002B_012EA,B12002B_012MA,B12002B_013MA,B12002B_013EA,state
0400000US01,1017937,5073,461639,3254,227907,5511,151773,5208,17514,2277,12689,1602,51756,3094,556298,3570,250283,6564,138235,4751,31344,2947,55670,2791,80766,4187,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,20231,1445,12663,1476,5399,1531,5223,1256,412,426,236,405,1393,624,7568,970,2166,747,3018,862,321,245,342,422,1721,880,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,217962,4052,114417,3003,54018,3424,38728,2939,4235,1189,2014,797,15422,1908,103545,2263,47779,2923,27708,2563,3368,960,7640,1476,17050,2086,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,358361,3568,167674,2605,84795,3810,52386,3401,6604,1277,3765,693,20124,2316,190687,2340,84313,3487,52417,3510,11558,1832,16905,1581,25494,2447,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1840875,9972,902475,6953,461189,8514,288159,6740,29877,2995,22849,2138,100401,4966,938400,6440,449270,8733,235752,5428,35098,3092,76824,3660,141456,4931,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,169501,3400,92583,2444,43148,2655,33159,2376,2327,847,2249,765,11700,1761,76918,2486,31639,2521,23378,2006,3342,989,4705,950,13854,1657,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,294759,4796,138437,3368,72503,3538,46664,3091,3086,902,3006,946,13178,1948,156322,3031,78259,3812,43259,3211,4057,1168,9676,1368,21071,2219,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,161165,1875,74438,1104,36312,1977,26076,2040,1232,549,1631,584,9187,1527,86727,1286,39667,2188,26767,2203,1998,621,6683,995,11612,1600,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,264059,2143,116852,1121,68247,2463,25968,2374,3983,953,3432,734,15222,1390,147207,1412,83249,3223,25983,2212,5597,1243,14844,1489,17534,1820,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2511770,10707,1186518,7554,596736,10312,404010,8588,38699,3609,30109,3029,116964,6055,1325252,7296,620809,9519,361741,9496,56868,4762,103974,3989,181860,6603,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2454252,8783,1124034,5842,570582,9072,385047,9275,36959,3156,23339,2370,108107,5149,1330218,5966,623178,8748,355366,10106,63560,5069,105612,5389,182502,8305,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,25226,1618,16061,1291,5892,1675,8561,1481,112,140,164,224,1332,657,9165,937,3089,974,4366,984,0,181,517,263,1193,637,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7730,1233,4096,857,2683,917,1115,505,0,190,0,190,298,256,3634,902,2226,871,1154,449,117,129,0,190,137,162,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
