GEO_ID,C01001D_001E,C01001D_001M,C01001D_002E,C01001D_002M,C01001D_003E,C01001D_003M,C01001D_004E,C01001D_004M,C01001D_005E,C01001D_005M,C01001D_006E,C01001D_006M,C01001D_007E,C01001D_007M,C01001D_008E,C01001D_008M,C01001D_009E,C01001D_009M,NAME,C01001D_001MA,C01001D_001EA,C01001D_002EA,C01001D_002MA,C01001D_003EA,C01001D_003MA,C01001D_004MA,C01001D_004EA,C01001D_005MA,C01001D_005EA,C01001D_006MA,C01001D_006EA,C01001D_007EA,C01001D_007MA,C01001D_008EA,C01001D_008MA,C01001D_009MA,C01001D_009EA,state
0400000US01,58456,3055,27165,2160,6395,1178,19170,1598,1600,712,31291,1952,6261,1097,21496,1400,3534,821,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43915,2139,21122,1339,5513,957,14331,1212,1278,557,22793,1279,4864,881,15699,876,2230,268,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,212116,4644,97513,3129,23167,1855,65652,2294,8694,643,114603,2854,24164,1855,77300,2170,13139,761,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,36555,2279,17770,1260,5208,861,12060,933,502,248,18785,1612,3221,761,13862,1154,1702,622,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5398090,18287,2555182,9672,521949,6478,1716165,5853,317068,1379,2842908,10871,494974,6788,1930734,6112,417200,2443,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,157958,4063,71631,2607,17097,1742,48888,1669,5646,521,86327,2560,18296,1517,59074,1898,8957,431,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,151402,3740,70968,2262,15946,1472,50293,1597,4729,438,80434,2406,16715,1346,57411,1763,6308,562,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36172,888,17255,826,3716,545,12265,723,1274,170,18917,658,4410,444,12378,558,2129,343,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24910,1142,10181,871,1128,566,8502,576,551,212,14729,703,1189,472,12484,522,1056,56,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,524583,7659,240407,4569,49544,3090,163512,2738,27351,1296,284176,5575,50826,3398,196172,3272,37178,1390,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,371688,5501,180253,3802,45406,2407,122255,2587,12592,916,191435,3227,40718,1859,134029,2457,16688,957,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,534189,9753,245910,5426,41398,2615,152664,3826,51848,1338,288279,5589,40517,2808,173761,3668,74001,1366,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
