GEO_ID,B06008_001E,B06008_001M,B06008_002E,B06008_002M,B06008_003E,B06008_003M,B06008_004E,B06008_004M,B06008_005E,B06008_005M,B06008_006E,B06008_006M,B06008_007E,B06008_007M,B06008_008E,B06008_008M,B06008_009E,B06008_009M,B06008_010E,B06008_010M,B06008_011E,B06008_011M,B06008_012E,B06008_012M,B06008_013E,B06008_013M,B06008_014E,B06008_014M,B06008_015E,B06008_015M,B06008_016E,B06008_016M,B06008_017E,B06008_017M,B06008_018E,B06008_018M,B06008_019E,B06008_019M,B06008_020E,B06008_020M,B06008_021E,B06008_021M,B06008_022E,B06008_022M,B06008_023E,B06008_023M,B06008_024E,B06008_024M,B06008_025E,B06008_025M,B06008_026E,B06008_026M,B06008_027E,B06008_027M,B06008_028E,B06008_028M,B06008_029E,B06008_029M,B06008_030E,B06008_030M,NAME,B06008_001EA,B06008_001MA,B06008_002MA,B06008_002EA,B06008_003EA,B06008_003MA,B06008_004MA,B06008_004EA,B06008_005EA,B06008_005MA,B06008_006EA,B06008_006MA,B06008_007MA,B06008_007EA,B06008_008EA,B06008_008MA,B06008_009MA,B06008_009EA,B06008_010MA,B06008_010EA,B06008_011EA,B06008_011MA,B06008_012MA,B06008_012EA,B06008_013EA,B06008_013MA,B06008_014EA,B06008_014MA,B06008_015MA,B06008_015EA,B06008_016EA,B06008_016MA,B06008_017EA,B06008_017MA,B06008_018MA,B06008_018EA,B06008_019EA,B06008_019MA,B06008_020MA,B06008_020EA,B06008_021MA,B06008_021EA,B06008_022EA,B06008_022MA,B06008_023EA,B06008_023MA,B06008_024MA,B06008_024EA,B06008_025MA,B06008_025EA,B06008_026MA,B06008_026EA,B06008_027EA,B06008_027MA,B06008_028EA,B06008_028MA,B06008_029EA,B06008_029MA,B06008_030MA,B06008_030EA,state
0400000US01,3931966,3565,1188202,14844,1872428,22959,491821,11439,100151,5338,279364,7283,2639251,20049,858250,15289,1164012,19376,339401,9044,72176,5063,205412,6442,1105607,18035,275183,8945,603983,14473,137276,6058,22508,2838,66657,3700,38766,4551,13214,2688,19152,2393,3810,1099,1550,843,1040,431,148342,6320,41555,3985,85281,5161,11334,2387,3917,1376,6255,1158,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,579778,1194,200938,5645,278761,7325,68170,3700,10313,1539,21596,1987,186168,5179,104488,5373,58169,3676,15199,1532,3079,592,5233,826,326733,5070,78610,4370,182772,5917,45410,3419,5910,1300,14031,1769,15314,2194,6957,1504,6117,1237,1948,866,123,111,169,159,51563,3308,10883,1948,31703,2115,5613,1390,1201,699,2163,514,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5381925,2298,1797714,19036,2521223,26908,660872,14310,99505,5911,302611,8363,1548339,16998,836973,14755,490750,12231,149805,5882,25784,2762,45027,3803,2869451,15685,707644,15089,1479555,17125,427327,9594,45231,3203,209694,6605,81431,5629,34617,3706,35787,3626,7645,1485,1253,714,2129,774,882704,14885,218480,8709,515131,12376,76095,5446,27237,3722,45761,3658,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2381476,2931,672552,9728,1180622,16490,307694,9369,58856,4225,161752,5899,1346530,13964,424112,9447,615027,12390,175716,7064,35139,3284,96536,4703,883612,14052,204562,8212,476612,12049,121552,5768,21009,2525,59877,4293,17675,2271,6631,1313,8051,1507,2144,790,562,517,287,214,133659,5391,37247,4921,80932,4577,8282,1767,2146,867,5052,1246,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31206124,3092,11497373,41265,14421757,51116,3011332,28284,694635,14760,1581027,16879,14509674,49541,7366619,38124,5102859,35165,1339719,19418,272554,10263,427923,10560,6075948,36496,1511525,19530,3045292,25559,851439,15809,112600,6222,555092,11905,414062,11158,154632,7554,187699,7228,44248,3114,10795,1899,16688,2092,10206440,43739,2464597,30277,6085907,40224,775926,15771,298686,9148,581324,11768,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4309301,2682,1362494,14839,2166073,18939,525966,12668,69327,4347,185441,6287,1462674,18821,630510,12000,589623,12314,169470,7819,19963,2064,53108,3276,2260659,18493,586283,12922,1230991,16032,300503,9104,31374,2797,111508,4414,71966,4707,25703,3262,34425,2752,9273,1698,1204,554,1361,680,514002,12089,119998,7796,311034,9797,46720,4068,16786,2232,19464,2148,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2967896,1050,1025347,11908,1407169,18238,329127,11483,36600,3004,169653,5437,1492790,14179,626863,10789,611491,12628,166240,7279,10797,1476,77399,3487,886882,14289,237483,8532,479878,10439,98598,4846,10925,1991,59998,3628,120467,6632,45134,3938,46455,4699,15474,2127,5823,1460,7581,1593,467757,11701,115867,6079,269345,8816,48815,4556,9055,1529,24675,2637,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,765491,834,255717,5486,358548,7784,93040,4699,11814,1825,46372,2459,296969,8362,128374,5277,113711,5654,35099,3273,3636,880,16149,1778,377839,8016,102462,5277,194087,6391,49007,2790,5981,1322,26302,2090,14717,2124,4832,1261,6463,1509,2166,1041,629,481,627,407,75966,4894,20049,3175,44287,2464,6768,1906,1568,717,3294,918,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,559363,238,316290,5739,153894,6205,50499,2687,13877,2158,24803,2081,165802,4695,107717,4274,28044,3222,17206,1783,5010,1105,7825,1495,295973,5409,161988,5032,88120,4356,26504,1780,5339,1401,14022,1607,10893,1578,7409,1456,2419,573,531,352,414,471,120,135,86695,5059,39176,3059,35311,3747,6258,1205,3114,1139,2836,878,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16544829,3434,5229442,31066,7583757,47792,2151822,23668,398465,11901,1181343,16579,4520315,39584,2417337,29635,1369403,24412,477035,11659,98328,6083,158212,6655,7589798,34047,1690064,22142,3895243,30803,1120760,18525,154339,7054,729392,13153,601672,13768,198692,9500,272704,10540,78822,5486,15666,2703,35788,3323,3833044,33094,923349,19784,2046407,25085,475205,12141,130132,8281,257951,8961,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
