GEO_ID,B15010_001E,B15010_001M,B15010_002E,B15010_002M,B15010_003E,B15010_003M,B15010_004E,B15010_004M,B15010_005E,B15010_005M,B15010_006E,B15010_006M,B15010_007E,B15010_007M,B15010_008E,B15010_008M,B15010_009E,B15010_009M,B15010_010E,B15010_010M,B15010_011E,B15010_011M,B15010_012E,B15010_012M,B15010_013E,B15010_013M,B15010_014E,B15010_014M,B15010_015E,B15010_015M,B15010_016E,B15010_016M,NAME,B15010_001EA,B15010_001MA,B15010_002EA,B15010_002MA,B15010_003EA,B15010_003MA,B15010_004EA,B15010_004MA,B15010_005MA,B15010_005EA,B15010_006EA,B15010_006MA,B15010_007MA,B15010_007EA,B15010_008MA,B15010_008EA,B15010_009MA,B15010_009EA,B15010_010EA,B15010_010MA,B15010_011EA,B15010_011MA,B15010_012MA,B15010_012EA,B15010_013MA,B15010_013EA,B15010_014EA,B15010_014MA,B15010_015EA,B15010_015MA,B15010_016MA,B15010_016EA,state
0400000US01,764407,13255,30348,2537,47646,3524,20909,2120,29020,2567,33421,2602,58192,3887,4371,1120,80489,4928,185613,6123,126241,5672,20449,1973,34037,2713,21654,2554,22728,2505,49289,4041,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,130264,5047,3133,871,12875,1858,6701,1194,5460,1171,9730,1542,9154,1473,942,416,12276,1685,20699,2152,19354,1950,5198,857,7842,1315,3636,779,3822,869,9442,1259,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1222292,14027,49387,3196,69251,4057,34646,3055,54998,2879,75964,4516,104310,5051,7865,1299,117115,5022,260976,8518,181454,6375,44436,3480,53168,3598,46573,3656,46480,3255,75669,4706,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,420958,10645,16246,1952,31714,2504,12079,1630,15416,2095,21616,2213,18909,2297,1859,787,45394,3647,89074,4962,88082,4621,12870,1978,19709,1750,12901,1742,14305,2066,20784,2600,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8136670,41097,414441,10440,527513,11325,279042,9044,415014,10452,818620,14798,799975,12602,59377,3582,649691,12506,1486234,19132,571331,10952,413659,10736,490566,11712,450804,9810,351063,9434,409340,10104,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1374212,13755,69606,4027,103709,4771,54025,3474,74587,4291,116104,5998,110303,4769,11043,1528,108604,4826,263206,6774,137409,5562,63698,3309,63552,4125,59050,3326,57724,2602,81592,4357,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,940114,11310,41797,3455,48935,3664,27813,2400,52230,3488,95428,4200,75964,3710,4227,946,81381,4101,187022,6510,102642,4321,52862,3112,54123,2485,40611,3002,30345,2412,44734,3402,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195881,6561,11043,1792,12183,1475,8437,1634,8277,1369,13322,1572,17147,1772,2136,847,16276,1850,43191,3513,26092,2530,7939,1143,8166,1388,4665,809,4046,937,12961,1603,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,254672,4652,9317,1249,13234,1902,6696,1292,10679,1534,63015,3628,12739,1635,3386,899,12078,1868,36268,2880,11388,1540,20687,1928,21552,2227,10129,1441,14765,1744,8739,1614,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3830504,29450,146526,6728,184611,8154,112839,5574,175474,7900,264583,7668,293646,8504,26769,2956,385093,11743,936865,17377,550212,10775,118586,6379,163744,7243,122926,6521,136864,6520,211766,6775,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
