B08528_004M,B08528_005E,B08528_005M,B08528_006E,B08528_006M,B08528_007E,B08528_007M,B08528_008E,B08528_008M,B08528_009E,B08528_009M,B08528_010E,B08528_010M,B08528_011E,B08528_011M,B08528_012E,B08528_012M,B08528_013E,B08528_013M,B08528_014E,B08528_014M,B08528_015E,B08528_015M,B08528_016E,B08528_016M,B08528_017E,B08528_017M,B08528_018E,B08528_018M,B08528_019E,B08528_019M,B08528_020E,B08528_020M,B08528_021E,B08528_021M,B08528_022E,B08528_022M,B08528_023E,B08528_023M,B08528_024E,B08528_024M,B08528_025E,B08528_025M,B08528_026E,B08528_026M,B08528_027E,B08528_027M,B08528_028E,B08528_028M,B08528_029E,B08528_029M,B08528_030E,B08528_030M,B08528_031E,B08528_031M,B08528_032E,B08528_032M,B08528_033E,B08528_033M,B08528_034E,B08528_034M,B08528_035E,B08528_035M,B08528_036E,B08528_036M,B08528_037E,B08528_037M,B08528_038E,B08528_038M,B08528_039E,B08528_039M,B08528_040E,B08528_040M,B08528_041E,B08528_041M,B08528_042E,B08528_042M,B08528_043E,B08528_043M,B08528_044E,B08528_044M,B08528_045E,B08528_045M,B08528_046E,B08528_046M,B08528_047E,B08528_047M,B08528_048E,B08528_048M,B08528_049E,B08528_049M,B08528_050E,B08528_050M,B08528_051E,B08528_051M,B08528_052E,B08528_052M,B08528_053E,B08528_053M,B08528_054E,B08528_054M,B08528_055E,B08528_055M,B08528_056E,B08528_056M,B08528_057E,B08528_057M,B08528_058E,B08528_058M,B08528_059E,B08528_059M,B08528_060E,B08528_060M,B08528_061E,B08528_061M,B08528_062E,B08528_062M,B08528_063E,B08528_063M,B08528_064E,B08528_064M,B08528_065E,B08528_065M,B08528_066E,B08528_066M,B08528_067E,B08528_067M,B08528_068E,B08528_068M,B08528_069E,B08528_069M,B08528_070E,B08528_070M,GEO_ID,B08528_001E,B08528_001M,B08528_002E,B08528_002M,B08528_003E,B08528_003M,B08528_004E,B08528_004MA,B08528_005EA,B08528_005MA,B08528_006MA,B08528_006EA,B08528_007MA,B08528_007EA,B08528_008EA,B08528_008MA,B08528_009EA,B08528_009MA,B08528_010EA,B08528_010MA,B08528_011MA,B08528_011EA,B08528_012MA,B08528_012EA,B08528_013EA,B08528_013MA,B08528_014EA,B08528_014MA,B08528_015EA,B08528_015MA,B08528_016EA,B08528_016MA,B08528_017MA,B08528_017EA,B08528_018MA,B08528_018EA,B08528_019MA,B08528_019EA,B08528_020EA,B08528_020MA,B08528_021EA,B08528_021MA,B08528_022EA,B08528_022MA,B08528_023EA,B08528_023MA,B08528_024MA,B08528_024EA,B08528_025EA,B08528_025MA,B08528_026EA,B08528_026MA,B08528_027EA,B08528_027MA,B08528_028EA,B08528_028MA,B08528_029MA,B08528_029EA,B08528_030MA,B08528_030EA,B08528_031EA,B08528_031MA,B08528_032EA,B08528_032MA,B08528_033MA,B08528_033EA,B08528_034MA,B08528_034EA,B08528_035MA,B08528_035EA,B08528_036EA,B08528_036MA,B08528_037EA,B08528_037MA,B08528_038MA,B08528_038EA,B08528_039MA,B08528_039EA,B08528_040MA,B08528_040EA,B08528_041MA,B08528_041EA,B08528_042EA,B08528_042MA,B08528_043EA,B08528_043MA,B08528_044MA,B08528_044EA,B08528_045MA,B08528_045EA,B08528_046MA,B08528_046EA,B08528_047EA,B08528_047MA,B08528_048EA,B08528_048MA,B08528_049EA,B08528_049MA,B08528_050MA,B08528_050EA,B08528_051MA,B08528_051EA,B08528_052MA,B08528_052EA,B08528_053MA,B08528_053EA,B08528_054EA,B08528_054MA,B08528_055MA,B08528_055EA,B08528_056MA,B08528_056EA,B08528_057MA,B08528_057EA,B08528_058MA,B08528_058EA,B08528_059EA,B08528_059MA,B08528_060EA,B08528_060MA,B08528_061MA,B08528_061EA,B08528_062MA,B08528_062EA,B08528_063EA,B08528_063MA,B08528_064EA,B08528_064MA,B08528_065EA,B08528_065MA,B08528_066MA,B08528_066EA,B08528_067MA,B08528_067EA,B08528_068MA,B08528_068EA,B08528_069EA,B08528_069MA,B08528_070EA,B08528_070MA,NAME,B08528_001MA,B08528_001EA,B08528_002MA,B08528_002EA,B08528_003MA,B08528_003EA,B08528_004EA,state
3690,135607,5934,132440,6224,110082,5742,78496,4235,100761,5140,3676,853,1681753,15904,1211406,15201,1168837,15318,42569,3428,115187,5588,119478,5906,95927,5325,69807,4086,67617,4265,2331,713,170458,8413,121959,6857,118551,6825,3408,718,13570,2133,9811,1849,9602,1561,4548,955,10480,1912,488,323,7454,1743,4322,1091,4143,1063,179,238,500,299,581,345,1040,714,508,465,460,331,43,70,22253,2718,15100,2508,14536,2463,564,363,2105,747,850,466,1062,427,431,241,2526,837,179,164,21577,2458,15803,2181,14779,2194,1024,529,1637,761,601,376,1363,507,575,355,1541,588,57,90,57233,3661,31076,3027,24358,2662,6718,1316,2608,828,1119,474,1088,418,2627,627,18137,2181,578,322,0400000US01,1960728,14412,1399666,14367,1345204,14227,54462,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,01
1709,34549,3166,33608,2576,28071,2776,41822,3315,21691,1983,556,413,250684,6214,138511,5770,130380,5728,8131,1417,24981,2778,22438,2334,20251,2408,32328,3174,11758,1620,417,410,43650,3232,24515,2648,22860,2607,1655,656,3938,871,4307,1085,3765,931,5447,1186,1645,560,33,54,5178,1224,3843,1167,3725,1144,118,115,487,308,166,165,461,282,178,161,43,73,0,187,29491,2206,17158,1887,16752,1831,406,211,2412,735,3777,478,1879,403,2937,833,1308,428,20,34,23206,2226,15124,2142,14389,2210,735,511,1544,465,2576,414,1462,466,665,287,1835,728,0,187,13915,1891,6676,1712,4621,1379,2055,744,1187,612,344,198,253,160,267,152,5102,995,86,71,0400000US02,366124,5570,205827,6106,192727,6263,13100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,02
4360,180730,7516,185804,6420,128372,6094,92552,4792,171706,8035,4293,1096,2158777,17865,1587065,20431,1525886,20776,61179,3341,142373,6299,156258,6269,96628,5184,75887,4502,98766,5003,1800,688,293325,9205,213712,7958,205214,7951,8498,1375,18783,2520,17896,2047,15600,1784,8157,1282,18077,2373,1100,599,56512,4964,43972,4391,43118,4346,854,504,3145,907,2999,803,2603,845,1290,652,2503,1090,0,187,55428,4255,39634,3552,37981,3394,1653,521,3383,1048,2276,561,4288,1134,2270,540,3537,1267,40,61,78261,5498,56439,4393,55862,4367,577,287,4870,1050,3324,736,6483,1595,2187,698,4880,1303,78,90,161653,6371,99677,5223,78781,4600,20896,2232,8176,1164,3051,733,2770,739,2761,658,43943,3922,1275,547,0400000US04,2803956,19199,2040499,22182,1946842,22384,93657,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,04
2628,87686,4848,63713,4517,108824,5894,28492,2390,79488,4485,1888,705,1028051,13906,731421,13133,705559,12762,25862,2417,74629,4345,55127,4211,90392,5441,25065,2165,50175,3541,1242,623,134288,6948,93853,5789,89322,5689,4531,1389,8803,1403,6470,1527,12554,1825,2801,733,9707,1841,100,125,4138,1186,3040,994,2890,936,150,212,139,123,291,353,380,319,203,212,85,147,0,187,21931,2424,16043,1924,15446,1934,597,337,1723,610,436,249,1584,688,0,187,1967,719,178,155,15173,2221,11571,2151,10967,2038,604,460,619,348,818,465,994,451,44,73,1044,509,83,113,41375,3177,18937,2166,14114,1850,4823,1214,1773,621,571,426,2920,1136,379,272,16510,2190,285,236,0400000US05,1244956,13403,874865,13310,838298,13293,36567,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,05
12965,1111293,16141,1244757,18115,691257,14273,451534,10195,1397075,20126,27425,2897,12684561,45443,9225145,42404,8846931,42285,378214,9899,818246,15687,997101,14916,481104,11255,317103,8829,832989,17225,12873,1517,1811654,28148,1320016,22715,1265437,22235,54579,4730,104417,4378,119181,4884,74075,4433,43667,3443,145297,6766,5001,1194,913139,15806,689225,13516,679874,13664,9351,1390,68066,5006,42864,3262,44487,2876,19227,2638,48504,4129,766,322,466979,12148,303010,10459,291778,10001,11232,1878,47381,4336,21837,1966,31692,3109,29076,3468,32577,2837,1406,662,448540,12892,322626,10730,311254,10587,11372,1988,31011,3092,24503,2629,22271,2599,14733,2114,32178,2973,1218,572,930975,16361,472485,11309,363868,10052,108617,5670,42172,3116,39271,3113,37628,3079,27728,3818,305530,10384,6161,1229,0400000US06,17255848,41675,12332507,49611,11759142,46594,573365,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,06
5891,206193,8170,173070,6357,102761,5129,100213,4381,164285,7189,3601,745,2019345,15439,1464153,16738,1383424,16832,80729,4828,162814,7486,142693,5392,73903,3985,76791,3985,97096,5768,1895,653,256486,9969,188975,8733,178472,8676,10503,1603,16406,2309,17050,2243,10691,1772,7656,1395,15306,2027,402,260,88323,4484,66953,3979,66301,3975,652,352,6133,1247,5013,1144,5944,1343,2379,750,1797,693,104,123,70858,4677,45718,4199,42501,4090,3217,971,5499,1384,2381,549,6051,1126,6882,1131,4127,919,200,145,59643,4423,41537,3288,39718,3250,1819,539,6553,1493,3585,842,3870,1073,1918,809,2117,651,63,93,174353,6876,111549,5073,83948,4435,27601,2362,8788,1649,2348,761,2302,691,4587,1278,43842,3204,937,435,0400000US08,2669008,13651,1918885,16347,1794364,16906,124521,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,08
4312,162841,5120,126797,5962,72826,4465,31580,2884,106336,5485,3616,1068,1387627,14015,986336,12753,945218,12749,41118,3411,129875,4473,112977,5501,61644,4126,23655,2624,70946,4373,2194,865,143947,7901,109157,7362,104824,6987,4333,992,13562,1945,6851,1187,3274,845,2226,782,8139,1452,738,533,61369,3884,50751,3736,50027,3608,724,590,5133,1163,1915,755,1486,533,696,450,1388,588,0,187,55140,3918,33562,3150,32113,3042,1449,505,8431,1429,2341,636,4404,1228,3293,759,2938,959,171,164,21398,2533,15883,2438,15321,2374,562,421,2023,770,1016,574,622,311,265,291,1548,658,41,67,81594,4474,51390,3288,39691,2863,11699,1669,3817,686,1697,766,1396,625,1445,635,21377,2310,472,300,0400000US09,1751075,13180,1247079,12878,1187194,12918,59885,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,09
2138,36054,3106,10727,1363,38454,3058,12148,1551,17345,1936,718,356,359027,8816,266172,7735,256274,7841,9898,1775,29056,2571,9389,1310,32313,2653,10109,1448,11432,1638,556,284,35048,3682,25305,2833,24424,2826,881,375,3306,962,697,336,3689,1074,1180,733,865,458,6,10,10085,1800,7646,1538,7400,1565,246,219,855,465,221,210,897,556,394,313,72,115,0,187,9247,1842,7228,1667,6517,1579,711,372,754,492,72,81,773,439,174,211,246,190,0,187,4772,1295,3482,1203,3435,1194,47,62,478,272,113,147,225,178,90,105,384,292,0,187,19287,2306,12187,1909,9343,1605,2844,920,1605,665,235,225,557,296,201,154,4346,1006,156,152,0400000US10,437466,8194,322020,7923,307393,7978,14627,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,10
2733,136962,5894,36569,3067,14559,2099,224643,6738,23240,2094,953,502,348856,9573,172314,7056,163264,6878,9050,1831,48254,3071,22654,2857,8062,1599,86516,4341,10847,1461,209,252,71576,4636,31498,3189,29795,3074,1703,570,10597,1814,2772,667,899,429,23320,2317,2337,831,153,201,311082,9176,137000,6703,132582,6512,4418,1279,57563,3728,9427,1582,4795,1102,97757,4760,4465,1291,75,89,46271,3258,23386,2737,22202,2720,1184,616,11748,1592,1147,609,426,339,8073,1416,1396,603,95,123,26698,2518,9977,1482,9137,1434,840,438,6776,1322,413,259,377,260,7914,1208,1090,457,151,180,17012,2053,10394,1794,6926,1305,3468,941,2024,758,156,199,0,187,1063,482,3105,762,270,325,0400000US11,821495,12642,384569,10618,363906,10177,20663,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,11
12158,516433,12709,582728,14585,257803,8066,225833,7426,508722,14883,13314,2320,6852662,34711,5205474,36028,4885368,33453,320106,9704,419871,11793,508157,13157,216329,7395,184580,7199,311097,10317,7154,1927,780601,18054,584590,15810,540784,15614,43806,4207,50077,4943,47483,3023,24767,2766,18826,2945,52453,5075,2405,950,177546,7809,142904,7611,140506,7510,2398,940,9709,1671,7548,1499,4404,1136,2880,984,9679,2152,422,344,123018,5694,91202,4893,85580,4854,5622,1183,10030,1600,4785,1015,3240,1013,4160,1112,9527,1824,74,95,185799,9202,147626,7830,140871,7392,6755,1238,7752,1689,7567,1629,3415,964,4546,1243,14193,2830,700,612,465861,12632,308858,9740,218920,8655,89938,5203,18994,2288,7188,1475,5648,912,10841,1886,111773,5583,2559,1254,0400000US12,8585487,32920,6480654,36313,6012029,33967,468625,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,12
