GEO_ID,B07004F_001E,B07004F_001M,B07004F_002E,B07004F_002M,B07004F_003E,B07004F_003M,B07004F_004E,B07004F_004M,B07004F_005E,B07004F_005M,B07004F_006E,B07004F_006M,NAME,B07004F_001EA,B07004F_001MA,B07004F_002EA,B07004F_002MA,B07004F_003EA,B07004F_003MA,B07004F_004MA,B07004F_004EA,B07004F_005MA,B07004F_005EA,B07004F_006EA,B07004F_006MA,state
0400000US01,68361,6422,52210,5909,10179,3847,3294,2799,2215,1420,463,372,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9671,2046,8243,2081,597,379,31,50,635,360,165,229,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,427955,20962,332605,18860,70726,7610,7300,1965,11160,3132,6164,2946,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,49391,5639,36446,5199,8791,3411,1101,568,2098,1451,955,896,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5041290,53843,4372063,53653,510955,22247,113459,8840,17686,2792,27127,3871,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,213410,14352,166246,12973,31447,6219,9384,2270,4939,1613,1394,690,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,194943,12053,155687,10630,25636,4572,3658,1174,7034,3374,2928,1395,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20821,3468,19121,3415,1283,831,63,107,19,35,335,302,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,27757,4303,24024,4315,2360,1245,0,198,921,449,452,444,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,481920,24720,386892,22513,59633,8120,14240,3117,10087,2780,11068,2894,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,276226,15700,236566,15063,22006,5091,8091,2453,7749,2651,1814,847,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
