GEO_ID,C15010_001E,C15010_001M,C15010_002E,C15010_002M,C15010_003E,C15010_003M,C15010_004E,C15010_004M,C15010_005E,C15010_005M,C15010_006E,C15010_006M,NAME,C15010_001EA,C15010_001MA,C15010_002MA,C15010_002EA,C15010_003EA,C15010_003MA,C15010_004EA,C15010_004MA,C15010_005EA,C15010_005MA,C15010_006EA,C15010_006MA,state
0400000US01,764407,13255,223907,7032,80489,4928,185613,6123,126241,5672,148157,6618,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,130264,5047,47995,3443,12276,1685,20699,2152,19354,1950,29940,2329,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1222292,14027,396421,8969,117115,5022,260976,8518,181454,6375,266326,7814,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,420958,10645,117839,5102,45394,3647,89074,4962,88082,4621,80569,4997,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8136670,41097,3313982,27456,649691,12506,1486234,19132,571331,10952,2115432,24158,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1374212,13755,539377,11187,108604,4826,263206,6774,137409,5562,325616,7666,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,940114,11310,346394,7400,81381,4101,187022,6510,102642,4321,222675,6857,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195881,6561,72545,3898,16276,1850,43191,3513,26092,2530,37777,2644,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,254672,4652,119066,4769,12078,1868,36268,2880,11388,1540,75872,3684,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3830504,29450,1204448,18642,385093,11743,936865,17377,550212,10775,753886,15395,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1910600,21660,613377,15318,167908,7431,464652,12186,266276,9529,398387,11238,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,302339,8093,112739,5648,29291,2703,60799,3590,37511,2878,61999,3501,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
