GEO_ID,B10060_001E,B10060_001M,B10060_002E,B10060_002M,B10060_003E,B10060_003M,B10060_004E,B10060_004M,B10060_005E,B10060_005M,B10060_006E,B10060_006M,B10060_007E,B10060_007M,B10060_008E,B10060_008M,B10060_009E,B10060_009M,B10060_010E,B10060_010M,B10060_011E,B10060_011M,B10060_012E,B10060_012M,B10060_013E,B10060_013M,B10060_014E,B10060_014M,B10060_015E,B10060_015M,B10060_016E,B10060_016M,NAME,B10060_001MA,B10060_001EA,B10060_002EA,B10060_002MA,B10060_003EA,B10060_003MA,B10060_004EA,B10060_004MA,B10060_005MA,B10060_005EA,B10060_006MA,B10060_006EA,B10060_007MA,B10060_007EA,B10060_008MA,B10060_008EA,B10060_009EA,B10060_009MA,B10060_010MA,B10060_010EA,B10060_011MA,B10060_011EA,B10060_012MA,B10060_012EA,B10060_013EA,B10060_013MA,B10060_014EA,B10060_014MA,B10060_015EA,B10060_015MA,B10060_016MA,B10060_016EA,state
0400000US01,114534,6358,86652,5430,44382,4390,24937,2938,19445,2577,42270,3352,7877,1923,4076,1296,2721,1038,1355,713,3801,1258,20005,2271,11452,1924,7431,1520,4021,1157,8553,1606,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14694,1540,12192,1508,4544,753,2410,547,2134,534,7648,1315,2073,682,908,421,537,306,371,255,1165,513,429,219,272,184,272,184,0,145,157,188,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,161497,8100,132278,7470,46563,3467,28394,2866,18169,1923,85715,6104,12138,2283,5139,1317,3675,1203,1464,530,6999,1734,17081,2307,7062,1467,3523,1046,3539,1099,10019,2073,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,69002,4700,53168,4061,27790,2961,15943,2234,11847,1961,25378,2865,5509,2020,3515,1601,3242,1574,273,199,1994,1293,10325,1698,6348,1485,4759,1255,1589,559,3977,1000,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1160800,19999,947753,16312,223484,9073,120499,7298,102985,5793,724269,14142,178878,8746,50105,4168,34404,3634,15701,2122,128773,7645,34169,3773,10532,1862,6958,1637,3574,872,23637,3207,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,92261,5807,78308,5439,27374,3197,15742,2338,11632,2106,50934,4138,7888,1942,2656,1136,2096,1010,560,327,5232,1690,6065,1520,2613,1052,1892,891,721,507,3452,1014,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,61354,4156,43580,3939,11523,2141,6676,1488,4847,1191,32057,3469,17774,2711,7986,1938,5593,1689,2393,832,9788,1986,0,197,0,197,0,197,0,197,0,197,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25008,2731,20828,2550,7690,1341,4601,1038,3089,840,13138,2313,1689,826,1028,612,934,577,94,112,661,541,2491,728,1260,533,855,418,405,347,1231,496,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9919,1771,7256,1619,2741,941,1339,757,1402,458,4515,1209,2663,885,1452,661,1046,578,406,301,1211,628,0,198,0,198,0,198,0,198,0,198,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,480854,16171,383713,14007,121562,8586,67607,6244,53955,4946,262151,9662,62489,5784,18368,3021,12960,2621,5408,1440,44121,4828,34652,3901,15778,2623,9748,1907,6030,1616,18874,2828,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
