GEO_ID,B05004_001E,B05004_001M,B05004_002E,B05004_002M,B05004_003E,B05004_003M,B05004_004E,B05004_004M,B05004_005E,B05004_005M,B05004_006E,B05004_006M,B05004_007E,B05004_007M,B05004_008E,B05004_008M,B05004_009E,B05004_009M,B05004_010E,B05004_010M,B05004_011E,B05004_011M,B05004_012E,B05004_012M,B05004_013E,B05004_013M,B05004_014E,B05004_014M,B05004_015E,B05004_015M,NAME,B05004_001EA,B05004_001MA,B05004_002MA,B05004_002EA,B05004_003MA,B05004_003EA,B05004_004MA,B05004_004EA,B05004_005MA,B05004_005EA,B05004_006EA,B05004_006MA,B05004_007MA,B05004_007EA,B05004_008MA,B05004_008EA,B05004_009MA,B05004_009EA,B05004_010MA,B05004_010EA,B05004_011EA,B05004_011MA,B05004_012MA,B05004_012EA,B05004_013MA,B05004_013EA,B05004_014MA,B05004_014EA,B05004_015MA,B05004_015EA,state
0400000US01,38.6,0.2,37.1,0.2,40.1,0.3,38.6,0.2,37.1,0.2,40.1,0.2,38.1,1.1,36.7,1.0,41.5,1.6,49.9,1.6,47.6,3.6,52.0,1.9,34.7,0.8,34.0,1.4,35.6,1.5,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33.3,0.3,32.8,0.4,33.7,0.3,32.1,0.4,31.7,0.4,32.6,0.5,44.4,1.6,44.4,2.3,44.5,2.4,48.3,1.8,47.8,2.6,49.1,2.7,38.2,3.2,36.8,5.0,39.2,2.7,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36.9,0.1,35.8,0.2,38.3,0.2,35.1,0.2,34.2,0.2,36.1,0.2,43.3,0.5,41.7,0.6,44.7,0.5,51.3,0.7,50.2,0.9,52.6,1.0,38.8,0.6,37.5,0.9,40.0,0.7,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37.8,0.2,36.4,0.3,39.1,0.2,37.8,0.2,36.5,0.3,39.1,0.3,37.6,1.0,36.2,1.6,38.9,1.1,46.7,1.2,46.8,1.6,46.7,2.4,34.7,0.7,34.0,1.1,35.5,0.7,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36.0,0.1,34.9,0.1,37.1,0.1,29.8,0.1,29.1,0.2,30.5,0.2,45.7,0.1,44.7,0.2,46.6,0.2,52.2,0.2,51.7,0.2,52.8,0.2,39.7,0.2,38.9,0.2,40.6,0.2,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36.3,0.1,35.4,0.1,37.3,0.1,35.5,0.1,34.6,0.2,36.5,0.2,40.7,0.4,40.0,0.5,41.3,0.5,46.9,1.0,46.5,0.8,47.4,1.2,36.7,0.5,36.2,0.6,37.2,0.8,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40.5,0.2,38.9,0.3,42.1,0.3,39.5,0.3,37.8,0.3,41.1,0.3,44.1,0.5,42.4,0.8,45.4,0.6,51.5,0.7,51.3,0.9,51.6,0.9,37.3,0.7,35.9,0.7,38.7,0.9,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,39.6,0.3,37.9,0.4,41.4,0.4,39.4,0.4,37.6,0.5,41.2,0.5,40.6,1.1,39.3,2.0,42.4,1.3,49.1,2.2,47.1,2.7,50.0,3.1,34.5,1.3,33.9,2.2,34.9,1.3,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,33.8,0.2,33.5,0.3,34.0,0.2,32.7,0.3,32.2,0.5,33.1,0.4,37.3,1.1,36.6,1.3,37.7,1.5,45.4,2.6,45.2,5.1,45.5,2.9,35.4,0.5,35.4,0.5,35.4,0.9,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,41.6,0.1,40.1,0.1,43.2,0.1,38.9,0.2,37.3,0.2,40.4,0.3,47.3,0.3,46.1,0.3,48.6,0.3,53.2,0.3,52.6,0.4,53.8,0.4,40.3,0.3,39.3,0.4,41.5,0.6,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
