C19131_066M,C19131_067E,C19131_067M,C19131_068E,C19131_068M,C19131_069E,C19131_069M,C19131_070E,C19131_070M,C19131_071E,C19131_071M,GEO_ID,C19131_001E,C19131_001M,C19131_002E,C19131_002M,C19131_003E,C19131_003M,C19131_004E,C19131_004M,C19131_005E,C19131_005M,C19131_006E,C19131_006M,C19131_007E,C19131_007M,C19131_008E,C19131_008M,C19131_009E,C19131_009M,C19131_010E,C19131_010M,C19131_011E,C19131_011M,C19131_012E,C19131_012M,C19131_013E,C19131_013M,C19131_014E,C19131_014M,C19131_015E,C19131_015M,C19131_016E,C19131_016M,C19131_017E,C19131_017M,C19131_018E,C19131_018M,C19131_019E,C19131_019M,C19131_020E,C19131_020M,C19131_021E,C19131_021M,C19131_022E,C19131_022M,C19131_023E,C19131_023M,C19131_024E,C19131_024M,C19131_025E,C19131_025M,C19131_026E,C19131_026M,C19131_027E,C19131_027M,C19131_028E,C19131_028M,C19131_029E,C19131_029M,C19131_030E,C19131_030M,C19131_031E,C19131_031M,C19131_032E,C19131_032M,C19131_033E,C19131_033M,C19131_034E,C19131_034M,C19131_035E,C19131_035M,C19131_036E,C19131_036M,C19131_037E,C19131_037M,C19131_038E,C19131_038M,C19131_039E,C19131_039M,C19131_040E,C19131_040M,C19131_041E,C19131_041M,C19131_042E,C19131_042M,C19131_043E,C19131_043M,C19131_044E,C19131_044M,C19131_045E,C19131_045M,C19131_046E,C19131_046M,C19131_047E,C19131_047M,C19131_048E,C19131_048M,C19131_049E,C19131_049M,C19131_050E,C19131_050M,C19131_051E,C19131_051M,C19131_052E,C19131_052M,C19131_053E,C19131_053M,C19131_054E,C19131_054M,C19131_055E,C19131_055M,C19131_056E,C19131_056M,C19131_057E,C19131_057M,C19131_058E,C19131_058M,C19131_059E,C19131_059M,C19131_060E,C19131_060M,C19131_061E,C19131_061M,C19131_062E,C19131_062M,C19131_063E,C19131_063M,C19131_064E,C19131_064M,C19131_065E,C19131_065M,C19131_066E,C19131_066MA,C19131_067EA,C19131_067MA,C19131_068EA,C19131_068MA,C19131_069MA,C19131_069EA,C19131_070MA,C19131_070EA,C19131_071EA,C19131_071MA,NAME,C19131_001EA,C19131_001MA,C19131_002MA,C19131_002EA,C19131_003MA,C19131_003EA,C19131_004MA,C19131_004EA,C19131_005MA,C19131_005EA,C19131_006EA,C19131_006MA,C19131_007EA,C19131_007MA,C19131_008EA,C19131_008MA,C19131_009MA,C19131_009EA,C19131_010MA,C19131_010EA,C19131_011MA,C19131_011EA,C19131_012EA,C19131_012MA,C19131_013EA,C19131_013MA,C19131_014MA,C19131_014EA,C19131_015MA,C19131_015EA,C19131_016EA,C19131_016MA,C19131_017EA,C19131_017MA,C19131_018EA,C19131_018MA,C19131_019EA,C19131_019MA,C19131_020MA,C19131_020EA,C19131_021MA,C19131_021EA,C19131_022EA,C19131_022MA,C19131_023EA,C19131_023MA,C19131_024EA,C19131_024MA,C19131_025MA,C19131_025EA,C19131_026MA,C19131_026EA,C19131_027MA,C19131_027EA,C19131_028EA,C19131_028MA,C19131_029EA,C19131_029MA,C19131_030EA,C19131_030MA,C19131_031MA,C19131_031EA,C19131_032MA,C19131_032EA,C19131_033EA,C19131_033MA,C19131_034EA,C19131_034MA,C19131_035EA,C19131_035MA,C19131_036EA,C19131_036MA,C19131_037MA,C19131_037EA,C19131_038MA,C19131_038EA,C19131_039EA,C19131_039MA,C19131_040EA,C19131_040MA,C19131_041MA,C19131_041EA,C19131_042MA,C19131_042EA,C19131_043MA,C19131_043EA,C19131_044EA,C19131_044MA,C19131_045EA,C19131_045MA,C19131_046MA,C19131_046EA,C19131_047MA,C19131_047EA,C19131_048MA,C19131_048EA,C19131_049MA,C19131_049EA,C19131_050EA,C19131_050MA,C19131_051MA,C19131_051EA,C19131_052MA,C19131_052EA,C19131_053MA,C19131_053EA,C19131_054MA,C19131_054EA,C19131_055EA,C19131_055MA,C19131_056EA,C19131_056MA,C19131_057EA,C19131_057MA,C19131_058MA,C19131_058EA,C19131_059MA,C19131_059EA,C19131_060MA,C19131_060EA,C19131_061MA,C19131_061EA,C19131_062EA,C19131_062MA,C19131_063EA,C19131_063MA,C19131_064MA,C19131_064EA,C19131_065MA,C19131_065EA,C19131_066EA,state
2350,22594,2128,8933,1729,6155,1151,664,311,586,320,0400000US01,1232515,11755,870026,12061,306139,6930,5730,1252,5124,1103,16328,2154,23410,2795,39964,3112,61948,3828,55206,2959,62109,3338,20635,2181,15685,1704,563887,9567,11854,1599,12270,1606,39615,3039,51907,3478,85850,4543,124247,5569,85726,4488,92608,5225,34073,2756,25737,1842,362489,7696,77605,4478,31141,3065,4024,1189,1805,712,5327,1570,4322,1058,5723,1385,5613,1345,1958,785,1814,823,182,274,373,275,46464,3159,4486,1228,1735,695,6271,1267,8169,1427,7934,1388,8375,1528,5014,1047,3142,777,776,474,562,454,284884,6553,148968,5330,40780,3578,20844,2358,33960,2808,18760,2329,17933,2600,9272,1263,4921,1269,1964,953,391,302,143,153,135916,4954,15273,2229,11512,1512,22193,2230,22270,2299,25736,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
323,1749,568,2016,859,1503,506,680,385,357,266,0400000US02,165015,3765,124028,3565,56370,3033,601,418,550,334,1571,621,2351,901,4810,914,9188,1404,8518,1183,15733,1602,8238,1086,4810,968,67658,2626,811,324,589,398,1887,545,3447,755,5523,954,11538,1410,12153,1564,17109,1718,7545,1095,7056,1333,40987,3201,14666,1760,8619,1296,424,148,385,194,1627,753,601,216,1842,808,2032,912,601,296,946,411,147,128,14,27,6047,1002,555,421,163,132,316,169,414,248,1038,552,1288,592,615,372,914,459,310,195,434,264,26321,2332,16473,1830,2407,830,1144,429,2845,852,2591,741,2472,828,3414,829,656,298,802,337,123,117,19,32,9848,1279,180,97,208,167,1002,348,1064,547,1089,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2095,30317,3070,15449,1735,11249,1556,2297,842,911,511,0400000US04,1579481,13962,1141295,13485,429582,10389,11160,1649,8074,1450,27573,2821,32792,3121,48177,3647,85214,4478,66982,4191,85095,4743,32239,2484,32276,2158,711713,10105,16441,1657,15344,1729,38324,2532,62853,3879,102063,4986,153703,5830,110971,4761,121163,4657,45373,3066,45478,3356,438186,9863,134120,5652,64558,4339,6978,1565,3313,1008,9952,1823,10294,1662,11220,1834,11392,2016,4695,1092,4459,1178,962,436,1293,693,69562,3938,5214,1107,2634,769,7848,1423,8379,1648,13114,1734,15859,2402,7704,1508,6351,1135,1017,455,1442,499,304066,7963,164373,6653,37941,3114,15510,2035,28930,2684,24287,2501,22572,2507,21351,2629,7702,1284,4367,1209,823,535,890,577,139693,5600,10796,1536,8323,1465,16525,1906,19927,2339,23899,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1876,11330,1509,4014,940,2305,742,401,293,941,550,0400000US05,752212,9854,546528,9376,197891,6124,3374,969,3858,996,13244,1842,17222,1986,29097,2655,42868,3024,34458,3285,34017,2920,10375,1760,9378,1400,348637,8733,7817,1126,8230,1510,29639,2542,37564,2648,57141,3393,80929,3786,50145,3877,48944,3184,14448,1393,13780,1593,205684,7012,53552,4358,27574,2899,2929,898,2164,815,3628,1026,5082,1239,5646,1315,3762,1004,1656,895,2133,885,255,265,319,427,25978,2719,1457,508,1232,533,3089,808,3570,811,6038,1388,5709,1175,3063,941,1356,686,324,246,140,119,152132,5472,85354,4595,19904,2367,10794,1567,21230,2496,10645,2060,10878,1747,8007,1449,2299,847,1387,796,156,199,54,69,66778,3396,5974,1254,4264,916,11521,1579,11043,1539,14985,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
6097,171611,5896,107457,5352,96135,4625,29959,2693,22454,2284,0400000US06,8762059,27318,6239143,26454,2764763,19546,47776,3427,49621,3834,162831,6918,204187,7460,293805,8198,433149,9622,367597,9045,541549,11446,294872,8052,369376,8314,3474380,19879,64179,3686,59650,3578,188714,5645,221762,6612,355590,9663,582532,12607,493941,9777,709204,12524,364237,8775,434571,8600,2522916,23148,772276,14460,342929,10262,27061,2821,22617,2529,55673,4236,46193,4462,53775,4236,60459,4370,30613,2835,27446,3141,9401,1767,9691,1472,429347,10112,20123,2422,15048,1806,37640,2830,46690,3838,69639,4944,90584,4538,58710,4335,57417,3734,19952,2110,13544,2201,1750640,18960,878527,16532,179140,7865,89266,5651,150238,5569,109446,5627,120313,6808,118147,5788,51976,4576,38895,2872,12000,1553,9106,1525,872113,12703,45116,3476,45851,2713,107646,5464,108028,5610,137856,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1793,19660,2232,11966,1884,9115,1346,1580,499,1128,484,0400000US08,1315283,8405,1005726,10270,422618,7404,5371,1223,3320,897,18021,2219,25412,2320,40678,3349,70775,4524,70207,3475,95973,4368,45347,3051,47514,2888,583108,8328,7125,1343,7258,1103,24122,1662,38215,2458,62094,3829,111975,4105,98950,4516,125770,5359,54658,2916,52941,3397,309557,7641,99135,5173,54983,3602,3236,996,1639,706,6210,1343,6552,1448,11500,1751,10456,1561,5754,1364,5293,1287,2443,756,1900,836,44152,3386,1265,491,1471,758,4195,975,4940,1199,6850,1053,9720,1437,7335,1290,4832,910,2247,724,1297,471,210422,6507,123004,5623,23272,2679,9309,1769,19206,2319,17895,2018,20749,2531,17162,2107,8108,1618,4053,1066,1921,752,1329,729,87418,4739,4431,928,3796,1076,10207,1342,9659,1298,15876,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1503,18055,1921,12080,1595,9038,1566,3139,792,2437,741,0400000US09,887263,10002,650673,9276,257352,6736,2486,730,1881,709,5243,1181,6859,1322,16381,2005,30597,2835,39040,3612,63286,4063,38258,2756,53321,3299,393321,6865,4669,1080,3309,960,10384,1387,20640,2235,33346,2597,61134,3531,61942,3243,91130,4068,47398,3068,59369,2970,236590,6825,64771,4207,28577,2840,2746,1184,1797,731,3100,968,3804,1202,4654,1290,5414,1359,1896,712,2612,1028,1310,656,1244,581,36194,3105,1095,592,362,398,2126,640,2436,832,5460,1281,8727,1752,5979,1328,5400,1186,2539,772,2070,752,171819,6120,93092,4441,13790,2300,7533,1480,17734,1989,12729,2104,13500,2024,11966,1862,8379,1278,4951,1062,1080,480,1430,578,78727,4031,4270,1067,2472,912,6652,1207,9882,1861,10702,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1178,4987,867,3193,909,2648,796,663,272,405,338,0400000US10,233000,4645,165362,4195,56405,3103,545,478,649,501,2415,724,1643,637,3917,925,9235,1347,9552,1589,15366,1580,7374,1163,5709,1286,108957,3381,1292,532,937,399,4516,996,7954,1169,12983,1684,21992,1800,18670,1693,22550,2014,9064,1264,8999,1239,67638,3162,18157,2184,7487,1284,761,415,213,234,529,327,1535,718,997,427,1348,579,1008,579,457,349,282,337,357,369,10670,1747,470,376,418,471,897,429,946,516,1728,661,2764,848,1461,598,1451,802,347,266,188,199,49481,2861,25846,2580,4953,1187,1176,647,3663,1036,5151,1280,4519,1165,3721,851,1645,828,966,477,0,185,52,75,23635,1736,1125,526,1278,539,2210,639,2119,715,5007,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
684,3627,932,2805,775,2864,743,1145,439,762,358,0400000US11,117864,3359,66244,3097,24546,1745,127,126,164,235,1089,624,730,450,1059,525,3119,913,1937,662,3517,727,3480,691,9324,1265,41698,2744,596,324,320,207,1529,607,1121,478,2159,590,4851,1059,4486,832,7979,1095,6159,1032,12498,1672,51620,3103,9496,1621,3608,960,312,262,107,175,723,511,362,372,480,366,693,408,247,139,440,612,146,159,98,163,5888,1127,754,587,185,246,357,244,467,395,941,448,1693,673,506,335,472,295,339,245,174,148,42124,2614,20932,2409,5448,1241,962,479,3943,1175,3231,1033,1527,632,2218,730,1601,809,1515,639,142,157,345,256,21192,1932,1989,688,1151,457,2355,650,1761,614,2733,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
5414,98942,4345,42355,3397,27552,2648,5815,929,4133,1327,0400000US12,4693411,24879,3380103,24537,1097577,14815,22169,2829,18516,2144,65584,4527,86716,5276,142093,6455,225597,7120,167596,7620,210315,8045,75306,4136,83685,4355,2282526,19170,55175,4383,45882,3256,154937,7283,208530,7321,329131,9306,493084,10788,335513,8817,367847,9672,138603,5297,153824,6644,1313308,18799,353537,9783,155425,7677,15408,1983,8669,1499,25812,2893,27907,3059,27269,2952,24024,2666,10815,1814,9555,1698,2307,863,3659,1305,198112,6585,9100,1507,9916,1709,23325,2997,25391,2632,39578,3352,42535,3326,18477,2454,19263,2670,5978,1530,4549,1120,959771,14173,494344,11156,101762,5338,52026,4046,97203,6055,75298,5886,72597,4373,56386,4934,20835,2789,13158,2217,2906,956,2173,763,465427,8979,28726,2083,28315,2459,67347,3662,70202,4482,92040,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
