GEO_ID,C17010H_001E,C17010H_001M,C17010H_002E,C17010H_002M,C17010H_003E,C17010H_003M,C17010H_004E,C17010H_004M,C17010H_005E,C17010H_005M,C17010H_006E,C17010H_006M,C17010H_007E,C17010H_007M,C17010H_008E,C17010H_008M,C17010H_009E,C17010H_009M,C17010H_010E,C17010H_010M,C17010H_011E,C17010H_011M,C17010H_012E,C17010H_012M,C17010H_013E,C17010H_013M,C17010H_014E,C17010H_014M,C17010H_015E,C17010H_015M,C17010H_016E,C17010H_016M,C17010H_017E,C17010H_017M,NAME,C17010H_001MA,C17010H_001EA,C17010H_002EA,C17010H_002MA,C17010H_003EA,C17010H_003MA,C17010H_004EA,C17010H_004MA,C17010H_005EA,C17010H_005MA,C17010H_006MA,C17010H_006EA,C17010H_007MA,C17010H_007EA,C17010H_008EA,C17010H_008MA,C17010H_009EA,C17010H_009MA,C17010H_010EA,C17010H_010MA,C17010H_011MA,C17010H_011EA,C17010H_012MA,C17010H_012EA,C17010H_013EA,C17010H_013MA,C17010H_014EA,C17010H_014MA,C17010H_015MA,C17010H_015EA,C17010H_016MA,C17010H_016EA,C17010H_017MA,C17010H_017EA,state
0400000US01,864234,9439,84031,4586,34601,2566,17021,1739,49430,3306,8761,1658,5457,1252,40669,3003,33858,2619,780203,10369,656773,9880,231034,5903,123430,5573,37896,2881,18198,2435,85534,4007,40205,3132,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,113584,2989,5268,1031,2442,811,1158,592,2826,662,523,231,402,189,2303,671,2137,652,108316,3030,90760,2770,39411,2130,17556,1915,6763,1159,3802,919,10793,1527,6268,1188,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,988480,10738,70640,4145,36235,2609,14912,1964,34405,2751,7689,1383,5489,1273,26716,2479,20645,2166,917840,10636,751193,9909,235538,6366,166647,6643,53729,3926,25179,2759,112918,5499,55039,4096,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,583922,7876,59580,3518,24893,2080,12056,1587,34687,2670,5808,1208,4116,899,28879,2448,23782,2535,524342,8403,432273,8284,155735,5565,92069,4653,31076,3067,16678,2189,60993,3560,32214,2643,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3830625,16508,229511,6658,105687,4911,50776,3453,123824,5342,27768,2532,18215,2006,96056,4796,72313,4528,3601114,16439,2919287,16727,1052030,13822,681827,12088,221737,7752,103307,5437,460090,9420,207803,7410,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,970790,7765,46170,2956,20283,2262,9773,1637,25887,2253,5212,1116,3420,926,20675,1899,17781,1817,924620,7987,767206,8658,301885,4752,157414,5428,56786,3704,33348,2598,100628,4377,57379,4001,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,646293,7810,22593,2475,9998,1602,4439,907,12595,1914,2131,1013,1692,927,10464,1727,8303,1585,623700,7462,508389,7620,191615,5293,115311,5062,36432,3049,15256,2147,78879,3788,38535,3067,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,158156,3235,8689,1538,3073,787,1321,513,5616,1381,923,479,642,335,4693,1195,4017,1101,149467,3227,119580,3225,39517,2233,29887,2102,9794,1484,4728,1076,20093,2020,10946,1638,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,38699,1852,651,439,292,248,99,117,359,359,0,198,0,198,359,359,200,201,38048,1874,34525,1878,12586,1111,3523,941,1419,725,984,598,2104,706,1247,561,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2844694,18110,205641,7623,97271,5257,35426,3123,108370,4793,21733,2350,13714,2045,86637,4223,69486,4156,2639053,18081,2172865,18087,593998,9827,466188,10367,151540,6547,70705,4624,314648,8105,150096,6782,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1440435,11340,120561,4936,55748,3476,29056,3203,64813,3726,13079,1969,8666,1797,51734,3473,40352,3358,1319874,12336,1104931,13328,436299,9737,214943,7938,69080,4949,38796,3744,145863,5598,76463,4615,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
