GEO_ID,B14007I_001E,B14007I_001M,B14007I_002E,B14007I_002M,B14007I_003E,B14007I_003M,B14007I_004E,B14007I_004M,B14007I_005E,B14007I_005M,B14007I_006E,B14007I_006M,B14007I_007E,B14007I_007M,B14007I_008E,B14007I_008M,B14007I_009E,B14007I_009M,B14007I_010E,B14007I_010M,B14007I_011E,B14007I_011M,B14007I_012E,B14007I_012M,B14007I_013E,B14007I_013M,B14007I_014E,B14007I_014M,B14007I_015E,B14007I_015M,B14007I_016E,B14007I_016M,B14007I_017E,B14007I_017M,B14007I_018E,B14007I_018M,B14007I_019E,B14007I_019M,NAME,B14007I_001EA,B14007I_001MA,B14007I_002MA,B14007I_002EA,B14007I_003EA,B14007I_003MA,B14007I_004EA,B14007I_004MA,B14007I_005EA,B14007I_005MA,B14007I_006EA,B14007I_006MA,B14007I_007MA,B14007I_007EA,B14007I_008MA,B14007I_008EA,B14007I_009MA,B14007I_009EA,B14007I_010EA,B14007I_010MA,B14007I_011EA,B14007I_011MA,B14007I_012EA,B14007I_012MA,B14007I_013MA,B14007I_013EA,B14007I_014MA,B14007I_014EA,B14007I_015MA,B14007I_015EA,B14007I_016EA,B14007I_016MA,B14007I_017EA,B14007I_017MA,B14007I_018EA,B14007I_018MA,B14007I_019MA,B14007I_019EA,state
0400000US01,178746,2748,64499,3458,1993,640,4762,1082,5266,1254,5211,1280,4564,1118,4020,923,3600,1112,3775,964,3607,1118,4072,881,2107,707,2539,728,2599,879,3268,1353,11101,2141,2015,791,114247,3683,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,46084,689,16807,1171,983,536,909,598,1224,561,908,484,588,243,529,351,229,175,1334,600,597,418,969,440,1242,536,509,261,1300,435,1595,685,3364,907,527,306,29277,1221,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1947522,3294,681837,6749,28124,2383,42369,3023,40608,3091,39015,3127,38670,3281,41944,2751,40853,3128,41308,3555,37023,3020,38144,3147,42022,3287,42416,3244,34209,2688,44512,3261,119693,5827,10927,1690,1265685,6663,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,191732,2069,71391,2630,4272,1069,5360,1065,5509,1213,5234,1107,4180,948,4501,1059,5038,1234,3497,920,4693,1026,3400,854,4080,961,4080,954,2617,844,3303,960,10973,1795,654,405,120341,2811,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14219592,10234,4935776,21202,264459,8516,266125,7546,254794,7847,270936,7983,275635,6833,266428,8432,255569,7360,271689,6515,256920,7559,259834,8001,271491,7602,263947,6902,265514,6745,337366,8417,1067240,17411,87829,4688,9283816,20001,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1073905,2431,378841,5770,27118,2982,22482,2365,24715,2525,23527,2199,22123,2115,20880,2672,21406,2075,24254,3058,22473,2407,21749,2656,22181,2415,22228,2189,18942,2037,21319,2825,56769,3966,6675,1170,695064,5451,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,514197,2056,179083,4146,12687,1856,8598,1508,10102,1711,10772,1934,11454,1565,8766,1586,9954,1699,10878,1965,8709,1399,9632,1681,9210,1628,9841,1344,8508,1463,11895,2263,33637,2842,4440,1337,335114,3724,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,78274,895,29578,1702,2143,848,1584,728,1296,554,1465,715,1472,538,1807,741,2429,818,1537,677,1088,505,2207,1063,1450,495,1369,427,1423,405,1786,778,5127,1276,1395,584,48696,1739,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,64343,922,19523,1576,2542,807,1176,675,1206,718,693,514,677,405,918,472,1181,577,446,387,904,491,600,421,1066,452,452,304,693,320,586,328,4507,893,1876,598,44820,1354,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598532,4905,1314798,11959,81266,4479,72066,4024,67372,4466,70432,4561,66836,4678,68512,5211,65906,4427,64700,4316,68090,4313,62744,4916,70226,4564,68071,4488,60147,3968,73699,4906,306634,9900,48097,3690,3283734,13183,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,862912,3931,311134,6830,17835,2565,20663,2607,20076,2340,21504,2164,20509,2199,19975,2575,20438,2538,16592,2401,21989,2764,16328,2211,16366,2232,16143,2044,15895,2176,18002,2304,43854,4760,4965,1094,551778,7036,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,131846,1148,47657,2051,4378,1015,3260,799,2453,683,1626,613,3222,785,1983,667,1974,771,3857,1011,2392,797,2596,922,2568,856,2175,557,1410,386,2752,982,9482,1228,1529,694,84189,2262,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,184132,1450,69787,2938,2322,968,4927,1043,3030,785,5963,1558,3210,1030,4000,1008,4954,1143,4249,1145,4541,1365,4449,1064,4786,1289,3422,805,4563,1128,3771,919,10701,2193,899,505,114345,2837,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2039149,4033,731486,7102,48967,3190,42407,3415,41927,3141,44182,3103,41187,3294,42087,2903,40941,2720,42373,3186,42603,3309,39762,2928,41095,3019,37253,2673,34977,2577,45782,3296,129716,5889,16227,2288,1307663,7207,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,398131,2652,157032,4221,8766,1713,8540,1718,12859,1786,8740,1554,11524,1944,9634,1744,10258,1669,8053,1370,9324,1703,9201,1398,6735,1286,7397,1152,8471,1368,8532,1797,25929,2374,3069,967,241099,3939,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,160058,1772,65065,2407,3647,941,6347,1113,4230,997,3513,851,3532,851,4140,875,4388,986,3276,770,4089,1022,3604,871,4040,841,3801,918,1799,590,3629,738,9696,1318,1334,497,94993,2273,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,305766,1914,118574,3729,6763,1196,8972,1399,7538,1372,8225,1450,8126,1288,7739,1169,7034,1031,6399,1143,6803,1152,6609,1156,5275,989,6941,1316,5803,963,6890,1174,17174,2032,2283,777,187192,3136,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,134869,2324,52017,2115,3203,803,3713,767,2644,818,4322,926,3105,843,3980,831,2706,786,2610,784,3286,1303,3602,987,2674,769,2111,645,2361,569,2982,999,7405,1069,1313,561,82852,2587,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,208961,2556,59272,2919,4901,1238,4011,1039,4956,1217,3764,873,2423,656,4214,1292,3366,1000,3571,940,3299,1117,1715,561,2735,924,2861,991,2312,578,2408,813,10650,1806,2086,811,149689,2890,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,19386,703,7298,1029,170,167,559,330,502,321,353,236,573,340,404,270,335,274,51,67,328,224,229,182,212,172,536,278,810,413,138,146,2013,648,85,121,12088,750,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,519722,2161,174822,4405,9478,1648,14589,1812,10500,1506,9790,1570,9229,1581,9080,1581,8286,1352,8985,1847,9934,1858,8153,1555,8686,1335,9025,1443,7512,1296,8497,1523,35321,3035,7757,1409,344900,4419,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,687223,2010,244049,4449,15285,1769,15603,1763,14172,1897,11702,1813,13103,1844,13416,1714,10183,1623,13612,2068,13331,1703,11586,1718,13721,2041,13744,1733,11089,1560,12437,1539,51595,3387,9470,1537,443174,4813,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
