B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,GEO_ID,B16005A_001E,B16005A_001MA,B16005A_002EA,B16005A_002MA,B16005A_003EA,B16005A_003MA,B16005A_004MA,B16005A_004EA,B16005A_005MA,B16005A_005EA,B16005A_006EA,B16005A_006MA,B16005A_007EA,B16005A_007MA,B16005A_008MA,B16005A_008EA,B16005A_009MA,B16005A_009EA,B16005A_010MA,B16005A_010EA,B16005A_011MA,B16005A_011EA,NAME,B16005A_001EA,state
5963,3074057,6338,3012637,6686,61420,4912,49838,4793,11582,1781,68282,5037,20070,3117,48212,3839,19468,2623,28744,3016,0400000US01,3142339,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,01
2489,437662,3377,418639,4425,19023,2834,15461,2527,3562,1183,17134,2787,5112,930,12022,2547,7575,1810,4447,1286,0400000US02,454796,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,02
21515,4390954,21242,3792453,20547,598501,15297,516992,14543,81509,5375,581196,15563,100665,5281,480531,15354,185697,9602,294834,10438,0400000US04,4972150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,04
5537,2105677,5212,2054427,5828,51250,3945,39087,3279,12163,2123,80521,5273,18951,3189,61570,4652,20611,2861,40959,4452,0400000US05,2186198,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,05
47696,17914439,48675,14360168,46214,3554271,37478,3063112,36127,491159,13097,4481223,42691,562249,11292,3918974,42891,1412972,21524,2506002,33726,0400000US06,22395662,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,06
13034,3942384,13832,3646622,14094,295762,10398,251458,9895,44304,4581,315280,10812,54715,3731,260565,9909,110802,5736,149763,8257,0400000US08,4257664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,08
10772,2404370,12001,2185329,11424,219041,11539,176301,10057,42740,3903,234207,10815,51677,3295,182530,10687,85885,6171,96645,7177,0400000US09,2638577,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,09
3497,582736,4346,553849,4545,28887,3617,24134,3218,4753,1148,31827,3856,6969,1339,24858,3808,10782,2756,14076,2505,0400000US10,614563,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,10
3396,213517,3248,192781,3650,20736,2059,19177,2147,1559,622,37584,4138,11385,2525,26199,3397,18602,2754,7597,1791,0400000US11,251101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,11
26508,11780574,29599,10119597,28291,1660977,26785,1379248,23766,281729,11749,2621428,30662,347520,10988,2273908,30877,929688,17193,1344220,26534,0400000US12,14402002,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,12
15084,5305104,15364,5045619,14676,259485,10419,216575,9242,42910,4393,396330,15621,65391,5387,330939,14316,134822,8708,196117,9839,0400000US13,5701434,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,13
3035,319407,3368,301481,3698,17926,2194,15221,2127,2705,1020,23642,2641,11117,1656,12525,2238,9574,1941,2951,1189,0400000US15,343049,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,15
4337,1338616,5477,1281312,6720,57304,4422,48715,4457,8589,1758,61825,5362,12782,2135,49043,4646,15970,2691,33073,4199,0400000US16,1400441,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,16
