GEO_ID,B25015_001E,B25015_001M,B25015_002E,B25015_002M,B25015_003E,B25015_003M,B25015_004E,B25015_004M,B25015_005E,B25015_005M,B25015_006E,B25015_006M,B25015_007E,B25015_007M,B25015_008E,B25015_008M,B25015_009E,B25015_009M,B25015_010E,B25015_010M,B25015_011E,B25015_011M,B25015_012E,B25015_012M,B25015_013E,B25015_013M,B25015_014E,B25015_014M,B25015_015E,B25015_015M,B25015_016E,B25015_016M,B25015_017E,B25015_017M,B25015_018E,B25015_018M,B25015_019E,B25015_019M,B25015_020E,B25015_020M,B25015_021E,B25015_021M,B25015_022E,B25015_022M,B25015_023E,B25015_023M,B25015_024E,B25015_024M,B25015_025E,B25015_025M,B25015_026E,B25015_026M,B25015_027E,B25015_027M,NAME,B25015_001MA,B25015_001EA,B25015_002MA,B25015_002EA,B25015_003EA,B25015_003MA,B25015_004EA,B25015_004MA,B25015_005EA,B25015_005MA,B25015_006MA,B25015_006EA,B25015_007MA,B25015_007EA,B25015_008EA,B25015_008MA,B25015_009EA,B25015_009MA,B25015_010EA,B25015_010MA,B25015_011MA,B25015_011EA,B25015_012MA,B25015_012EA,B25015_013MA,B25015_013EA,B25015_014EA,B25015_014MA,B25015_015EA,B25015_015MA,B25015_016MA,B25015_016EA,B25015_017MA,B25015_017EA,B25015_018MA,B25015_018EA,B25015_019EA,B25015_019MA,B25015_020EA,B25015_020MA,B25015_021MA,B25015_021EA,B25015_022MA,B25015_022EA,B25015_023MA,B25015_023EA,B25015_024MA,B25015_024EA,B25015_025EA,B25015_025MA,B25015_026EA,B25015_026MA,B25015_027MA,B25015_027EA,state
0400000US01,1841217,10615,1246080,12085,123729,5308,121990,5340,1547,587,192,144,728646,9263,719376,9241,6962,1387,2308,741,393705,4417,392813,4390,634,243,258,189,595137,11423,215041,7567,204987,7352,7892,1839,2162,799,301133,7709,291731,7734,7433,1703,1969,729,78963,4183,78259,4221,269,273,435,375,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,249659,2978,156006,4250,19476,2000,17193,1970,1702,531,581,329,102705,3140,97180,3217,3046,689,2479,523,33825,1603,33057,1632,455,231,313,155,93653,4082,41460,2820,37514,2629,2496,705,1450,504,45022,2682,41519,2721,2195,545,1308,376,7171,1211,7010,1216,128,135,33,40,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2428743,11353,1484857,11801,143369,5618,136341,5583,5542,1285,1486,510,818062,9450,792782,9962,17733,1978,7547,1260,523426,5760,519690,5594,2468,714,1268,349,943886,14175,336746,7927,306026,7028,20697,2628,10023,1837,482954,11299,443480,11387,29059,3403,10415,1603,124186,4771,122164,4698,1362,625,660,511,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1131288,8373,744318,10448,81959,4225,79990,4290,1699,643,270,219,423406,6799,416609,6912,5423,1044,1374,617,238953,4846,238046,4918,684,432,223,184,386970,9803,142312,6692,133692,6637,5827,1440,2793,1043,193809,6552,185516,6519,6198,1103,2095,850,50849,3708,50369,3735,202,160,278,241,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12758648,18835,6855688,27608,546684,10816,517409,10116,22167,2324,7108,1082,4246294,23382,4035775,22385,161468,4988,49051,2823,2062710,11805,2034286,11988,19539,2213,8885,1209,5902960,28154,1855896,19358,1586111,17649,171811,6505,97974,5084,3279426,22027,2797823,23003,317269,8774,164334,6081,767638,11432,739467,11399,14378,1898,13793,1646,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2039592,7530,1302533,10820,146630,5162,142833,4736,3380,962,417,277,822174,8262,811277,8267,8528,1394,2369,880,333729,4360,332823,4336,245,196,661,509,737059,11315,308904,7529,291193,7315,12459,2162,5252,1376,343255,8843,324494,8471,13508,2078,5253,1207,84900,3724,83774,3804,344,303,782,574,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1355817,6673,900039,8072,62326,3627,61865,3603,343,214,118,117,579127,6354,573609,6297,4455,867,1063,537,258586,4661,257849,4685,536,344,201,140,455778,8159,135376,5197,127491,5016,5778,1054,2107,851,239330,6294,229760,5961,6836,1257,2734,915,81072,3735,80392,3663,425,315,255,181,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,349743,3705,245808,4425,22908,1991,22898,1992,0,185,10,17,144501,3639,143093,3743,1262,631,146,176,78399,2121,78145,2160,207,205,47,70,103935,3908,35861,2513,34950,2482,656,357,255,283,54096,3206,52510,3098,1192,636,394,363,13978,1623,13698,1616,94,131,186,183,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,277378,3304,112492,3641,14111,1452,13818,1475,260,385,33,55,65957,3105,65356,3095,383,222,218,222,32424,1805,32289,1815,97,123,38,62,164886,4965,69580,3178,65866,3206,1878,819,1836,894,77267,3398,72957,3338,2365,717,1945,787,18039,1721,17800,1669,133,166,106,124,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7328046,25793,4693821,26616,316744,8760,306331,8771,8937,1733,1476,666,2552017,23818,2496858,23419,44573,3487,10586,1726,1825060,12485,1815822,12659,5744,1172,3494,744,2634225,22450,822090,13101,766600,12243,35947,3334,19543,2364,1413457,15975,1330676,15455,59628,3812,23153,2861,398678,7777,391825,7587,2674,850,4179,1024,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
