GEO_ID,C23002H_001E,C23002H_001M,C23002H_002E,C23002H_002M,C23002H_003E,C23002H_003M,C23002H_004E,C23002H_004M,C23002H_005E,C23002H_005M,C23002H_006E,C23002H_006M,C23002H_007E,C23002H_007M,C23002H_008E,C23002H_008M,C23002H_009E,C23002H_009M,C23002H_010E,C23002H_010M,C23002H_011E,C23002H_011M,C23002H_012E,C23002H_012M,C23002H_013E,C23002H_013M,C23002H_014E,C23002H_014M,C23002H_015E,C23002H_015M,C23002H_016E,C23002H_016M,C23002H_017E,C23002H_017M,C23002H_018E,C23002H_018M,C23002H_019E,C23002H_019M,C23002H_020E,C23002H_020M,C23002H_021E,C23002H_021M,C23002H_022E,C23002H_022M,C23002H_023E,C23002H_023M,C23002H_024E,C23002H_024M,C23002H_025E,C23002H_025M,C23002H_026E,C23002H_026M,C23002H_027E,C23002H_027M,NAME,C23002H_001MA,C23002H_001EA,C23002H_002EA,C23002H_002MA,C23002H_003EA,C23002H_003MA,C23002H_004MA,C23002H_004EA,C23002H_005MA,C23002H_005EA,C23002H_006MA,C23002H_006EA,C23002H_007EA,C23002H_007MA,C23002H_008EA,C23002H_008MA,C23002H_009EA,C23002H_009MA,C23002H_010EA,C23002H_010MA,C23002H_011EA,C23002H_011MA,C23002H_012MA,C23002H_012EA,C23002H_013MA,C23002H_013EA,C23002H_014MA,C23002H_014EA,C23002H_015EA,C23002H_015MA,C23002H_016EA,C23002H_016MA,C23002H_017MA,C23002H_017EA,C23002H_018MA,C23002H_018EA,C23002H_019MA,C23002H_019EA,C23002H_020EA,C23002H_020MA,C23002H_021EA,C23002H_021MA,C23002H_022EA,C23002H_022MA,C23002H_023MA,C23002H_023EA,C23002H_024MA,C23002H_024EA,C23002H_025EA,C23002H_025MA,C23002H_026EA,C23002H_026MA,C23002H_027EA,C23002H_027MA,state
0400000US01,2637664,2520,1277125,1908,1017969,1906,775513,6345,8569,1473,766944,6751,712843,7239,54101,4369,242456,6807,259156,59,51275,2911,49646,2885,1629,453,207881,2913,1360539,1824,1030997,1828,649517,7613,332,201,649185,7622,604924,7125,44261,3458,381480,7573,329542,62,37639,2333,36317,2271,1322,396,291903,2334,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,372014,1008,199666,772,173056,764,145714,2036,10208,1445,135506,2597,128191,2725,7315,1153,27342,2172,26610,136,7979,1139,7576,1097,403,272,18631,1126,172348,824,147330,825,107884,2557,987,381,106897,2516,101637,2697,5260,1108,39446,2691,25018,57,5831,870,5705,864,126,153,19187,862,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3200575,2631,1571043,1923,1166623,1949,902936,7399,10061,1358,892875,7619,826881,8783,65994,4524,263687,7429,404420,380,68457,3482,64879,3374,3578,620,335963,3440,1629532,1853,1163659,1867,793746,8601,1348,440,792398,8530,744589,9348,47809,3536,369913,8762,465873,121,55446,2946,53350,2793,2096,739,410427,2941,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1777784,2295,864079,1859,682227,1842,514866,5298,2539,733,512327,5292,481358,5358,30969,2509,167361,5334,181852,78,36365,2157,35505,2203,860,396,145487,2162,913705,1583,688584,1593,441494,5979,92,114,441402,5950,415898,6567,25504,2728,247090,5871,225121,119,27055,2235,26936,2240,119,105,198066,2227,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12752796,6588,6332190,4096,4997754,4087,3933631,12588,70645,4529,3862986,12522,3570939,14595,292047,8960,1064123,12270,1334436,983,319413,5930,301850,5639,17563,2006,1015023,5896,6420606,4531,4793649,4497,3315926,15374,8007,1419,3307919,15397,3077613,16907,230306,8313,1477723,16310,1626957,1114,238357,6549,228386,6497,9971,1185,1388600,6540,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3058136,2735,1521973,1986,1262139,1932,1052113,7357,18805,2081,1033308,7357,980562,7517,52746,3442,210026,7513,259834,276,65067,2818,62498,2863,2569,776,194767,2813,1536163,2108,1225713,2067,911724,6685,2179,595,909545,6794,868543,6722,41002,2768,313989,6753,310450,289,49619,2148,47591,2093,2028,658,260831,2195,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2081711,2838,1003020,1518,797215,1508,662815,4285,5272,1007,657543,4394,613128,5370,44415,3194,134400,4376,205805,117,56490,2800,53223,2570,3267,851,149315,2791,1078691,1942,808805,1928,616093,5753,777,497,615316,5752,579982,5973,35334,2661,192712,5727,269886,226,46395,2427,43918,2324,2477,702,223491,2486,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,502623,1213,240680,929,184687,918,145606,2683,1748,458,143858,2725,134163,2814,9695,1663,39081,2710,55993,92,12843,1209,12189,1159,654,294,43150,1229,261943,748,193240,748,143667,3132,298,266,143369,3125,133705,3224,9664,1858,49573,2988,68703,185,8493,1150,8283,1128,210,161,60210,1150,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,212830,405,105965,248,94556,248,82208,1789,2100,546,80108,1742,77947,1631,2161,648,12348,1773,11409,198,3613,721,3546,710,67,79,7796,721,106865,279,93841,275,77724,1687,234,200,77490,1709,75219,1794,2271,624,16117,1670,13024,51,3735,695,3735,695,0,198,9289,689,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9515162,7958,4629405,4797,3316246,4704,2533930,14375,29244,2724,2504686,14370,2330140,15188,174546,7915,782316,13214,1313159,689,234513,7888,222959,7657,11554,1745,1078646,8021,4885757,5093,3340375,4368,2255565,14631,4612,1050,2250953,14663,2099901,15346,151052,6998,1084810,13976,1545382,1544,182147,6625,174400,6684,7747,1114,1363235,6576,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4479601,3859,2186250,3005,1781301,3010,1389443,9225,26489,2600,1362954,8984,1275896,10766,87058,5592,391858,9705,404949,97,85446,3586,82095,3496,3351,889,319503,3596,2293351,2948,1788351,2973,1181965,10484,1743,600,1180222,10441,1109643,10575,70579,4613,606386,10400,505000,278,63573,3855,61563,3854,2010,528,441427,3902,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,287026,635,160205,480,129817,470,106307,2171,22604,1947,83703,2799,79369,3049,4334,998,23510,2153,30388,72,8635,922,8442,908,193,196,21753,923,126821,566,97438,505,65748,2076,1906,504,63842,2090,60334,2068,3508,820,31690,2177,29383,252,5016,877,5002,878,14,26,24367,920,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1062852,2145,525821,1606,422998,1597,334291,4293,2567,1078,331724,4356,313904,4765,17820,2096,88707,4348,102823,215,17253,1701,16046,1646,1207,570,85570,1690,537031,1363,421197,1263,281996,4984,598,578,281398,4987,269098,5241,12300,2085,139201,4995,115834,391,14121,1470,13849,1481,272,203,101713,1460,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
