GEO_ID,B01001G_001E,B01001G_001M,B01001G_002E,B01001G_002M,B01001G_003E,B01001G_003M,B01001G_004E,B01001G_004M,B01001G_005E,B01001G_005M,B01001G_006E,B01001G_006M,B01001G_007E,B01001G_007M,B01001G_008E,B01001G_008M,B01001G_009E,B01001G_009M,B01001G_010E,B01001G_010M,B01001G_011E,B01001G_011M,B01001G_012E,B01001G_012M,B01001G_013E,B01001G_013M,B01001G_014E,B01001G_014M,B01001G_015E,B01001G_015M,B01001G_016E,B01001G_016M,B01001G_017E,B01001G_017M,B01001G_018E,B01001G_018M,B01001G_019E,B01001G_019M,B01001G_020E,B01001G_020M,B01001G_021E,B01001G_021M,B01001G_022E,B01001G_022M,B01001G_023E,B01001G_023M,B01001G_024E,B01001G_024M,B01001G_025E,B01001G_025M,B01001G_026E,B01001G_026M,B01001G_027E,B01001G_027M,B01001G_028E,B01001G_028M,B01001G_029E,B01001G_029M,B01001G_030E,B01001G_030M,B01001G_031E,B01001G_031M,NAME,B01001G_001MA,B01001G_001EA,B01001G_002EA,B01001G_002MA,B01001G_003EA,B01001G_003MA,B01001G_004MA,B01001G_004EA,B01001G_005EA,B01001G_005MA,B01001G_006MA,B01001G_006EA,B01001G_007EA,B01001G_007MA,B01001G_008EA,B01001G_008MA,B01001G_009MA,B01001G_009EA,B01001G_010EA,B01001G_010MA,B01001G_011MA,B01001G_011EA,B01001G_012EA,B01001G_012MA,B01001G_013EA,B01001G_013MA,B01001G_014EA,B01001G_014MA,B01001G_015MA,B01001G_015EA,B01001G_016MA,B01001G_016EA,B01001G_017EA,B01001G_017MA,B01001G_018EA,B01001G_018MA,B01001G_019EA,B01001G_019MA,B01001G_020MA,B01001G_020EA,B01001G_021MA,B01001G_021EA,B01001G_022MA,B01001G_022EA,B01001G_023EA,B01001G_023MA,B01001G_024EA,B01001G_024MA,B01001G_025EA,B01001G_025MA,B01001G_026MA,B01001G_026EA,B01001G_027EA,B01001G_027MA,B01001G_028MA,B01001G_028EA,B01001G_029EA,B01001G_029MA,B01001G_030MA,B01001G_030EA,B01001G_031EA,B01001G_031MA,state
0400000US01,84964,6399,41084,3561,6170,1095,6906,1523,4595,1218,2467,881,2437,948,2638,914,2399,836,1702,752,3366,762,2293,702,3163,812,1882,669,790,356,276,227,43880,4321,4935,1131,7033,1691,7403,1642,2500,863,1685,744,2966,1028,1754,727,2067,757,3999,944,3246,919,3048,726,2043,581,886,434,315,236,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,62808,4350,31667,2543,5319,849,5193,1142,3523,1141,1655,559,1230,462,3828,1088,2551,673,1769,497,2561,694,1372,513,1661,486,779,382,210,127,16,26,31141,2974,4073,1050,4948,957,3821,806,2300,885,1443,564,2210,738,2696,829,2343,588,2900,741,1867,546,1826,596,514,185,162,93,38,56,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,224103,10975,110896,6344,18162,2497,15630,2154,11795,1674,9119,1453,3639,952,8838,1777,7869,1471,6142,1295,12094,2171,6958,1255,5793,1158,3233,711,1161,433,463,309,113207,6468,16421,2216,16986,1831,13737,1883,7821,1373,5749,1248,10044,2119,6828,1219,6973,1291,11139,1800,7175,1320,5050,858,3489,855,1614,523,181,167,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64487,5713,29655,3232,3846,1065,3886,901,2685,698,2207,747,2265,895,2211,997,1712,661,737,393,2698,839,2903,814,2191,602,1531,693,525,354,258,267,34832,3762,5597,1475,3224,835,3473,935,3708,1089,1459,811,3293,1199,1489,746,1714,654,3878,979,2146,593,2330,653,1993,653,518,332,10,19,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1779789,27724,880968,16598,124074,6262,117599,6138,96118,5776,50031,2860,36265,3209,79627,4151,66364,4945,58192,3893,90299,4598,73367,4413,51028,3312,25757,2275,9868,1248,2379,568,898821,17730,121893,6188,104786,6280,97589,5529,57816,3652,33269,2532,80920,4053,67969,4415,55785,4005,92097,4340,74777,4055,57935,3502,30769,2310,16196,1748,7020,1232,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184328,9649,89819,5295,12351,1648,12043,1291,9579,1386,5551,1031,3620,904,8052,1655,7473,1527,6639,1153,9767,1615,6091,965,4781,1009,2399,792,1134,439,339,251,94509,5799,12596,2092,10718,1629,10550,1454,6468,1347,4100,900,8503,1614,7989,1286,6922,1286,8682,1347,7413,1058,6355,1088,2512,668,1170,463,531,274,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103833,7876,51563,4493,7537,1537,6938,1314,6746,1279,3560,873,2803,885,4517,1124,2267,712,3280,1151,5048,1367,4071,1227,2589,585,1625,739,582,407,0,197,52270,4674,8573,1519,8033,1563,6549,1358,2941,852,2197,850,3664,912,3891,987,3095,976,5320,1234,3464,847,2629,815,1338,446,545,338,31,40,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24117,3277,11865,2002,2205,830,2149,764,2091,813,792,438,720,446,1292,528,232,239,472,435,447,324,358,235,489,427,523,349,54,76,41,69,12252,2161,2452,808,2516,1006,1493,603,679,390,629,395,901,368,985,581,402,310,871,414,668,340,369,233,261,176,26,46,0,185,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16731,2508,7302,1401,1414,615,622,314,495,339,345,293,415,310,575,392,695,330,850,445,1094,439,234,176,440,286,123,132,0,198,0,198,9429,1645,1784,819,586,329,329,301,337,216,539,345,1073,470,1582,524,1082,497,1106,454,419,234,156,129,283,176,130,137,23,38,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,475805,19977,234532,11952,35627,4157,34647,3773,25531,2705,15084,1820,9165,1893,19844,2858,14412,2063,16514,2615,21734,2999,17021,2231,12568,1809,8502,1410,3152,816,731,332,241273,11371,34092,4008,33067,3619,27436,3663,14970,2185,9527,1962,19361,2966,13675,2310,14897,2377,24525,2565,19571,2138,16861,2111,7796,1229,3889,785,1606,458,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
