GEO_ID,B10059_001E,B10059_001M,B10059_002E,B10059_002M,B10059_003E,B10059_003M,B10059_004E,B10059_004M,B10059_005E,B10059_005M,B10059_006E,B10059_006M,B10059_007E,B10059_007M,B10059_008E,B10059_008M,B10059_009E,B10059_009M,B10059_010E,B10059_010M,B10059_011E,B10059_011M,NAME,B10059_001MA,B10059_001EA,B10059_002EA,B10059_002MA,B10059_003EA,B10059_003MA,B10059_004MA,B10059_004EA,B10059_005MA,B10059_005EA,B10059_006MA,B10059_006EA,B10059_007MA,B10059_007EA,B10059_008EA,B10059_008MA,B10059_009EA,B10059_009MA,B10059_010MA,B10059_010EA,B10059_011MA,B10059_011EA,state
0400000US01,114534,6358,27309,2791,16330,2221,11210,1765,5120,1106,10979,1755,87225,6231,43580,4640,23879,3276,19701,2759,43645,3763,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14694,1540,1815,575,836,249,628,227,208,94,979,496,12879,1505,4888,885,2591,620,2297,565,7991,1196,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,161514,8101,35284,3850,14977,2142,9043,1638,5934,1312,20307,3106,126230,7389,43787,3459,26549,2960,17238,1882,82443,6174,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,69002,4700,13264,1860,8911,1544,6793,1347,2118,794,4353,951,55738,4403,28742,3085,17151,2335,11591,1813,26996,3344,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1161080,20066,166892,7612,52419,4737,34849,4438,17570,2166,114473,6893,994188,18705,231914,9042,127156,7093,104758,5862,762274,15576,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,92261,5807,9478,1788,4899,1229,3150,944,1749,658,4579,1363,82783,5426,27744,3245,16580,2471,11164,1969,55039,3977,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,61705,4165,6293,1383,3094,1069,2001,801,1093,606,3199,919,55412,4067,16608,2537,10461,1968,6147,1372,38804,3620,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,25008,2731,2537,697,1712,674,1217,626,495,403,825,397,22471,2741,8266,1527,5173,1202,3093,830,14205,2486,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9919,1771,1874,701,1124,484,789,374,335,307,750,484,8045,1701,3069,873,1596,773,1473,488,4976,1403,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,480854,16171,76233,6013,29643,3349,17534,2795,12109,2042,46590,4550,404621,14511,126065,8910,72781,6618,53284,5297,278556,10454,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,260132,10221,45329,4220,26696,3144,18915,2702,7781,1475,18633,2788,214803,9530,88001,5877,52479,4598,35522,3312,126802,7456,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,55432,3776,5934,1768,1664,692,1167,586,497,346,4270,1569,49498,3420,12349,1794,5278,1342,7071,1505,37149,2974,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28354,3992,4147,1235,2696,943,1669,713,1027,501,1451,733,24207,3961,9854,2576,5092,1740,4762,1387,14353,3005,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,269663,9174,46166,4533,20721,2720,14788,2565,5933,1078,25445,3446,223497,7993,70610,5543,42510,4112,28100,2841,152887,6764,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,127546,6365,18881,2218,9993,1528,7692,1382,2301,762,8888,1600,108665,6046,47379,4391,31280,3479,16099,2438,61286,4514,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,37826,3149,4617,1347,2124,835,1657,764,467,220,2493,968,33209,3049,12673,1877,8572,1747,4101,915,20536,2106,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
