GEO_ID,B20017I_001E,B20017I_001M,B20017I_002E,B20017I_002M,B20017I_003E,B20017I_003M,B20017I_004E,B20017I_004M,B20017I_005E,B20017I_005M,B20017I_006E,B20017I_006M,B20017I_007E,B20017I_007M,NAME,B20017I_001MA,B20017I_001EA,B20017I_002MA,B20017I_002EA,B20017I_003EA,B20017I_003MA,B20017I_004MA,B20017I_004EA,B20017I_005MA,B20017I_005EA,B20017I_006MA,B20017I_006EA,B20017I_007MA,B20017I_007EA,state
0400000US01,21076,782,22313,1412,28868,2672,11649,1122,17337,1943,25733,3194,8676,2099,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,29554,4007,35394,5286,40722,4028,17244,5023,22533,3527,35586,2388,8177,2535,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,22015,379,25088,991,31997,458,9831,710,19867,699,30307,399,8144,466,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20921,784,22420,1461,25922,1266,11829,1321,16739,1829,22832,1998,8353,1629,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22136,104,25413,168,32759,533,11575,127,18763,209,29963,400,9937,161,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,24993,602,27126,588,34739,1326,11782,673,20840,771,31580,582,9419,664,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,23684,1836,27214,1334,35916,1744,11844,877,20602,740,35170,2835,10075,704,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26916,1184,29642,2612,36355,3707,12632,3937,25481,1909,34103,4007,11536,1753,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32128,5028,38115,3704,45961,5789,19425,3532,27032,2601,48559,7194,9037,1813,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,22813,369,25602,297,31554,330,11500,268,20691,293,28017,948,10571,215,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,21832,423,24142,782,27453,1143,12157,716,17410,1086,24332,1356,9581,1118,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,27909,3123,33034,3857,40265,1745,11197,1022,23493,2312,37337,3232,9757,1641,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21439,821,24298,1100,29084,2638,9002,2821,17681,2021,22419,888,7479,2464,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,23173,612,26280,429,32011,547,12130,463,20054,448,28666,1084,9876,427,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,21457,508,24309,2193,31583,1051,10234,833,19172,1548,26062,842,8167,1366,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,24858,1465,27362,1949,34699,2159,9207,2024,19635,1746,29260,1878,6524,1442,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
