GEO_ID,C17001D_001E,C17001D_001M,C17001D_002E,C17001D_002M,C17001D_003E,C17001D_003M,C17001D_004E,C17001D_004M,C17001D_005E,C17001D_005M,C17001D_006E,C17001D_006M,C17001D_007E,C17001D_007M,C17001D_008E,C17001D_008M,C17001D_009E,C17001D_009M,C17001D_010E,C17001D_010M,C17001D_011E,C17001D_011M,C17001D_012E,C17001D_012M,C17001D_013E,C17001D_013M,C17001D_014E,C17001D_014M,C17001D_015E,C17001D_015M,C17001D_016E,C17001D_016M,C17001D_017E,C17001D_017M,C17001D_018E,C17001D_018M,C17001D_019E,C17001D_019M,NAME,C17001D_001MA,C17001D_001EA,C17001D_002MA,C17001D_002EA,C17001D_003EA,C17001D_003MA,C17001D_004EA,C17001D_004MA,C17001D_005EA,C17001D_005MA,C17001D_006MA,C17001D_006EA,C17001D_007MA,C17001D_007EA,C17001D_008EA,C17001D_008MA,C17001D_009EA,C17001D_009MA,C17001D_010EA,C17001D_010MA,C17001D_011MA,C17001D_011EA,C17001D_012MA,C17001D_012EA,C17001D_013MA,C17001D_013EA,C17001D_014EA,C17001D_014MA,C17001D_015EA,C17001D_015MA,C17001D_016EA,C17001D_016MA,C17001D_017MA,C17001D_017EA,C17001D_018MA,C17001D_018EA,C17001D_019EA,C17001D_019MA,state
0400000US25,391976,5109,54842,5645,25945,3319,5089,1349,17403,2480,3453,823,28897,3108,3908,1018,21033,2785,3956,844,337134,7173,162060,4416,37084,2208,113053,3198,11923,966,175074,4311,39679,1932,121300,3243,14095,972,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,274196,4427,41687,4136,19053,2437,4221,1052,13564,1720,1268,525,22634,2293,4932,983,15646,1702,2056,626,232509,5708,113386,3398,29792,1961,75219,2263,8375,680,119123,3509,28261,1743,79943,2456,10919,700,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,245473,3791,34093,4549,15769,2533,6251,1493,8882,1492,636,343,18324,2458,7045,1419,9886,1278,1393,596,211380,5345,103243,3893,29535,2466,69134,2160,4574,560,108137,3206,28248,2063,73408,1832,6481,765,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,22849,2185,3695,1330,1918,1013,93,134,1705,1013,120,154,1777,862,213,307,1395,821,169,184,19154,2238,8177,1442,1880,759,5531,1053,766,462,10977,1432,1430,648,7437,1129,2110,842,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,103619,3812,17046,2362,8278,1412,1658,562,6257,1118,363,303,8768,1450,1230,510,6793,1212,745,454,86573,3998,41434,2694,11148,1617,27664,1957,2622,568,45139,2527,8881,1252,32581,1901,3677,569,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,7888,1507,1836,824,1327,678,46,67,1281,657,0,161,509,364,55,83,428,347,26,42,6052,1267,2061,700,873,400,1084,514,104,117,3991,942,594,348,2995,832,402,328,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,37265,1624,4341,1422,1879,628,324,274,1529,583,26,45,2462,989,480,334,1782,649,200,208,32924,2060,16171,1229,5037,844,10154,862,980,305,16753,1200,4106,608,11508,926,1139,359,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,221083,4610,22949,3896,11042,2419,2160,928,7433,1932,1449,475,11907,2174,1093,675,8539,1757,2275,744,198134,5537,88013,3504,17280,1655,59478,2394,11255,621,110121,3423,16949,1231,76779,2916,16393,846,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,32133,2221,3571,1342,1568,664,596,387,918,369,54,88,2003,917,326,388,1677,714,0,182,28562,2218,13505,1355,4307,958,8387,1011,811,274,15057,1510,3398,889,10412,1004,1247,520,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,813767,4931,55564,5976,25105,3036,5736,1609,15711,1942,3658,829,30459,3835,4964,1271,21817,2895,3678,910,758203,6219,368912,3731,88796,2041,247456,2637,32660,1183,389291,3925,87711,1837,261776,3108,39804,1154,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
