GEO_ID,B27015_001E,B27015_001M,B27015_002E,B27015_002M,B27015_003E,B27015_003M,B27015_004E,B27015_004M,B27015_005E,B27015_005M,B27015_006E,B27015_006M,B27015_007E,B27015_007M,B27015_008E,B27015_008M,B27015_009E,B27015_009M,B27015_010E,B27015_010M,B27015_011E,B27015_011M,B27015_012E,B27015_012M,B27015_013E,B27015_013M,B27015_014E,B27015_014M,B27015_015E,B27015_015M,B27015_016E,B27015_016M,B27015_017E,B27015_017M,B27015_018E,B27015_018M,B27015_019E,B27015_019M,B27015_020E,B27015_020M,B27015_021E,B27015_021M,B27015_022E,B27015_022M,B27015_023E,B27015_023M,B27015_024E,B27015_024M,B27015_025E,B27015_025M,B27015_026E,B27015_026M,NAME,B27015_001MA,B27015_001EA,B27015_002MA,B27015_002EA,B27015_003EA,B27015_003MA,B27015_004MA,B27015_004EA,B27015_005EA,B27015_005MA,B27015_006EA,B27015_006MA,B27015_007MA,B27015_007EA,B27015_008MA,B27015_008EA,B27015_009EA,B27015_009MA,B27015_010EA,B27015_010MA,B27015_011MA,B27015_011EA,B27015_012MA,B27015_012EA,B27015_013MA,B27015_013EA,B27015_014EA,B27015_014MA,B27015_015EA,B27015_015MA,B27015_016EA,B27015_016MA,B27015_017MA,B27015_017EA,B27015_018MA,B27015_018EA,B27015_019MA,B27015_019EA,B27015_020EA,B27015_020MA,B27015_021EA,B27015_021MA,B27015_022MA,B27015_022EA,B27015_023MA,B27015_023EA,B27015_024MA,B27015_024EA,B27015_025EA,B27015_025MA,B27015_026EA,B27015_026MA,state
0400000US46,816732,736,131996,7042,108929,6093,53551,4241,77754,4863,23067,2485,186454,10140,162847,9215,120284,7271,75651,5691,23607,2839,177068,7995,160164,7384,141853,6786,40649,3236,16904,2388,136004,9180,127161,8643,118902,7840,21293,3294,8843,2097,185210,8625,179984,8453,171402,8414,24397,2147,5226,1409,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6380286,1852,1422932,28616,1154816,24053,426670,12996,906230,21144,268116,12483,1600239,29017,1348698,26904,902286,22944,686106,17718,251541,11038,1219402,27048,1099164,24974,937369,21440,321159,11587,120238,8747,812021,25567,754408,23100,683429,21089,162400,9599,57613,5354,1325692,27644,1254903,26292,1179714,25490,191934,8620,70789,7552,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26304581,3842,4823877,58467,3442599,44326,1252213,23432,2572948,33979,1381278,28560,5954399,71515,4343328,55517,2666591,39793,2253236,34112,1611071,34961,4854575,63021,3876515,54932,3137479,49172,1181889,24091,978060,27263,3484667,59530,2996414,49930,2651288,45305,633720,20442,488253,20138,7187063,73727,6633403,67753,6226414,66442,909124,19511,553660,23398,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2894522,1341,338943,14904,259483,12463,139334,8818,159096,9436,79460,6556,562131,20780,450427,16219,341325,13058,176088,9128,111704,9700,641845,17828,567582,15691,508138,15698,119812,6669,74263,7566,503554,15944,455783,15726,427489,14653,62569,4930,47771,6789,848049,20458,798687,19264,760859,19380,87620,5662,49362,6609,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,600673,264,91110,5733,86403,5495,28591,2555,76349,4939,4707,1255,134015,7234,123423,6564,67774,4208,80916,5589,10592,1555,117656,7285,111332,7184,85024,5376,45401,4166,6324,1306,95056,5951,91426,5706,77462,5039,24040,2790,3630,1281,162836,7204,158244,7055,144626,6497,28843,3084,4592,1077,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,8010716,4583,1101725,26380,879760,21402,412776,13327,625183,17183,221965,12602,1438942,30303,1190444,28468,856984,22178,555414,14364,248498,10700,1382381,29597,1211828,27232,1049968,25713,345142,11787,170553,10718,1117114,26276,1029356,23526,950225,22285,203202,9228,87758,7838,2970554,35021,2826195,34606,2707987,33550,379582,11013,144359,11024,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,6884403,3294,943339,23771,803089,20313,334089,11918,600635,18132,140250,9290,1356575,33632,1173231,31325,732798,21468,665818,20350,183344,9427,1322889,29486,1181469,27511,948930,22991,419163,15731,141420,8714,988480,29574,921724,28295,807528,25184,234844,10631,66756,5551,2273120,37743,2167677,36963,2021810,35509,334726,9894,105443,8127,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1799993,500,427325,13832,383307,12987,128740,6472,322222,11635,44018,3547,475073,16419,422146,14508,266821,10114,256500,11667,52927,5327,358305,15431,328287,14224,267358,11947,121636,7057,30018,3560,228245,13411,213256,12398,190791,11786,49455,4890,14989,3194,311045,14075,298079,14079,276649,13349,50813,5150,12966,1979,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,5606525,564,888470,19236,776924,17669,321714,8554,604251,15857,111546,5953,1255819,19206,1114427,18455,764399,13903,589605,13822,141392,8442,1133261,19666,1051442,19070,894788,19457,312610,9610,81819,5712,875625,17921,836658,17607,773421,16679,146639,6401,38967,3994,1453350,24241,1414506,24445,1353984,24119,156431,6120,38844,3426,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,568163,643,83943,6449,66458,5030,36915,3646,41390,3585,17485,3028,114247,7326,96468,6692,70339,5726,43505,4234,17779,2485,105642,8089,90274,7043,77393,6427,27514,3573,15368,2798,87827,8083,80288,7772,72546,7437,16431,2923,7539,1725,176504,8190,166745,8200,160092,7669,19961,2504,9759,2381,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3507944,565,1866014,25608,1760424,24622,295809,12048,1558086,25143,105590,6515,922091,24007,848641,22397,490782,19096,432801,17055,73450,6552,405752,21777,382258,20896,295950,16901,121068,10151,23494,3451,137044,10715,130993,10250,109762,10418,31227,4935,6051,1650,177043,11873,170202,11287,150193,10573,32460,4088,6841,2167,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
