GEO_ID,B08505G_001E,B08505G_001M,B08505G_002E,B08505G_002M,B08505G_003E,B08505G_003M,B08505G_004E,B08505G_004M,B08505G_005E,B08505G_005M,B08505G_006E,B08505G_006M,B08505G_007E,B08505G_007M,NAME,B08505G_001EA,B08505G_001MA,B08505G_002EA,B08505G_002MA,B08505G_003EA,B08505G_003MA,B08505G_004MA,B08505G_004EA,B08505G_005MA,B08505G_005EA,B08505G_006EA,B08505G_006MA,B08505G_007EA,B08505G_007MA,state
0400000US01,21487,2969,16692,2432,3553,1147,74,134,144,163,140,143,884,419,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21489,2153,14325,1951,3333,850,790,524,1621,475,804,273,616,379,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,69705,5618,52457,4892,7875,1221,2410,797,1530,663,2020,646,3413,825,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20874,2629,16308,2226,3093,911,190,211,563,338,374,271,346,293,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,596262,11190,432757,10079,66206,4283,31941,2791,19829,1967,17167,2114,28362,2746,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,66942,4347,48917,3512,7044,1687,3203,986,2074,751,2537,832,3167,905,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,32614,3541,23716,3048,2776,980,1485,649,2454,815,457,363,1726,900,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20438,2663,7972,1329,1829,583,8515,1638,1426,596,447,381,249,230,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,152805,8913,117716,7660,17184,2490,3818,1146,2626,825,4559,1405,6902,1486,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,61040,4772,46465,4168,6075,1409,1783,636,1975,668,1238,548,3504,995,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,134436,6141,95038,5742,19029,1803,7773,1466,4339,1302,4664,1338,3593,942,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11019,1793,8044,1461,1729,780,126,152,129,127,111,136,880,617,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,85827,5143,57920,4359,8181,1572,10274,1510,4385,1108,2201,672,2866,781,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,40250,3317,31457,2892,5116,1136,675,442,1585,508,551,323,866,521,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,17761,2284,13545,2086,1688,687,411,322,910,511,728,474,479,262,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,31635,2919,24753,2791,4287,914,20,35,958,422,833,512,784,477,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,22952,2126,16851,1834,3123,767,160,179,1442,540,343,310,1033,621,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,24226,3094,16967,2628,3616,1205,1253,701,1075,583,851,495,464,315,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8256,1088,5779,950,766,337,141,160,944,398,244,256,382,241,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,54270,4008,38832,3234,5612,1314,4186,1314,1999,614,1120,502,2521,810,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,75728,5347,41735,4026,9204,1893,14112,2120,6132,1271,1790,577,2755,869,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,68665,4312,53459,3616,7351,1413,1586,617,1871,540,1583,610,2815,834,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,43014,3219,31422,2858,4164,915,2823,774,1656,514,528,278,2421,724,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,9125,1803,7477,1819,578,335,0,187,781,525,54,82,235,248,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,47432,3688,35400,3269,5772,1208,1834,891,1277,712,757,378,2392,749,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6947,1440,5236,1159,994,561,0,187,418,395,0,187,299,246,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,14425,1994,10773,1593,2483,939,338,287,444,228,59,72,328,239,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,42339,3648,31040,2812,4970,1052,1897,801,1325,646,1420,584,1687,950,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,8968,1832,5253,1172,1535,859,36,59,630,299,666,693,848,437,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
