GEO_ID,B19001A_001E,B19001A_001M,B19001A_002E,B19001A_002M,B19001A_003E,B19001A_003M,B19001A_004E,B19001A_004M,B19001A_005E,B19001A_005M,B19001A_006E,B19001A_006M,B19001A_007E,B19001A_007M,B19001A_008E,B19001A_008M,B19001A_009E,B19001A_009M,B19001A_010E,B19001A_010M,B19001A_011E,B19001A_011M,B19001A_012E,B19001A_012M,B19001A_013E,B19001A_013M,B19001A_014E,B19001A_014M,B19001A_015E,B19001A_015M,B19001A_016E,B19001A_016M,B19001A_017E,B19001A_017M,NAME,B19001A_001EA,B19001A_001MA,B19001A_002EA,B19001A_002MA,B19001A_003MA,B19001A_003EA,B19001A_004MA,B19001A_004EA,B19001A_005EA,B19001A_005MA,B19001A_006EA,B19001A_006MA,B19001A_007EA,B19001A_007MA,B19001A_008EA,B19001A_008MA,B19001A_009MA,B19001A_009EA,B19001A_010MA,B19001A_010EA,B19001A_011EA,B19001A_011MA,B19001A_012EA,B19001A_012MA,B19001A_013EA,B19001A_013MA,B19001A_014MA,B19001A_014EA,B19001A_015MA,B19001A_015EA,B19001A_016EA,B19001A_016MA,B19001A_017MA,B19001A_017EA,state
0400000US01,1301024,8129,97975,4829,76276,4597,74428,3650,76601,3828,72374,3677,68833,4120,63829,3983,63065,3260,60763,3547,104118,5344,134464,5293,154133,6303,100357,5322,57558,3589,53955,3267,42295,2479,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,185661,2963,5588,1031,5371,1040,5277,1021,7371,1393,5972,1102,5017,881,6373,1320,7555,1482,6425,1091,11811,1398,21354,2117,26251,2225,25047,2245,15756,1699,16575,1513,13918,1817,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2015686,11869,136683,6401,105707,4551,103357,4924,107761,4891,107165,5386,114652,5374,99907,4988,105168,4986,88810,4281,171655,6310,208524,6849,240780,7823,161370,5941,88969,3793,87395,4334,87783,4572,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,906193,7188,65290,3760,62451,3485,57188,3865,59598,4084,55162,3058,50295,3547,54208,3256,50626,3542,41436,2956,78330,4152,87877,4133,101574,5748,60141,3788,30354,2674,26407,2296,25256,2224,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8501057,23835,442367,11737,400018,9301,375934,9474,396210,9366,369207,9754,369648,9414,345050,8161,344502,10126,314389,8128,596575,9944,810904,12767,1047204,14483,789963,12044,518199,10515,624965,11395,755922,9694,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1786357,8098,96372,5032,63177,3627,68974,3874,77319,4207,77286,4537,83933,4505,78992,4682,79323,4304,74167,3789,139563,5106,190650,5817,244997,6843,171127,5296,107718,4948,119203,4622,113556,4181,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1096451,8068,53399,3875,33427,2738,45138,3333,41653,2861,40839,3292,38105,2585,37788,3246,40396,2914,36725,2942,69813,3860,102686,4425,148440,6391,109911,4981,82267,4709,95470,4498,120394,4313,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,254714,3145,13478,1672,7661,1222,9572,1318,10618,1211,10419,1326,13082,1513,12695,1784,10669,1463,10808,1556,20419,1958,27625,2203,34952,2450,23834,2018,15971,1841,17114,1602,15797,1869,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,125176,2570,5880,1486,2514,869,1333,569,2224,886,1914,610,2268,818,1962,669,3216,1005,1852,706,5120,1094,10029,1617,15750,1587,14319,1693,10985,1579,16382,1705,29428,1972,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,5897961,22424,404832,10970,299604,9076,332222,10674,352616,8693,330497,9651,328413,8721,301165,9843,306317,8206,270940,8440,504610,11873,595462,11454,674430,13885,444623,9128,240608,6700,242530,7320,269092,7151,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2259369,13909,141658,5657,102950,5138,108778,5901,113404,6031,106516,5115,114779,5515,106739,6005,111434,5240,93327,4056,185998,7018,230508,7802,288464,7589,187268,6650,111225,5283,124850,5871,131471,4884,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
