GEO_ID,B17020I_001E,B17020I_001M,B17020I_002E,B17020I_002M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_006E,B17020I_006M,B17020I_007E,B17020I_007M,B17020I_008E,B17020I_008M,B17020I_009E,B17020I_009M,B17020I_010E,B17020I_010M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020I_014E,B17020I_014M,B17020I_015E,B17020I_015M,B17020I_016E,B17020I_016M,B17020I_017E,B17020I_017M,NAME,B17020I_001MA,B17020I_001EA,B17020I_002EA,B17020I_002MA,B17020I_003MA,B17020I_003EA,B17020I_004MA,B17020I_004EA,B17020I_005EA,B17020I_005MA,B17020I_006MA,B17020I_006EA,B17020I_007MA,B17020I_007EA,B17020I_008EA,B17020I_008MA,B17020I_009EA,B17020I_009MA,B17020I_010EA,B17020I_010MA,B17020I_011MA,B17020I_011EA,B17020I_012MA,B17020I_012EA,B17020I_013EA,B17020I_013MA,B17020I_014MA,B17020I_014EA,B17020I_015MA,B17020I_015EA,B17020I_016EA,B17020I_016MA,B17020I_017MA,B17020I_017EA,state
0400000US01,188508,2075,66963,7300,13662,2078,12424,1960,7688,1289,31437,4220,1403,768,349,396,0,189,121545,7139,13831,2361,13964,1868,10270,1986,74122,4318,6259,1219,2325,882,774,604,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47562,521,5423,2034,965,527,810,544,671,480,2837,1072,136,160,4,9,0,145,42139,2001,5019,611,4319,883,4744,800,25185,1262,1899,747,931,378,42,75,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2002533,3932,552376,22454,85284,5909,83838,5476,73479,4378,271032,13463,29006,2915,8144,1301,1593,495,1450157,22367,138894,6146,153690,6608,155751,5391,854728,13674,110050,3740,29665,1494,7379,1175,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,201798,1628,63229,6322,12239,1710,11810,1850,6554,1524,29952,3578,2255,785,362,272,57,71,138569,5972,15582,1836,17721,1859,15027,1888,82032,3519,6430,1225,1703,744,74,121,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14732738,7252,3362954,48532,492450,13361,499501,12826,441531,11833,1703909,25864,161836,7177,48456,3401,15271,1866,11369784,49094,1062103,15050,1081230,12174,1098268,13424,6945516,25514,877505,10413,222748,5100,82414,4237,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1108127,2485,230598,13979,38281,3835,35680,4287,29018,3019,112151,7133,11904,1437,2800,810,764,440,877529,13878,87230,4345,97709,5251,94980,4793,510219,7187,66092,2714,16331,1204,4968,918,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,526504,1851,139418,10931,20095,2619,18968,2831,17340,2395,70761,5776,9188,1464,2611,693,455,302,387086,11179,35303,2706,39338,2994,38034,3321,243742,6136,23863,1801,5777,888,1029,485,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,81402,770,17583,3317,3947,1074,3070,1184,2217,793,8130,1736,122,141,97,123,0,185,63819,3251,6066,1170,6937,1123,6754,1080,39185,1883,4162,668,412,316,303,247,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65758,997,11124,3150,1790,1131,757,659,1120,832,6466,1674,328,220,614,532,49,86,54634,3219,5905,1125,4608,1021,2378,667,37810,1906,2918,707,857,441,158,144,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4720107,4007,1025159,28063,122020,5663,121349,6930,102986,7207,530174,18512,96757,5869,35208,2758,16665,2493,3694948,28654,268040,7171,272274,9181,289113,8583,2281795,19234,401830,7309,131479,4842,50417,3805,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
