GEO_ID,C17021_001E,C17021_001M,C17021_002E,C17021_002M,C17021_003E,C17021_003M,C17021_004E,C17021_004M,C17021_005E,C17021_005M,C17021_006E,C17021_006M,C17021_007E,C17021_007M,C17021_008E,C17021_008M,C17021_009E,C17021_009M,C17021_010E,C17021_010M,C17021_011E,C17021_011M,C17021_012E,C17021_012M,C17021_013E,C17021_013M,C17021_014E,C17021_014M,C17021_015E,C17021_015M,NAME,C17021_001EA,C17021_001MA,C17021_002EA,C17021_002MA,C17021_003MA,C17021_003EA,C17021_004MA,C17021_004EA,C17021_005MA,C17021_005EA,C17021_006EA,C17021_006MA,C17021_007EA,C17021_007MA,C17021_008EA,C17021_008MA,C17021_009MA,C17021_009EA,C17021_010MA,C17021_010EA,C17021_011EA,C17021_011MA,C17021_012EA,C17021_012MA,C17021_013EA,C17021_013MA,C17021_014MA,C17021_014EA,C17021_015MA,C17021_015EA,state
0400000US01,4727549,2783,910175,25515,689146,24680,217755,14739,471391,18755,64753,8093,406638,17733,221029,7565,3817374,25803,3302668,27643,2527043,32645,775625,23789,199593,12249,576032,19620,514706,11665,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,717723,893,80627,6821,61361,6500,24805,4889,36556,5284,12014,3470,24542,4159,19266,2288,637096,6751,524292,8530,408858,10316,115434,9679,41255,6012,74179,7324,112804,5675,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6573369,3679,1199061,26607,899661,25795,380221,19642,519440,20232,125616,12434,393824,15678,299400,10644,5374308,26069,4529965,29997,3388739,39093,1141226,31797,380662,22136,760564,27245,844343,17309,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2882856,1835,543882,15436,400494,14113,153530,11946,246964,11335,43656,5878,203308,10128,143388,5529,2338974,15627,2013835,21026,1546399,24940,467436,19222,140214,12498,327222,16150,325139,10957,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38060228,7073,6259098,64461,4778031,58719,2142036,54261,2635995,53531,621151,23927,2014844,50854,1481067,24367,31801130,63863,27554995,73367,20586696,90045,6968299,76574,2338161,51097,4630138,62737,4246135,34904,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5237149,2559,630786,21138,412861,18477,178634,13567,234227,15464,48931,7403,185296,13622,217925,7943,4606363,20810,3834653,23622,3036532,30818,798121,22647,281445,15571,516676,21055,771710,12996,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3485629,1870,374772,16369,258737,15348,79709,8477,179028,13934,33444,6315,145584,12624,116035,5183,3110857,16327,2635714,19163,2021116,25434,614598,19684,183660,11538,430938,17491,475143,10738,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,909611,1367,113508,7940,80109,7889,23370,4157,56739,7726,12016,3053,44723,7022,33399,3279,796103,7616,678528,9358,503564,11323,174964,9424,50722,6431,124242,8531,117575,5845,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,624327,573,110666,7793,63720,6810,9431,2957,54289,6097,7199,2780,47090,5575,46946,2832,513661,7611,331425,8616,200131,9498,131294,9344,24660,4601,106634,8700,182236,6150,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19470210,6164,3211615,59681,2315352,52584,882789,31869,1432563,37327,286211,19401,1146352,34321,896263,19790,16258595,61305,13647253,62453,10025540,76932,3621713,62384,1093443,31518,2528270,53613,2611342,30420,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
