GEO_ID,B01001H_001E,B01001H_001M,B01001H_002E,B01001H_002M,B01001H_003E,B01001H_003M,B01001H_004E,B01001H_004M,B01001H_005E,B01001H_005M,B01001H_006E,B01001H_006M,B01001H_007E,B01001H_007M,B01001H_008E,B01001H_008M,B01001H_009E,B01001H_009M,B01001H_010E,B01001H_010M,B01001H_011E,B01001H_011M,B01001H_012E,B01001H_012M,B01001H_013E,B01001H_013M,B01001H_014E,B01001H_014M,B01001H_015E,B01001H_015M,B01001H_016E,B01001H_016M,B01001H_017E,B01001H_017M,B01001H_018E,B01001H_018M,B01001H_019E,B01001H_019M,B01001H_020E,B01001H_020M,B01001H_021E,B01001H_021M,B01001H_022E,B01001H_022M,B01001H_023E,B01001H_023M,B01001H_024E,B01001H_024M,B01001H_025E,B01001H_025M,B01001H_026E,B01001H_026M,B01001H_027E,B01001H_027M,B01001H_028E,B01001H_028M,B01001H_029E,B01001H_029M,B01001H_030E,B01001H_030M,B01001H_031E,B01001H_031M,NAME,B01001H_001EA,B01001H_001MA,B01001H_002MA,B01001H_002EA,B01001H_003EA,B01001H_003MA,B01001H_004MA,B01001H_004EA,B01001H_005EA,B01001H_005MA,B01001H_006MA,B01001H_006EA,B01001H_007EA,B01001H_007MA,B01001H_008MA,B01001H_008EA,B01001H_009EA,B01001H_009MA,B01001H_010EA,B01001H_010MA,B01001H_011MA,B01001H_011EA,B01001H_012EA,B01001H_012MA,B01001H_013MA,B01001H_013EA,B01001H_014EA,B01001H_014MA,B01001H_015EA,B01001H_015MA,B01001H_016EA,B01001H_016MA,B01001H_017MA,B01001H_017EA,B01001H_018EA,B01001H_018MA,B01001H_019MA,B01001H_019EA,B01001H_020EA,B01001H_020MA,B01001H_021EA,B01001H_021MA,B01001H_022MA,B01001H_022EA,B01001H_023EA,B01001H_023MA,B01001H_024MA,B01001H_024EA,B01001H_025MA,B01001H_025EA,B01001H_026EA,B01001H_026MA,B01001H_027EA,B01001H_027MA,B01001H_028MA,B01001H_028EA,B01001H_029EA,B01001H_029MA,B01001H_030MA,B01001H_030EA,B01001H_031EA,B01001H_031MA,state
0400000US01,3205535,1421,1567184,1833,84169,1180,88438,3899,98922,3880,59324,1252,39621,1740,107926,2017,94437,1290,94394,978,197050,1259,225290,843,218457,164,159775,296,78391,1750,20990,1808,1638351,1642,80130,1082,82627,3287,95309,3450,58016,1014,39611,2039,101547,2436,96828,1212,96446,891,198494,1060,227865,657,231936,9,181033,157,102301,2743,46208,2714,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,455009,805,242335,851,13615,449,13571,1234,12990,1230,7535,287,5614,331,20497,389,20489,257,18884,218,30890,192,35074,143,36566,144,19281,178,6008,498,1321,455,212674,564,12656,271,11838,997,12913,1003,8015,308,4272,617,14379,781,16450,292,15841,200,27992,671,31069,158,32231,92,16033,178,5648,774,3337,808,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3777085,1922,1865701,1647,86678,485,94952,3876,94184,3924,59450,969,41409,724,111330,759,114372,661,113599,392,220258,585,254674,584,270375,199,236462,475,127883,2263,40075,2272,1911384,1348,82842,416,87360,3383,93341,3385,56270,784,37831,1419,106067,1393,106817,514,108198,488,212916,686,256435,676,297434,170,261261,309,140344,3267,64268,3282,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2176186,956,1070168,1764,61585,1009,65427,3150,65356,3007,41258,1236,28476,1715,70742,2139,65540,1085,67563,1418,132693,1670,146481,906,143195,72,110118,419,56259,1605,15475,1582,1106018,1678,57626,925,60902,3264,62748,3316,37950,1020,25577,1419,69249,1530,66506,1064,65601,1068,133916,1025,147707,804,153115,179,123456,119,67331,1768,34334,1769,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14849129,7495,7411933,3776,324858,1337,339402,7210,341635,7261,223304,1227,159162,1371,473402,1587,515316,1302,499024,969,913209,1228,1131721,1385,1156464,731,785086,962,392317,4353,157033,4353,7437196,5131,307278,1656,315653,6826,329161,6625,211331,1057,145711,1344,427631,1825,477330,1394,461958,1091,856914,1790,1101123,1170,1176149,778,857689,669,486674,6844,282594,6752,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3686726,1784,1846966,1780,97056,794,99220,3288,107864,3544,61522,1120,46031,1466,126019,1528,136344,1071,135911,456,249436,757,263130,782,264599,324,165010,364,71202,1673,23622,1691,1839760,1736,88898,993,95108,3403,99563,3430,57219,984,40203,974,114928,1777,127140,1321,128372,1714,237113,1281,265111,463,275655,286,176998,436,86657,2897,46795,2859,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2465919,2504,1200235,1569,51221,341,59039,2798,71778,2876,46636,187,34158,110,75552,123,67821,255,64757,285,135438,406,196450,766,191580,343,119863,90,60508,1826,25434,1820,1265684,1241,48888,156,53788,2270,69824,2395,44038,122,33287,208,70057,317,64534,372,65096,198,139790,431,205792,356,200704,566,134698,177,81184,2723,54004,2746,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,594488,607,288014,431,14213,79,13522,1370,16034,1380,9548,185,7163,44,18004,86,19158,139,16829,185,31689,291,42199,185,43662,143,34041,59,16880,790,5072,796,306474,376,13524,239,14644,1343,13370,1337,9099,68,7391,185,17344,62,19448,186,17144,185,33036,66,44435,86,48336,134,38406,185,21026,1301,9271,1301,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,235433,447,117587,226,5797,115,3331,564,2209,564,1053,198,3471,901,10570,901,18131,198,17781,70,20155,198,13306,184,10374,198,7146,198,2946,431,1317,431,117846,323,5498,158,3045,588,2306,588,1087,198,3621,847,13052,811,21291,60,17713,75,17392,104,10161,57,9656,62,7702,198,3533,717,1789,715,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11055931,7320,5421807,3820,227395,1611,243683,5798,263354,5756,166509,1528,113541,1816,311377,1974,316210,1126,293889,1356,588200,1194,771734,1111,812756,683,734129,568,421716,5783,157314,5804,5634124,4962,218961,1434,228451,7150,251425,6988,158861,1398,104627,1927,294120,2231,304776,874,286210,1438,578637,1424,778032,1280,884642,697,810501,1389,479993,7592,254888,7686,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
