GEO_ID,C15010A_001E,C15010A_001M,C15010A_002E,C15010A_002M,C15010A_003E,C15010A_003M,C15010A_004E,C15010A_004M,C15010A_005E,C15010A_005M,C15010A_006E,C15010A_006M,NAME,C15010A_001MA,C15010A_001EA,C15010A_002EA,C15010A_002MA,C15010A_003EA,C15010A_003MA,C15010A_004EA,C15010A_004MA,C15010A_005EA,C15010A_005MA,C15010A_006MA,C15010A_006EA,state
0400000US01,603984,10263,176873,6011,64910,4378,144991,5249,101081,4651,116129,5110,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,109637,4578,41991,3113,9634,1530,16343,1921,16392,1776,25277,2123,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1045260,13298,327180,7753,98478,4528,224586,7870,162579,5844,232437,6947,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,356339,10140,98829,4372,37875,3330,77162,4574,73990,4257,68483,4492,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5303391,34668,2052513,23498,360298,8556,916900,15085,419073,9090,1554607,22175,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1240925,13878,479568,10755,98036,4408,234427,6581,129997,5287,298897,6980,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,797605,10046,279525,6197,66303,3594,161158,5718,94389,4266,196230,6503,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,145940,5406,51613,3091,12543,1622,31114,2876,21064,1945,29606,2334,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,175083,2602,85934,3845,6188,1059,18865,1945,5064,1009,59032,3328,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3207623,28353,996964,17293,305485,9966,784243,15751,483647,10758,637284,14508,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1324613,15588,409601,11409,109421,5287,321366,10160,202909,7447,281316,7877,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,115005,4436,49123,3832,9525,1441,18595,1819,11371,1481,26391,2305,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,248983,8091,86395,5069,26608,2669,46538,3999,38728,3084,50714,4052,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2222859,17965,698202,12751,196700,7962,464313,10160,330710,7044,532934,12034,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,946355,14680,259524,7428,113880,5429,193716,6330,171438,6326,207797,8381,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,531253,9067,154955,4482,48338,2901,112783,4997,102580,4382,112597,4214,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,533247,8636,142146,4656,57738,3330,117122,4605,97068,3857,119173,4674,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,595272,11129,167762,6191,70274,4363,117117,4688,107189,4793,132930,5499,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
