GEO_ID,C18107_001E,C18107_001M,C18107_002E,C18107_002M,C18107_003E,C18107_003M,C18107_004E,C18107_004M,C18107_005E,C18107_005M,C18107_006E,C18107_006M,C18107_007E,C18107_007M,C18107_008E,C18107_008M,C18107_009E,C18107_009M,C18107_010E,C18107_010M,C18107_011E,C18107_011M,C18107_012E,C18107_012M,C18107_013E,C18107_013M,C18107_014E,C18107_014M,C18107_015E,C18107_015M,NAME,C18107_001EA,C18107_001MA,C18107_002MA,C18107_002EA,C18107_003MA,C18107_003EA,C18107_004MA,C18107_004EA,C18107_005EA,C18107_005MA,C18107_006EA,C18107_006MA,C18107_007EA,C18107_007MA,C18107_008MA,C18107_008EA,C18107_009MA,C18107_009EA,C18107_010EA,C18107_010MA,C18107_011EA,C18107_011MA,C18107_012EA,C18107_012MA,C18107_013EA,C18107_013MA,C18107_014MA,C18107_014EA,C18107_015MA,C18107_015EA,state
0400000US01,3660536,3104,1724861,3310,1407781,3396,69201,4154,1338580,5407,317080,1997,44298,2687,272782,3535,1935675,3098,1527586,3213,83216,4295,1444370,5217,408089,2062,89873,3599,318216,3894,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,525296,1652,268933,1911,235033,2140,6495,1217,228538,2327,33900,1002,2852,576,31048,1144,256363,1253,221245,1198,6739,1429,214506,1809,35118,972,7184,1279,27934,1246,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5002498,2411,2424939,2881,1937999,2770,65585,4287,1872414,4893,486940,1367,51818,3583,435122,4145,2577559,2238,2006493,2365,77936,5059,1928557,5408,571066,1364,90677,3913,480389,3964,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2210565,2640,1063021,3164,861325,3214,40098,3544,821227,4801,201696,1438,27055,2007,174641,2368,1147544,2634,900910,3016,53382,3611,847528,4163,246634,1843,50910,2810,195724,3130,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29162324,5744,14207503,7604,12038061,7340,356023,10139,11682038,12254,2169442,2989,287698,6639,1881744,6345,14954821,4669,12226448,3884,391967,10549,11834481,10859,2728373,3145,573340,9689,2155033,10518,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4020590,3165,1982111,3612,1678778,3434,47523,3853,1631255,5188,303333,1624,27835,2110,275498,2434,2038479,2712,1677532,2424,49294,3799,1628238,4810,360947,1439,53972,3058,306975,3209,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2767261,1349,1324422,2212,1091478,1984,29514,2942,1061964,3452,232944,1423,24120,2193,208824,2536,1442839,2030,1142258,1885,36950,3206,1105308,3963,300581,1319,51970,2945,248611,3198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,717516,830,339592,1093,272159,1135,10192,2021,261967,2137,67433,733,6414,1047,61019,1197,377924,855,295631,700,11564,1680,284067,1730,82293,658,11212,1296,71081,1478,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,533132,509,245651,984,216572,977,5897,1178,210675,1403,29079,646,4262,976,24817,1180,287481,1016,244580,597,6932,1179,237648,1399,42901,869,9608,1106,33293,1065,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15537207,4034,7424855,5153,5747594,5911,211959,7825,5535635,10512,1677261,3397,175825,7868,1501436,7886,8112352,4921,6066114,4654,231214,8898,5834900,10145,2046238,3447,339000,9300,1707238,9854,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
