GEO_ID,B05003H_001E,B05003H_001M,B05003H_002E,B05003H_002M,B05003H_003E,B05003H_003M,B05003H_004E,B05003H_004M,B05003H_005E,B05003H_005M,B05003H_006E,B05003H_006M,B05003H_007E,B05003H_007M,B05003H_008E,B05003H_008M,B05003H_009E,B05003H_009M,B05003H_010E,B05003H_010M,B05003H_011E,B05003H_011M,B05003H_012E,B05003H_012M,B05003H_013E,B05003H_013M,B05003H_014E,B05003H_014M,B05003H_015E,B05003H_015M,B05003H_016E,B05003H_016M,B05003H_017E,B05003H_017M,B05003H_018E,B05003H_018M,B05003H_019E,B05003H_019M,B05003H_020E,B05003H_020M,B05003H_021E,B05003H_021M,B05003H_022E,B05003H_022M,B05003H_023E,B05003H_023M,NAME,B05003H_001EA,B05003H_001MA,B05003H_002MA,B05003H_002EA,B05003H_003EA,B05003H_003MA,B05003H_004EA,B05003H_004MA,B05003H_005MA,B05003H_005EA,B05003H_006EA,B05003H_006MA,B05003H_007EA,B05003H_007MA,B05003H_008MA,B05003H_008EA,B05003H_009EA,B05003H_009MA,B05003H_010EA,B05003H_010MA,B05003H_011EA,B05003H_011MA,B05003H_012MA,B05003H_012EA,B05003H_013MA,B05003H_013EA,B05003H_014EA,B05003H_014MA,B05003H_015EA,B05003H_015MA,B05003H_016EA,B05003H_016MA,B05003H_017MA,B05003H_017EA,B05003H_018MA,B05003H_018EA,B05003H_019EA,B05003H_019MA,B05003H_020EA,B05003H_020MA,B05003H_021EA,B05003H_021MA,B05003H_022EA,B05003H_022MA,B05003H_023MA,B05003H_023EA,state
0400000US01,3205535,1421,1567184,1833,330853,1645,330166,1615,687,552,448,432,239,246,1236331,651,1223351,2180,12980,2194,5194,1245,7786,1938,1638351,1642,316082,1681,315848,1684,234,229,224,227,10,17,1322269,424,1307046,2315,15223,2253,9136,1642,6087,1331,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,455009,805,242335,851,47711,688,47384,708,327,257,195,195,132,140,194624,420,188464,1604,6160,1547,3146,843,3014,1296,212674,564,45422,477,45298,487,124,186,114,185,10,20,167252,204,160909,1314,6343,1270,3066,789,3277,826,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3777085,1922,1865701,1647,335264,1362,330142,2376,5122,1967,1339,1136,3783,1706,1530437,727,1461479,4422,68958,4357,36363,3072,32595,2947,1911384,1348,319813,1100,316397,1354,3416,990,1049,685,2367,864,1591571,604,1503046,4714,88525,4757,49345,4113,39180,3546,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2176186,956,1070168,1764,233626,1584,232679,1892,947,997,43,77,904,995,836542,573,829332,1697,7210,1653,2734,751,4476,1578,1106018,1678,219226,1571,218952,1547,274,222,274,222,0,190,886792,480,875934,1592,10858,1487,6005,1151,4853,1027,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14849129,7495,7411933,3776,1229199,2689,1197779,4252,31420,3787,7991,1576,23429,3151,6182734,2650,5557305,12755,625429,12848,398474,9697,226955,8593,7437196,5131,1163423,2976,1135800,4358,27623,3273,7725,1420,19898,2722,6273773,3346,5587525,12287,686248,11415,464978,9445,221270,7767,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3686726,1784,1846966,1780,365662,1459,363657,1630,2005,598,804,430,1201,450,1481304,1079,1432978,3410,48326,3228,27274,2246,21052,2275,1839760,1736,340788,1608,338281,1746,2507,763,775,389,1732,647,1498972,806,1434422,3796,64550,3683,41825,2845,22725,2496,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2465919,2504,1200235,1569,228674,674,224691,1451,3983,1279,1144,539,2839,992,971561,1177,897672,5432,73889,5257,43120,3990,30769,3369,1265684,1241,216538,604,213320,1090,3218,863,1142,515,2076,677,1049146,939,966779,4868,82367,4682,52166,3725,30201,2859,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,594488,607,288014,431,53317,140,52942,284,375,247,184,150,191,155,234697,386,227643,1524,7054,1451,5100,1302,1954,731,306474,376,50637,270,50472,306,165,142,106,85,59,86,255837,261,247064,2281,8773,2266,6288,1814,2485,843,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,235433,447,117587,226,12390,115,11916,300,474,277,156,151,318,234,105197,198,94641,1658,10556,1639,4606,1019,5950,1248,117846,323,11936,158,11358,489,578,460,64,147,514,434,105910,253,95510,1792,10400,1794,5608,1334,4792,1212,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11055931,7320,5421807,3820,900941,2497,889382,3067,11559,1846,2920,743,8639,1880,4520866,2529,4228862,8354,292004,8494,166615,6992,125389,5269,5634124,4962,857698,2674,844496,3383,13202,2469,3570,1304,9632,2348,4776426,3808,4438588,11725,337838,11021,204470,8244,133368,6594,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
