GEO_ID,B12002H_001E,B12002H_001M,B12002H_002E,B12002H_002M,B12002H_003E,B12002H_003M,B12002H_004E,B12002H_004M,B12002H_005E,B12002H_005M,B12002H_006E,B12002H_006M,B12002H_007E,B12002H_007M,B12002H_008E,B12002H_008M,B12002H_009E,B12002H_009M,B12002H_010E,B12002H_010M,B12002H_011E,B12002H_011M,B12002H_012E,B12002H_012M,B12002H_013E,B12002H_013M,NAME,B12002H_001MA,B12002H_001EA,B12002H_002EA,B12002H_002MA,B12002H_003EA,B12002H_003MA,B12002H_004MA,B12002H_004EA,B12002H_005MA,B12002H_005EA,B12002H_006MA,B12002H_006EA,B12002H_007EA,B12002H_007MA,B12002H_008EA,B12002H_008MA,B12002H_009EA,B12002H_009MA,B12002H_010MA,B12002H_010EA,B12002H_011MA,B12002H_011EA,B12002H_012MA,B12002H_012EA,B12002H_013EA,B12002H_013MA,state
0400000US01,2675940,1243,1295655,1420,343438,6192,737681,9779,19485,2784,44205,2769,150846,6485,1380285,1075,279216,5848,729218,10285,25714,2875,158597,5601,187540,6530,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,377426,512,202159,501,65235,2806,107604,3418,2467,703,4117,1036,22736,2019,175267,401,44030,2407,92528,3295,2639,787,10097,1101,25973,2119,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3237728,1461,1589887,1296,479148,9754,840188,11052,20176,2234,53534,3226,196841,6100,1647841,1058,374193,8259,821721,11678,22821,2342,172477,4970,256629,8052,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1802542,1198,877800,1435,235608,5021,489967,7808,13669,1916,26480,2638,112076,5847,924742,1242,182160,4791,478907,7507,23048,2613,108576,4075,132051,4991,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12891142,5563,6406038,3029,2164491,15949,3281382,17878,94191,5065,191981,5920,673993,12063,6485104,3698,1705095,14389,3065558,17126,115143,5769,649303,10152,950005,15182,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3099017,1797,1542826,1503,498830,8986,824411,9749,16043,1922,33722,2344,169820,6871,1556191,1142,386814,6706,813975,8240,19238,2121,110317,4275,225847,6209,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2111381,1838,1018197,1265,338084,5811,545016,7696,6803,1309,28987,2239,99307,4546,1093184,949,290410,4872,539930,8151,7544,1459,112039,3609,143261,6410,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,509181,516,244245,386,75464,2251,129208,3295,2656,767,8942,1170,27975,2476,264936,279,66686,3036,130437,3759,3904,1060,26318,1696,37591,2912,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,213247,346,106250,198,59610,2212,37987,2321,1982,951,1097,481,5574,988,106997,253,58193,1722,35550,2073,1159,601,3896,1079,8199,1128,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9622662,5953,4687375,3031,1360435,17342,2475017,22671,72318,4455,194414,6378,585191,13033,4935287,3956,1077608,12109,2359734,19346,93498,5806,644541,10613,759906,12202,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
