GEO_ID,B14006_001E,B14006_001M,B14006_002E,B14006_002M,B14006_003E,B14006_003M,B14006_004E,B14006_004M,B14006_005E,B14006_005M,B14006_006E,B14006_006M,B14006_007E,B14006_007M,B14006_008E,B14006_008M,B14006_009E,B14006_009M,B14006_010E,B14006_010M,B14006_011E,B14006_011M,B14006_012E,B14006_012M,B14006_013E,B14006_013M,B14006_014E,B14006_014M,B14006_015E,B14006_015M,B14006_016E,B14006_016M,B14006_017E,B14006_017M,B14006_018E,B14006_018M,B14006_019E,B14006_019M,B14006_020E,B14006_020M,B14006_021E,B14006_021M,NAME,B14006_001MA,B14006_001EA,B14006_002EA,B14006_002MA,B14006_003EA,B14006_003MA,B14006_004MA,B14006_004EA,B14006_005MA,B14006_005EA,B14006_006MA,B14006_006EA,B14006_007EA,B14006_007MA,B14006_008EA,B14006_008MA,B14006_009EA,B14006_009MA,B14006_010MA,B14006_010EA,B14006_011EA,B14006_011MA,B14006_012EA,B14006_012MA,B14006_013EA,B14006_013MA,B14006_014EA,B14006_014MA,B14006_015MA,B14006_015EA,B14006_016EA,B14006_016MA,B14006_017EA,B14006_017MA,B14006_018EA,B14006_018MA,B14006_019EA,B14006_019MA,B14006_020EA,B14006_020MA,B14006_021EA,B14006_021MA,state
0400000US01,4559269,5442,858372,23867,292243,10398,14174,2276,18300,2319,69783,4627,66776,5128,56746,3813,58673,4697,7791,1593,566129,18027,3700897,24203,848291,13557,44395,3729,43326,3714,170857,6302,190123,6682,195087,5629,162216,7203,42287,3818,2852606,19482,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,686714,1884,75173,6216,25642,3453,1616,544,1879,672,6772,1261,5552,1254,5483,1350,3836,1036,504,281,49531,3997,611541,6797,164196,5257,7754,1246,9408,1560,33974,2212,33339,2768,37021,1859,32606,3258,10094,1455,447345,5320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6329722,5632,1129107,24627,409858,12233,19741,2542,24100,2730,94343,5500,83467,4692,83325,5004,92133,5664,12749,2074,719249,17964,5200615,24351,1287675,14434,63236,3697,64085,4109,259948,6664,274098,7364,287425,6332,278589,8262,60294,3840,3912940,21001,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2777470,3730,512537,15025,185559,8604,15278,2145,10618,1956,43086,3076,36132,3538,36247,3176,40111,3612,4087,1121,326978,10973,2264933,15530,525001,9592,36054,3311,27104,2588,111773,4671,114287,4816,122913,4598,92654,5512,20216,2424,1739932,12532,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,36612175,15231,5916565,61800,2273183,33005,107682,5057,114031,5106,478545,13550,442283,9906,472184,11696,574880,15809,83578,5938,3643382,39773,30695610,59794,7935023,39020,467266,10472,388425,10350,1508663,15904,1548410,17898,1702089,14134,1912930,21663,407240,9794,22760587,47388,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5039503,4801,598969,19833,232404,12378,11971,2095,12140,1795,44041,4757,40587,3838,39389,3895,73304,5858,10972,1712,366565,11575,4440534,19780,1118019,14192,77118,4438,62396,3659,228606,7202,245847,7194,231550,6589,211127,7588,61375,4193,3322515,14285,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3378072,4332,356684,15203,123507,7583,8002,1536,6598,1603,25844,3023,25279,2954,27365,3117,22902,2693,7517,1463,233177,10715,3021388,15340,742717,9218,49694,3531,31751,2636,142858,5511,161158,5435,171221,4120,143081,5773,42954,3358,2278671,12337,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,878780,2130,106858,7463,37080,4087,2446,886,1807,724,9775,1957,6578,1653,5723,1290,9712,1879,1039,464,69778,5310,771922,7120,184783,5746,13498,1926,10412,1638,32847,2813,37719,3003,39989,2115,36356,2893,13962,2072,587139,6250,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,599136,1777,103995,7000,39113,3426,3238,974,919,448,6757,1468,6304,1819,6160,1382,9733,1607,6002,1378,64882,4946,495141,7409,100000,5234,12848,1796,5099,1232,17357,2038,14171,1737,17635,2022,16816,2315,16074,1663,395141,6049,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18848358,10603,3046732,55775,1001740,23620,56709,3965,59381,4665,225921,10861,197569,9246,200317,9891,223833,10764,38010,3936,2044992,39353,15801626,58418,3517705,34522,217102,8545,162549,6955,676278,14828,699011,15536,760719,13702,825231,15389,176815,6728,12283921,38103,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
