B07008_022M,B07008_023E,B07008_023M,B07008_024E,B07008_024M,B07008_025E,B07008_025M,B07008_026E,B07008_026M,B07008_027E,B07008_027M,B07008_028E,B07008_028M,B07008_029E,B07008_029M,B07008_030E,B07008_030M,B07008_031E,B07008_031M,B07008_032E,B07008_032M,B07008_033E,B07008_033M,B07008_034E,B07008_034M,B07008_035E,B07008_035M,B07008_036E,B07008_036M,GEO_ID,B07008_001E,B07008_001M,B07008_002E,B07008_002M,B07008_003E,B07008_003M,B07008_004E,B07008_004M,B07008_005E,B07008_005M,B07008_006E,B07008_006M,B07008_007E,B07008_007M,B07008_008E,B07008_008M,B07008_009E,B07008_009M,B07008_010E,B07008_010M,B07008_011E,B07008_011M,B07008_012E,B07008_012M,B07008_013E,B07008_013M,B07008_014E,B07008_014M,B07008_015E,B07008_015M,B07008_016E,B07008_016M,B07008_017E,B07008_017M,B07008_018E,B07008_018M,B07008_019E,B07008_019M,B07008_020E,B07008_020M,B07008_021E,B07008_021M,B07008_022E,B07008_022MA,B07008_023EA,B07008_023MA,B07008_024MA,B07008_024EA,B07008_025MA,B07008_025EA,B07008_026MA,B07008_026EA,B07008_027EA,B07008_027MA,B07008_028EA,B07008_028MA,B07008_029MA,B07008_029EA,B07008_030MA,B07008_030EA,B07008_031EA,B07008_031MA,B07008_032EA,B07008_032MA,B07008_033EA,B07008_033MA,B07008_034EA,B07008_034MA,B07008_035MA,B07008_035EA,B07008_036MA,B07008_036EA,NAME,B07008_001EA,B07008_001MA,B07008_002MA,B07008_002EA,B07008_003MA,B07008_003EA,B07008_004MA,B07008_004EA,B07008_005EA,B07008_005MA,B07008_006EA,B07008_006MA,B07008_007MA,B07008_007EA,B07008_008MA,B07008_008EA,B07008_009MA,B07008_009EA,B07008_010MA,B07008_010EA,B07008_011EA,B07008_011MA,B07008_012EA,B07008_012MA,B07008_013MA,B07008_013EA,B07008_014MA,B07008_014EA,B07008_015MA,B07008_015EA,B07008_016EA,B07008_016MA,B07008_017EA,B07008_017MA,B07008_018MA,B07008_018EA,B07008_019MA,B07008_019EA,B07008_020MA,B07008_020EA,B07008_021EA,B07008_021MA,B07008_022EA,state
2353,5974,1448,6206,1305,90023,6471,40689,4228,32301,4059,12147,1997,2536,813,2350,724,11402,2283,4839,1375,4475,1397,1404,930,221,208,463,335,0400000US01,3931966,3565,1188202,14844,1872428,22959,491821,11439,100151,5338,279364,7283,3371431,17208,933804,14532,1698241,21783,410574,10278,74704,4706,254108,7353,330058,12092,146765,8714,100641,7112,49699,3985,16716,2389,16237,1808,129052,8034,62105,5317,36770,4585,17997,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
406,490,295,506,366,31426,3146,13513,1941,13573,2267,3601,1088,187,167,552,375,3551,1138,1138,580,1963,823,363,396,0,145,87,100,0400000US02,579778,1194,200938,5645,278761,7325,68170,3700,10313,1539,21596,1987,466074,5731,148429,4960,234800,6767,55501,3311,8071,1430,19273,2109,63692,5252,30567,3669,23211,3165,7171,1544,1565,585,1178,487,15035,2383,7291,1443,5214,1475,1534,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1746,1999,749,3530,1067,207247,9954,81296,6283,89369,6841,24883,2976,4505,1358,7194,1224,42372,4814,16004,2601,20746,2830,3026,1009,940,469,1656,706,0400000US04,5381925,2298,1797714,19036,2521223,26908,660872,14310,99505,5911,302611,8363,4411248,21468,1359417,19852,2174231,27334,538142,13326,70620,5015,268838,7332,619652,17155,286314,11231,207376,8684,83128,6556,21441,2755,21393,2475,101406,8237,54683,5645,29501,3838,11693,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2026,3654,899,3349,748,60394,4677,22604,2584,25070,3661,7923,1601,2223,620,2574,790,7413,1808,2360,813,3412,1443,761,482,595,331,285,293,0400000US05,2381476,2931,672552,9728,1180622,16490,307694,9369,58856,4225,161752,5899,2019198,14014,522023,10749,1054449,15295,254503,7891,41241,3766,146982,5724,207221,9798,85532,5984,71058,5497,30926,4179,11143,1933,8562,1483,87250,5460,40033,3474,26633,3297,13581,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
6560,27359,2926,31319,2930,434375,13489,209435,8623,164455,9740,37948,3295,8103,1386,14434,1796,268430,10646,113444,6494,127847,7079,11087,1748,4437,921,11615,1777,0400000US06,31206124,3092,11497373,41265,14421757,51116,3011332,28284,694635,14760,1581027,16879,26765172,40923,9342356,44270,12869182,50811,2565343,26025,552808,12332,1435483,17566,2819369,38163,1345364,25056,985772,20550,298129,11120,101928,6028,88176,5039,918778,21119,486774,14079,274501,10777,98825,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3491,6587,1164,4822,895,185663,10056,90219,5619,70511,6248,16800,2158,2808,727,5325,1230,28529,3743,11557,1959,13820,2625,2059,731,506,338,587,363,0400000US08,4309301,2682,1362494,14839,2166073,18939,525966,12668,69327,4347,185441,6287,3467774,20150,960581,16642,1878504,18301,417270,10341,47793,3785,163626,5951,400328,11564,185595,7624,133751,6188,58268,4390,11633,1904,11081,1716,227007,10056,114542,5804,69487,4867,31569,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1334,1193,538,1866,582,68104,5920,38657,4147,20849,2931,5663,1330,1499,604,1436,469,24278,3212,10768,1944,11122,2451,1163,589,519,537,706,395,0400000US09,2967896,1050,1025347,11908,1407169,18238,329127,11483,36600,3004,169653,5437,2600817,11297,836969,13402,1297942,17075,283947,11164,27067,2659,154892,4852,219687,9398,106625,6565,64319,5477,31668,2900,6322,1338,10753,1737,55010,4336,32328,3380,12937,2238,6686,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
751,193,164,322,203,27312,2682,12927,1746,9527,1603,2982,839,464,298,1412,577,4261,1190,1952,789,1932,713,171,178,50,81,156,177,0400000US10,765491,834,255717,5486,358548,7784,93040,4699,11814,1825,46372,2459,671334,5754,207568,6081,330615,7786,81241,4247,9406,1754,42504,2438,54611,4536,29076,2985,14986,2367,6870,1250,1701,616,1978,655,7973,1321,4194,912,1488,718,1776,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
198,0,198,0,198,54519,4235,41560,3648,7830,1597,2862,775,1364,711,903,511,9621,1902,5982,1472,3078,1013,403,252,121,145,37,61,0400000US11,559363,238,316290,5739,153894,6205,50499,2687,13877,2158,24803,2081,437520,6300,229866,7237,131378,5898,43631,2706,10510,1597,22135,2094,57703,4177,38882,3490,11608,1964,3603,1067,1882,660,1728,596,0,198,0,198,0,198,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
5472,18654,2752,20628,2682,465128,16495,161013,8107,207132,10223,57018,4619,12037,2409,27928,3089,166345,10199,55227,5344,83647,6667,16217,2710,3726,1317,7528,1587,0400000US12,16544829,3434,5229442,31066,7583757,47792,2151822,23668,398465,11901,1181343,16579,13920864,37691,4110341,35107,6660527,45043,1790838,21123,303866,10889,1055292,15772,1466704,29362,641214,16905,480040,17129,215301,8796,60182,4652,69967,4494,525788,14323,261647,9155,152411,9347,72448,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
