GEO_ID,B16005F_001E,B16005F_001M,B16005F_002E,B16005F_002M,B16005F_003E,B16005F_003M,B16005F_004E,B16005F_004M,B16005F_005E,B16005F_005M,B16005F_006E,B16005F_006M,B16005F_007E,B16005F_007M,B16005F_008E,B16005F_008M,B16005F_009E,B16005F_009M,B16005F_010E,B16005F_010M,B16005F_011E,B16005F_011M,NAME,B16005F_001EA,B16005F_001MA,B16005F_002EA,B16005F_002MA,B16005F_003EA,B16005F_003MA,B16005F_004MA,B16005F_004EA,B16005F_005MA,B16005F_005EA,B16005F_006EA,B16005F_006MA,B16005F_007EA,B16005F_007MA,B16005F_008MA,B16005F_008EA,B16005F_009MA,B16005F_009EA,B16005F_010MA,B16005F_010EA,B16005F_011MA,B16005F_011EA,state
0400000US27,78003,6468,35723,3518,15113,2668,20610,3015,16110,2643,4500,1222,42280,4530,6345,2049,35935,4604,10520,1914,25415,4047,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,22366,2988,10273,2010,3708,1141,6565,1597,4073,1253,2492,988,12093,2114,692,472,11401,2029,5147,1506,6254,1592,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,65069,6383,39983,4926,22837,4075,17146,2752,14006,2359,3140,1059,25086,3373,1994,861,23092,3183,8502,1582,14590,2372,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,2784,997,1645,723,1364,669,281,230,237,211,44,70,1139,731,141,140,998,718,553,350,445,456,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,27851,3509,15595,2289,6158,1463,9437,1821,8269,1712,1168,410,12256,1819,589,332,11667,1782,3901,995,7766,1304,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,245512,11884,118091,7782,31115,4321,86976,6051,77453,6026,9523,1379,127421,7242,3648,926,123773,7157,33960,3236,89813,5636,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,5938,1363,3674,1134,2132,829,1542,704,943,548,599,372,2264,673,581,339,1683,655,980,497,703,370,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,567899,19667,276972,11683,57045,5667,219927,10258,177214,9382,42713,4309,290927,14603,13795,2569,277132,14073,78011,5454,199121,11553,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,208226,12632,166956,10162,71049,7650,95907,7514,83049,6883,12858,2012,41270,6562,1067,499,40203,6456,16582,3560,23621,4071,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1601620,29562,817805,21890,183762,11326,634043,19426,506314,17088,127729,6829,783815,19753,68344,5314,715471,19235,182860,10221,532611,17095,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,288512,13170,120450,8241,28396,3644,92054,7401,73623,6329,18431,3644,168062,8294,7302,1766,160760,8211,54803,5377,105957,7300,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,4579,1755,3308,1410,1480,785,1828,981,1598,887,230,272,1271,671,91,111,1180,700,544,538,636,362,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,93075,6798,65487,5682,35626,3846,29861,4244,22952,3439,6909,1672,27588,3288,3219,1042,24369,3197,9342,1815,15027,2365,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,85147,4542,44202,3335,13706,2103,30496,2534,24540,2127,5956,1287,40945,3199,2344,719,38601,3212,9757,1469,28844,2765,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,129364,11843,64881,6575,18395,2726,46486,5795,39107,5780,7379,1983,64483,6772,3687,1276,60796,6655,19403,3127,41393,4904,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,220300,13380,159891,10782,47061,5116,112830,9223,78954,6970,33876,5169,60409,6722,3930,981,56479,6330,16782,2741,39697,4852,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,52528,4458,23956,3667,6732,1904,17224,3101,14355,2713,2869,914,28572,3031,1369,738,27203,2968,8059,1612,19144,2241,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,63143,7931,28027,4195,8464,2367,19563,3371,15694,2782,3869,1371,35116,4995,1657,649,33459,5099,7497,1652,25962,4634,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,5994,1752,4185,1549,2792,1462,1393,602,1228,547,165,127,1809,720,130,162,1679,700,472,297,1207,661,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,86712,6959,37069,3647,10110,1993,26959,3707,22771,3523,4188,1486,49643,5286,1702,731,47941,5187,13272,2117,34669,4205,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,1365537,33313,796587,20747,242287,12517,554300,17979,423150,15805,131150,8131,568950,19080,22091,2816,546859,19016,147216,8576,399643,15467,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,123342,8955,58415,5004,17574,3106,40841,4413,36275,4136,4566,1118,64927,5925,1493,606,63434,5940,25972,3410,37462,4331,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,2680,1027,1452,564,841,459,611,361,437,301,174,121,1228,909,749,833,479,364,359,268,120,202,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,157680,10760,68915,5902,28049,3900,40866,5000,34199,4615,6667,1698,88765,7832,5335,1786,83430,7794,33572,4684,49858,5963,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,223708,13205,121367,8421,36107,4186,85260,7317,70058,6503,15202,3109,102341,7632,4595,1193,97746,7691,30847,3301,66899,6749,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,3689,1192,2288,1039,1815,1008,473,404,241,256,232,311,1401,600,269,215,1132,544,458,326,674,445,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,93819,6845,52257,4904,18495,3014,33762,3728,27066,3214,6696,1542,41562,4080,3354,1076,38208,3910,13221,1794,24987,3405,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,10936,2295,7794,1738,4621,1657,3173,1268,2875,1134,298,285,3142,1166,730,666,2412,1041,1304,727,1108,527,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,458372,17107,445619,17071,6255,1556,439364,16929,59853,4976,379511,15572,12753,2168,403,329,12350,2113,662,423,11688,1984,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
