GEO_ID,B25007_001E,B25007_001M,B25007_002E,B25007_002M,B25007_003E,B25007_003M,B25007_004E,B25007_004M,B25007_005E,B25007_005M,B25007_006E,B25007_006M,B25007_007E,B25007_007M,B25007_008E,B25007_008M,B25007_009E,B25007_009M,B25007_010E,B25007_010M,B25007_011E,B25007_011M,B25007_012E,B25007_012M,B25007_013E,B25007_013M,B25007_014E,B25007_014M,B25007_015E,B25007_015M,B25007_016E,B25007_016M,B25007_017E,B25007_017M,B25007_018E,B25007_018M,B25007_019E,B25007_019M,B25007_020E,B25007_020M,B25007_021E,B25007_021M,NAME,B25007_001MA,B25007_001EA,B25007_002EA,B25007_002MA,B25007_003EA,B25007_003MA,B25007_004EA,B25007_004MA,B25007_005EA,B25007_005MA,B25007_006MA,B25007_006EA,B25007_007MA,B25007_007EA,B25007_008EA,B25007_008MA,B25007_009EA,B25007_009MA,B25007_010EA,B25007_010MA,B25007_011EA,B25007_011MA,B25007_012EA,B25007_012MA,B25007_013MA,B25007_013EA,B25007_014MA,B25007_014EA,B25007_015MA,B25007_015EA,B25007_016MA,B25007_016EA,B25007_017EA,B25007_017MA,B25007_018MA,B25007_018EA,B25007_019MA,B25007_019EA,B25007_020MA,B25007_020EA,B25007_021MA,B25007_021EA,state
0400000US01,1841217,10615,1246080,12085,12754,1851,110975,4848,188496,5792,252784,6143,145318,4363,142048,5010,229629,3826,123875,3535,40201,2449,595137,11423,61336,4441,153705,5739,124969,5927,98888,4244,44013,3591,33263,2871,45276,3044,22728,2319,10959,1795,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,249659,2978,156006,4250,1458,699,18018,1759,26907,2024,36802,1941,20859,1549,18137,1563,23088,1322,8740,1074,1997,528,93653,4082,14879,2048,26581,2263,17230,1905,15102,1881,7683,1401,5007,893,3994,947,1932,578,1245,423,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2428743,11353,1484857,11801,12031,1686,131338,5385,213259,5448,278144,6249,160638,4638,166021,4992,306968,4943,164683,3869,51775,2644,943886,14175,100673,4539,236073,6879,206282,6606,159895,6026,62724,4222,54053,4143,66720,3506,36429,2958,21037,2001,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1131288,8373,744318,10448,8566,1434,73393,3812,114982,3992,143165,4469,84961,3395,80298,3547,135634,3413,76941,2792,26378,2022,386970,9803,49279,3293,93033,5489,82319,4387,65107,3723,26044,2510,20339,2078,27741,2672,15907,1829,7201,1297,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12758648,18835,6855688,27608,33982,2528,512702,10434,1069129,13717,1552645,15787,843380,11100,781140,10319,1166153,10259,629826,8599,266731,7344,5902960,28154,363855,8821,1492041,16725,1379887,15855,1125269,15391,425033,10935,349237,8909,423259,8450,217523,6467,126856,4821,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2039592,7530,1302533,10820,11018,1671,135612,4705,233764,4752,282269,6162,156070,5108,150071,5287,205568,3486,95456,3290,32705,2074,737059,11315,88305,4286,220599,6847,148407,6230,111650,4723,44318,3185,38880,3029,42599,2924,25496,2354,16805,1646,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1355817,6673,900039,8072,2501,713,59825,3515,141082,4155,221294,4378,114911,4636,101840,4209,147979,3817,76497,2970,34110,2382,455778,8159,28956,2423,106420,4777,89769,4402,84695,4084,38045,3130,26821,2424,35867,3175,26690,1990,18515,1786,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,349743,3705,245808,4425,2210,761,20698,1797,34748,2268,52639,2444,30831,2172,26283,1857,46853,1550,24812,1576,6734,1051,103935,3908,7077,1116,28784,2518,22092,2247,18826,2098,8379,1499,4799,1115,7886,1161,3758,851,2334,700,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,277378,3304,112492,3641,476,289,13635,1427,24015,1978,20087,1633,10522,1391,11333,1142,17817,1305,10531,1176,4076,808,164886,4965,11188,1253,58392,2703,31450,2254,23772,2179,12342,1568,9703,1270,10389,1218,5080,1048,2570,815,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7328046,25793,4693821,26616,26240,2293,290504,8188,591243,14175,912684,12900,522184,8447,525906,9135,993946,9260,598568,9641,232546,7765,2634225,22450,194581,7894,627509,11863,579660,12230,492044,9841,188495,6531,153258,6318,220839,6850,108784,4495,69055,3892,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
