C02003_012E,C02003_012M,C02003_013E,C02003_013M,C02003_014E,C02003_014M,C02003_015E,C02003_015M,C02003_016E,C02003_016M,C02003_017E,C02003_017M,C02003_018E,C02003_018M,C02003_019E,C02003_019M,GEO_ID,C02003_001E,C02003_001M,C02003_002E,C02003_002M,C02003_003E,C02003_003M,C02003_004E,C02003_004M,C02003_005E,C02003_005M,C02003_006E,C02003_006M,C02003_007E,C02003_007M,C02003_008E,C02003_008M,C02003_009E,C02003_009M,C02003_010E,C02003_010M,C02003_011E,C02003_011M,C02003_012EA,C02003_012MA,C02003_013EA,C02003_013MA,C02003_014MA,C02003_014EA,C02003_015EA,C02003_015MA,C02003_016MA,C02003_016EA,C02003_017EA,C02003_017MA,C02003_018EA,C02003_018MA,C02003_019EA,C02003_019MA,NAME,C02003_001EA,C02003_001MA,C02003_002MA,C02003_002EA,C02003_003EA,C02003_003MA,C02003_004EA,C02003_004MA,C02003_005MA,C02003_005EA,C02003_006EA,C02003_006MA,C02003_007MA,C02003_007EA,C02003_008EA,C02003_008MA,C02003_009MA,C02003_009EA,C02003_010EA,C02003_010MA,C02003_011MA,C02003_011EA,state
79659,6545,29225,4441,25186,2417,10710,2146,4856,2494,9682,2301,5186,2079,119,122,0400000US01,4849377,-555555555,4764413,6399,3320273,6197,1291826,7415,22553,2263,58456,3055,1446,723,69859,6642,84964,6399,5747,1716,79217,6270,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
57656,3808,8185,2613,32047,2878,7658,1666,1599,769,8167,2136,4791,1607,361,415,0400000US02,736732,-555555555,673924,4350,483584,2777,24790,2506,103273,3251,43915,2139,8395,1144,9967,2196,62808,4350,3340,1322,59468,4093,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
206222,10576,50751,5349,50289,5339,36885,4408,6567,2124,61730,5785,14930,2865,2951,1702,0400000US04,6731484,-555555555,6507381,10975,5273335,23780,280518,6306,294757,5954,212116,4644,12721,1540,433934,21381,224103,10975,48297,5481,175806,10287,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
61807,5637,18285,3327,26867,2187,8273,1744,1430,1275,6952,2439,2465,927,215,286,0400000US05,2966369,-555555555,2901882,5713,2322472,6143,468231,4648,17091,2248,36555,2279,7148,2176,50385,5783,64487,5713,5166,1535,59321,5447,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
1623204,26250,261756,12233,291835,11853,496377,16272,37707,3921,535529,18378,140244,7727,16341,3684,0400000US06,38802500,-555555555,37022711,27724,23814044,55051,2259681,15273,286631,13165,5398090,18287,150072,5167,5114193,54578,1779789,27724,381235,15696,1398554,25820,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
168728,9078,36234,3524,43001,3890,38365,3838,6496,2479,44632,4401,14548,2914,1052,586,0400000US08,5355866,-555555555,5171538,9649,4520381,14471,215446,4979,55784,5557,157958,4063,6679,1548,215290,14446,184328,9649,34186,3782,150142,8059,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
94953,7344,28079,3837,11867,1211,22110,3350,4912,1480,27985,4667,8648,2713,232,264,0400000US09,3596677,-555555555,3492844,7876,2763949,11640,371857,7049,7085,1449,151402,3740,1019,668,197532,12084,103833,7876,23831,4290,80002,6679,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
21994,3311,13071,2844,2368,790,2355,890,838,510,3362,1201,1994,1210,129,155,0400000US10,935614,-555555555,911497,3277,647533,4080,203326,3317,3284,911,36172,888,216,252,20966,3483,24117,3277,1881,733,22236,3257,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
14919,2402,3926,1233,2023,1386,5726,1232,723,373,2521,735,1785,627,27,43,0400000US11,658893,-555555555,642162,2508,265077,3969,321346,2832,1859,722,24910,1142,172,198,28798,4648,16731,2508,1379,487,15352,2430,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
438806,18609,154913,10171,67840,4501,85999,7667,11540,2605,118514,10021,30716,4488,6283,2277,0400000US12,19893297,-555555555,19417492,19977,15113860,28793,3221160,14886,53014,5155,524583,7659,15149,3314,489726,24853,475805,19977,84510,9271,391295,17549,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
