GEO_ID,C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,NAME,C15002D_001EA,C15002D_001MA,C15002D_002MA,C15002D_002EA,C15002D_003MA,C15002D_003EA,C15002D_004EA,C15002D_004MA,C15002D_005EA,C15002D_005MA,C15002D_006EA,C15002D_006MA,C15002D_007EA,C15002D_007MA,C15002D_008MA,C15002D_008EA,C15002D_009MA,C15002D_009EA,C15002D_010EA,C15002D_010MA,C15002D_011EA,C15002D_011MA,state
0400000US01,38683,2090,16596,1501,2102,734,3316,955,2603,766,8575,1275,22087,1429,3515,852,4198,1221,3970,1078,10404,1533,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,26908,1053,12293,776,1370,621,3797,860,3634,778,3492,800,14615,633,3389,741,3263,743,3389,678,4574,809,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,143588,2455,63671,1805,7193,1498,8380,1397,13352,1910,34746,2096,79917,1770,12772,1502,13268,1971,15976,2063,37901,2243,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,25465,1492,10898,942,747,504,1859,590,2137,766,6155,787,14567,1215,2794,947,3136,893,1966,727,6671,1052,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3888609,9927,1783616,5307,193803,6217,260285,8027,409144,8472,920384,10886,2104993,6723,302413,8871,316497,9065,461939,10145,1024144,12205,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,107878,2337,47472,1458,7138,1376,6282,1235,9353,1517,24699,1796,60406,1704,8850,1265,10186,1468,10481,1303,30889,2073,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,102025,2024,47328,1429,4134,1029,5251,1177,5073,1063,32870,1699,54697,1280,6498,1247,7504,1367,6639,1295,34056,1632,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24017,527,11294,523,682,396,774,566,1201,471,8637,849,12723,503,1535,642,1050,435,1982,634,8156,929,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18798,700,7414,550,692,500,552,336,904,589,5266,709,11384,411,1015,492,371,271,872,392,9126,595,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,373289,4660,164596,2923,20493,2527,27723,3022,36890,3611,79490,3892,208693,3351,33134,2768,40888,3404,47058,3285,87613,4005,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
