GEO_ID,B13004_001E,B13004_001M,B13004_002E,B13004_002M,B13004_003E,B13004_003M,B13004_004E,B13004_004M,B13004_005E,B13004_005M,B13004_006E,B13004_006M,B13004_007E,B13004_007M,B13004_008E,B13004_008M,B13004_009E,B13004_009M,B13004_010E,B13004_010M,B13004_011E,B13004_011M,NAME,B13004_001MA,B13004_001EA,B13004_002EA,B13004_002MA,B13004_003EA,B13004_003MA,B13004_004MA,B13004_004EA,B13004_005MA,B13004_005EA,B13004_006MA,B13004_006EA,B13004_007EA,B13004_007MA,B13004_008EA,B13004_008MA,B13004_009EA,B13004_009MA,B13004_010MA,B13004_010EA,B13004_011MA,B13004_011EA,state
0400000US01,1125700,3958,58110,3923,34111,2971,23999,2589,3990,1161,20009,2591,1067590,5714,474447,8421,593143,8687,51484,3617,541659,9067,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,171465,2219,11674,1692,8838,1442,2836,740,1144,442,1692,598,159791,2246,72657,2796,87134,3263,15543,1848,71591,3444,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1531381,4217,82514,5257,48730,3703,33784,3873,10224,2043,23560,3310,1448867,6767,617792,10331,831075,11055,119985,6258,711090,10789,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,675248,4613,40125,2984,24304,2384,15821,1832,3722,1028,12099,1493,635123,5724,303455,6266,331668,7578,41857,3716,289811,7834,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9480437,10656,469952,12277,316697,9917,153255,6357,48774,3708,104481,4947,9010485,16619,3848046,23262,5162439,23152,610834,11998,4551605,24655,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1265972,4478,70111,5305,47369,3362,22742,3093,6734,1378,16008,2790,1195861,6658,565263,9258,630598,8903,96060,5694,534538,10150,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,815147,3183,41467,3732,27732,2627,13735,2161,5021,1320,8714,1614,773680,5040,318923,6210,454757,7287,53769,3507,400988,7937,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,212238,2048,10898,1353,6749,1181,4149,829,1522,609,2627,721,201340,2396,81549,3286,119791,3536,12466,2069,107325,3739,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,183653,1698,9759,1795,5096,1047,4663,1416,447,303,4216,1389,173894,1977,46952,2717,126942,3349,11754,1454,115188,3414,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4428892,8075,211293,7970,125241,5455,86052,5629,21970,2900,64082,5288,4217599,12188,1727387,17249,2490212,17947,300021,9594,2190191,19355,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
