B20017D_001E,B20017D_001M,B20017D_002E,B20017D_002M,B20017D_003E,B20017D_003M,B20017D_004E,B20017D_004M,B20017D_005E,B20017D_005M,B20017D_006E,B20017D_006M,B20017D_007E,B20017D_007M,GEO_ID,B20017D_001EA,B20017D_001MA,B20017D_002EA,B20017D_002MA,B20017D_003MA,B20017D_003EA,B20017D_004MA,B20017D_004EA,B20017D_005EA,B20017D_005MA,B20017D_006EA,B20017D_006MA,B20017D_007EA,B20017D_007MA,NAME,state
30931,8359,43841,8920,55392,6579,8672,5538,22136,3512,29226,10648,10343,2436,0400000US01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,01
26067,3701,30336,3730,40508,3482,16681,3166,21393,1641,32120,3478,11327,1888,0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,02
36173,1984,48838,7336,61458,1583,10558,2057,29036,3458,44148,3042,10797,1211,0400000US04,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,04
35946,8603,52293,7375,61418,3930,10361,4696,26304,3349,30634,3206,15232,5986,0400000US05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,05
40470,322,46320,685,61179,491,13821,698,35236,578,51289,461,12353,268,0400000US06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,06
32784,2285,39067,4720,55564,7283,12391,4994,30020,3137,40426,3503,10691,1385,0400000US08,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,08
47507,3364,60467,5044,72025,2996,19867,1727,35724,5399,60941,5109,12173,1681,0400000US09,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,09
51475,11903,70593,5939,73780,8941,9577,6271,23492,3590,37568,46490,13849,5139,0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,10
49918,9962,75195,7572,85963,19294,10613,7934,44955,5329,68542,13215,5610,2261,0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,11
28993,1679,33293,4188,46916,2411,11624,742,25827,999,37367,2597,12450,1204,0400000US12,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,12
35149,3804,42383,3738,55482,5511,12899,2404,26825,2532,41354,2494,10764,992,0400000US13,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,13
