GEO_ID,B05009_001E,B05009_001M,B05009_002E,B05009_002M,B05009_003E,B05009_003M,B05009_004E,B05009_004M,B05009_005E,B05009_005M,B05009_006E,B05009_006M,B05009_007E,B05009_007M,B05009_008E,B05009_008M,B05009_009E,B05009_009M,B05009_010E,B05009_010M,B05009_011E,B05009_011M,B05009_012E,B05009_012M,B05009_013E,B05009_013M,B05009_014E,B05009_014M,B05009_015E,B05009_015M,B05009_016E,B05009_016M,B05009_017E,B05009_017M,B05009_018E,B05009_018M,B05009_019E,B05009_019M,B05009_020E,B05009_020M,B05009_021E,B05009_021M,B05009_022E,B05009_022M,B05009_023E,B05009_023M,B05009_024E,B05009_024M,B05009_025E,B05009_025M,B05009_026E,B05009_026M,B05009_027E,B05009_027M,B05009_028E,B05009_028M,B05009_029E,B05009_029M,B05009_030E,B05009_030M,B05009_031E,B05009_031M,B05009_032E,B05009_032M,B05009_033E,B05009_033M,B05009_034E,B05009_034M,B05009_035E,B05009_035M,B05009_036E,B05009_036M,B05009_037E,B05009_037M,NAME,B05009_001MA,B05009_001EA,B05009_002EA,B05009_002MA,B05009_003EA,B05009_003MA,B05009_004MA,B05009_004EA,B05009_005EA,B05009_005MA,B05009_006MA,B05009_006EA,B05009_007MA,B05009_007EA,B05009_008EA,B05009_008MA,B05009_009MA,B05009_009EA,B05009_010EA,B05009_010MA,B05009_011EA,B05009_011MA,B05009_012MA,B05009_012EA,B05009_013EA,B05009_013MA,B05009_014EA,B05009_014MA,B05009_015EA,B05009_015MA,B05009_016MA,B05009_016EA,B05009_017MA,B05009_017EA,B05009_018EA,B05009_018MA,B05009_019EA,B05009_019MA,B05009_020EA,B05009_020MA,B05009_021MA,B05009_021EA,B05009_022MA,B05009_022EA,B05009_023MA,B05009_023EA,B05009_024EA,B05009_024MA,B05009_025EA,B05009_025MA,B05009_026EA,B05009_026MA,B05009_027MA,B05009_027EA,B05009_028MA,B05009_028EA,B05009_029EA,B05009_029MA,B05009_030EA,B05009_030MA,B05009_031EA,B05009_031MA,B05009_032MA,B05009_032EA,B05009_033MA,B05009_033EA,B05009_034MA,B05009_034EA,B05009_035EA,B05009_035MA,B05009_036EA,B05009_036MA,B05009_037EA,B05009_037MA,state
0400000US01,1036087,7021,330483,5699,190255,5924,189509,5841,746,426,168329,5945,11798,2240,11347,2114,451,371,10128,2230,10128,2230,0,189,140228,6109,139817,6121,411,327,133257,5840,6971,1988,6605,2030,366,317,705604,7039,434238,7903,425934,7808,8304,1806,395602,7686,23731,2734,18246,2636,5485,1469,14905,3319,13553,2871,1352,981,271366,8241,268214,8305,3152,1129,259535,8151,11831,2493,9425,2147,2406,972,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175939,2151,61427,1757,41922,2440,41410,2376,512,453,36390,2046,2402,1347,2144,1178,258,355,3130,861,3103,855,27,53,19505,2347,19505,2347,0,145,17957,2155,1548,1093,1548,1093,0,145,114512,2306,80113,3752,77734,3679,2379,1304,67891,3554,5428,1922,3424,1301,2004,1288,6794,1549,6621,1554,173,130,34399,3361,33706,3270,693,759,31184,2976,3215,1619,2578,1433,637,746,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1524523,6689,499076,6950,305127,8527,299175,8528,5952,1566,202894,6104,55889,4923,51147,4481,4742,1467,46344,4752,45537,4785,807,554,193949,8125,191582,8048,2367,942,156508,7496,37441,4451,35522,4239,1919,901,1025447,6881,650602,13781,622062,13847,28540,3520,436093,11574,133831,8797,110689,8323,23142,3248,80678,6151,77336,6053,3342,1213,374845,12846,359049,12925,15796,2166,288043,12093,86802,6866,72086,6734,14716,2096,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,659918,5132,217002,4682,127992,4730,127114,4775,878,706,107567,4693,13564,1964,12686,1764,878,706,6861,1693,6861,1693,0,190,89010,4812,88736,4832,274,259,81991,4603,7019,1795,6917,1780,102,116,442916,5148,272743,8814,267414,8643,5329,1539,233200,7590,26597,3413,22552,2943,4045,1472,12946,2582,12543,2588,403,282,170173,7505,167909,7435,2264,1183,157412,6986,12761,2640,10745,2678,2016,1055,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8721788,13757,2895155,11844,1875732,20108,1835469,20628,40263,3099,909898,17844,613180,15083,576867,14905,36313,3107,352654,12046,349415,11783,3239,1015,1019423,19285,1001221,19394,18202,2263,682533,18378,336890,12419,320582,12461,16308,2120,5826633,16339,3849607,25998,3584861,26641,264746,10470,1658842,23210,1599542,22050,1358173,20832,241369,10404,591223,16546,573848,16573,17375,2146,1977026,26442,1869417,26388,107609,6051,1188519,19880,788507,19514,687564,18338,100943,5859,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1197828,5419,392952,5065,283784,7471,278993,7367,4791,1210,216206,6295,40430,3681,37033,3616,3397,1028,27148,3139,26655,3058,493,420,109168,6410,108196,6457,972,511,91070,6238,18098,2927,17284,2825,814,435,804876,5990,547266,9112,525456,9312,21810,2743,411110,9679,88951,5919,72441,5181,16510,2638,47205,4257,46293,4196,912,376,257610,8798,250042,8844,7568,1823,208561,8657,49049,5299,42622,5034,6427,1738,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,744456,3956,221557,3312,144083,5050,138209,4923,5874,1419,98881,4376,29788,3186,24329,2842,5459,1384,15414,2427,15317,2445,97,110,77474,3883,76912,3875,562,364,68116,4157,9358,1720,8958,1685,400,312,522899,5009,348040,7442,330755,7478,17285,2769,255992,7156,56171,4477,42003,3857,14168,2665,35877,4537,34793,4435,1084,649,174859,7210,168044,7041,6815,1780,146096,6389,28763,3658,23852,3246,4911,1535,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,190578,2472,64487,2152,36974,2548,36738,2562,236,231,28202,2213,6064,1274,5828,1257,236,231,2708,954,2708,954,0,185,27513,2483,27184,2422,329,366,23360,2369,4153,1680,3824,1626,329,366,126091,2870,73817,3964,70559,3956,3258,1098,61310,3941,10196,1403,7521,1492,2675,1048,2311,765,2137,715,174,166,52274,4083,51031,4100,1243,545,46854,4095,5420,1359,4528,1213,892,484,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,106942,1891,45895,1229,25581,2125,24099,2028,1482,887,15714,1605,6436,1728,5214,1516,1222,798,3431,957,3431,957,0,198,20314,2275,20045,2187,269,319,17783,2097,2531,1098,2262,1042,269,319,61047,1827,24815,2492,22345,2488,2470,922,15220,2352,6065,1402,4173,1263,1892,844,3530,1076,3253,1048,277,361,36232,2640,34084,2643,2148,1047,30051,2537,6181,1953,4175,1717,2006,1046,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3837835,12306,1242026,11463,722584,15768,707617,15688,14967,2641,444685,12017,168192,8881,154599,8989,13593,2410,109707,7487,109071,7523,636,430,519442,13535,509430,13360,10012,2124,402563,12004,116879,8656,108373,8215,8506,1992,2595809,15152,1567752,23697,1453158,22175,114594,6911,970773,20241,389642,13731,288806,12955,100836,6856,207337,10873,198402,10790,8935,1827,1028057,23046,970662,23219,57395,5510,762644,22168,265413,12301,212769,10579,52644,4986,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
