GEO_ID,B27013_001E,B27013_001M,B27013_002E,B27013_002M,B27013_003E,B27013_003M,B27013_004E,B27013_004M,B27013_005E,B27013_005M,B27013_006E,B27013_006M,B27013_007E,B27013_007M,B27013_008E,B27013_008M,B27013_009E,B27013_009M,B27013_010E,B27013_010M,B27013_011E,B27013_011M,B27013_012E,B27013_012M,B27013_013E,B27013_013M,B27013_014E,B27013_014M,B27013_015E,B27013_015M,B27013_016E,B27013_016M,B27013_017E,B27013_017M,B27013_018E,B27013_018M,B27013_019E,B27013_019M,B27013_020E,B27013_020M,B27013_021E,B27013_021M,B27013_022E,B27013_022M,B27013_023E,B27013_023M,B27013_024E,B27013_024M,B27013_025E,B27013_025M,B27013_026E,B27013_026M,B27013_027E,B27013_027M,B27013_028E,B27013_028M,B27013_029E,B27013_029M,B27013_030E,B27013_030M,B27013_031E,B27013_031M,B27013_032E,B27013_032M,B27013_033E,B27013_033M,B27013_034E,B27013_034M,B27013_035E,B27013_035M,B27013_036E,B27013_036M,B27013_037E,B27013_037M,B27013_038E,B27013_038M,B27013_039E,B27013_039M,B27013_040E,B27013_040M,B27013_041E,B27013_041M,B27013_042E,B27013_042M,B27013_043E,B27013_043M,B27013_044E,B27013_044M,B27013_045E,B27013_045M,B27013_046E,B27013_046M,NAME,B27013_001MA,B27013_001EA,B27013_002EA,B27013_002MA,B27013_003EA,B27013_003MA,B27013_004MA,B27013_004EA,B27013_005MA,B27013_005EA,B27013_006EA,B27013_006MA,B27013_007EA,B27013_007MA,B27013_008EA,B27013_008MA,B27013_009EA,B27013_009MA,B27013_010MA,B27013_010EA,B27013_011EA,B27013_011MA,B27013_012MA,B27013_012EA,B27013_013EA,B27013_013MA,B27013_014EA,B27013_014MA,B27013_015MA,B27013_015EA,B27013_016EA,B27013_016MA,B27013_017MA,B27013_017EA,B27013_018EA,B27013_018MA,B27013_019EA,B27013_019MA,B27013_020EA,B27013_020MA,B27013_021EA,B27013_021MA,B27013_022MA,B27013_022EA,B27013_023MA,B27013_023EA,B27013_024EA,B27013_024MA,B27013_025EA,B27013_025MA,B27013_026MA,B27013_026EA,B27013_027MA,B27013_027EA,B27013_028MA,B27013_028EA,B27013_029EA,B27013_029MA,B27013_030EA,B27013_030MA,B27013_031MA,B27013_031EA,B27013_032EA,B27013_032MA,B27013_033MA,B27013_033EA,B27013_034MA,B27013_034EA,B27013_035EA,B27013_035MA,B27013_036MA,B27013_036EA,B27013_037EA,B27013_037MA,B27013_038MA,B27013_038EA,B27013_039MA,B27013_039EA,B27013_040EA,B27013_040MA,B27013_041MA,B27013_041EA,B27013_042EA,B27013_042MA,B27013_043EA,B27013_043MA,B27013_044MA,B27013_044EA,B27013_045MA,B27013_045EA,B27013_046MA,B27013_046EA,state
0400000US01,3660536,3104,1464246,14840,830148,11274,796721,10358,681304,10547,115417,5498,33427,2453,26865,2209,6562,1241,634098,9405,613613,9372,545823,8756,67790,4194,20485,1973,16250,1679,4235,1010,773294,13512,331595,9019,293484,8661,173935,6355,119549,6299,38111,2339,25206,1645,12905,1604,441699,8243,406379,7977,274685,6945,131694,4969,35320,2550,23898,2039,11422,1544,1422996,12532,563118,8898,317576,8149,129896,6622,187680,7345,245542,3457,156093,3963,89449,4320,859878,9401,507594,8653,256495,8018,251099,6928,352284,4074,218292,5073,133992,3755,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,525296,1652,236468,5350,136813,3870,131834,3739,106985,3728,24849,2156,4979,1013,3943,945,1036,342,99655,3582,95762,3498,79428,3974,16334,1854,3893,729,3022,692,871,370,160370,4818,80672,3251,73346,3333,44069,3104,29277,2067,7326,1030,4472,868,2854,686,79698,3586,74669,3607,46518,2958,28151,2572,5029,789,2883,615,2146,617,128458,4243,51448,2819,29853,2460,11866,1916,17987,2006,21595,1365,12323,1329,9272,1088,77010,3316,50814,3018,26072,2235,24742,2281,26196,1325,14423,1397,11773,1551,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5002498,2411,1987208,18009,1147323,12631,1107085,12301,867128,12025,239957,7562,40238,2820,25950,1969,14288,1705,839885,12944,813626,12875,682795,13030,130831,5693,26259,2328,18224,1695,8035,1333,1160959,14098,530117,11518,469089,11170,250796,8561,218293,8326,61028,3510,33602,2429,27426,2308,630842,11125,573282,10177,349283,8199,223999,8776,57560,3496,32375,2241,25185,2440,1854331,16048,747499,9804,361825,8153,133578,4616,228247,7822,385674,4277,221014,5484,164660,4934,1106832,12327,619585,11706,277203,8278,342382,9260,487247,4341,263256,6433,223991,6792,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2210565,2640,910330,12000,522479,8165,499332,8125,406265,9419,93067,5950,23147,2033,16379,2046,6768,1369,387851,8341,374270,7759,319250,6802,55020,4622,13581,1609,10447,1437,3134,784,468802,10381,204512,5550,180126,5332,95802,4883,84324,3900,24386,2304,15200,1783,9186,1362,264290,8445,239303,7606,145509,5550,93794,5077,24987,2432,15731,1815,9256,1437,831433,11526,336030,7087,181867,6736,67638,4514,114229,5903,154163,2785,91227,3001,62936,2639,495403,8601,287337,7934,127787,5850,159550,6468,208066,3131,122181,2991,85885,2876,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,29162324,5744,11801502,44706,6965678,27458,6700841,26511,5305733,26094,1395108,21361,264837,5920,189421,5010,75416,3724,4835824,28944,4673304,27655,3917061,25940,756243,14487,162520,6154,116351,5176,46169,3062,7456911,41515,3391315,27307,3106881,27123,1745731,18859,1361150,20694,284434,6719,164369,5441,120065,4203,4065596,30078,3782895,28434,2396758,24166,1386137,17442,282701,7021,170786,5068,111915,5176,9903911,36800,3850510,24719,2230339,22870,934526,13004,1295813,20362,1620171,9068,804369,9727,815802,10683,6053401,29398,3770249,28280,1792196,18670,1978053,22047,2283152,9610,1087769,11302,1195383,11510,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4020590,3165,1870196,15323,1092984,9632,1053275,9303,871496,10670,181779,6888,39709,2468,28568,2013,11141,1514,777212,11043,754095,10798,652900,9885,101195,5560,23117,2015,17886,1838,5231,930,1069347,15310,473283,8801,422566,8798,261209,7242,161357,6539,50717,2905,29426,1998,21291,1983,596064,10992,546191,10263,377570,8297,168621,6230,49873,2493,30417,1768,19456,1854,1081047,9669,415844,7424,202937,7228,97694,4366,105243,5473,212907,3801,130258,3581,82649,3144,665203,7615,377246,7024,215148,6408,162098,5245,287957,3221,175724,4033,112233,4385,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2767261,1349,1205282,12350,689386,9143,654453,8346,570006,9184,84447,5672,34933,2333,27379,2140,7554,1020,515896,7733,494318,7814,435742,7981,58576,4255,21578,1825,17625,1621,3953,1135,749264,11191,315649,7170,278190,6707,182159,5448,96031,5540,37459,2232,24508,1760,12951,1298,433615,7555,392496,7481,277550,6704,114946,5684,41119,2312,27382,2156,13737,1483,812715,9912,319387,7075,158835,6310,71899,3763,86936,4344,160552,3384,99406,3173,61146,2898,493328,7448,255444,7239,138247,5939,117197,5537,237884,3029,144042,3637,93842,3494,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,717516,830,312369,5954,166710,3948,159362,3737,137125,3943,22237,2712,7348,1195,5484,975,1864,748,145659,4792,140950,4706,123137,4347,17813,2401,4709,972,3859,862,850,413,171250,5890,75901,3361,64365,3343,41577,2901,22788,2273,11536,1280,7800,1078,3736,863,95349,4442,86785,4227,60514,3131,26271,2991,8564,1133,5843,971,2721,743,233897,5586,96981,3642,48432,3378,24178,2461,24254,2886,48549,1422,36452,1492,12097,1355,136916,4104,67896,3599,33450,2763,34446,2790,69020,1421,47248,2149,21772,1914,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,533132,509,259919,6141,130207,4002,124986,3875,106247,4070,18739,2549,5221,949,4475,841,746,399,129712,3945,125155,3868,110333,3456,14822,1989,4557,864,4096,766,461,310,125801,4935,54061,3217,50737,3275,32741,2415,17996,2341,3324,712,2825,650,499,279,71740,3404,66349,3494,44545,2741,21804,2778,5391,924,4256,889,1135,397,147412,5094,61383,3253,40849,3004,15034,1905,25815,2562,20534,1301,13505,1227,7029,1432,86029,3651,53076,3757,22075,2524,31001,3012,32953,1504,20886,1454,12067,1369,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15537207,4034,6118910,34344,3401590,23204,3245135,22043,2457069,18683,788066,19118,156455,6230,95502,4136,60953,4014,2717320,20644,2619386,20854,2127260,20193,492126,13472,97934,5150,63213,4404,34721,2999,3378004,31083,1524282,20584,1320196,18345,697433,14788,622763,13169,204086,7235,103679,4506,100407,5782,1853722,20843,1655648,18521,1009662,17229,645986,13670,198074,7519,98974,5380,99100,4568,6040293,33129,2498983,22914,1182263,19742,470676,13820,711587,17053,1316720,9736,702130,10385,614590,9281,3541310,21306,1791080,19777,836269,15142,954811,19492,1750230,9195,875259,11064,874971,12410,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
