GEO_ID,B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,B15002F_018E,B15002F_018M,B15002F_019E,B15002F_019M,NAME,B15002F_001EA,B15002F_001MA,B15002F_002MA,B15002F_002EA,B15002F_003EA,B15002F_003MA,B15002F_004EA,B15002F_004MA,B15002F_005EA,B15002F_005MA,B15002F_006MA,B15002F_006EA,B15002F_007MA,B15002F_007EA,B15002F_008EA,B15002F_008MA,B15002F_009EA,B15002F_009MA,B15002F_010EA,B15002F_010MA,B15002F_011EA,B15002F_011MA,B15002F_012MA,B15002F_012EA,B15002F_013MA,B15002F_013EA,B15002F_014EA,B15002F_014MA,B15002F_015EA,B15002F_015MA,B15002F_016EA,B15002F_016MA,B15002F_017MA,B15002F_017EA,B15002F_018EA,B15002F_018MA,B15002F_019EA,B15002F_019MA,state
0400000US01,33104,3068,17721,1969,6971,1660,3176,1117,3610,1038,334,280,1344,654,925,589,936,492,425,499,15383,1712,4435,1147,2133,986,3055,927,0,189,2652,844,703,386,2175,762,230,153,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,240748,11378,119803,6671,21824,3096,23422,3407,28570,3155,6366,1326,22280,2880,5911,1349,8475,1862,2955,1090,120945,5886,25376,2714,19207,2633,25983,3298,5295,1243,25612,2724,7986,1667,8200,1437,3286,842,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24595,2854,14140,2024,6609,1600,2850,1024,2158,700,423,262,1533,676,43,75,275,210,249,390,10455,1483,4250,1061,1564,721,1709,533,675,329,1048,480,86,86,767,400,356,380,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2932618,31530,1489077,19228,379137,9734,252526,7993,373767,10550,46921,3454,248749,7577,65840,4325,94420,5070,27717,2826,1443541,17332,381343,9606,221652,7647,319842,8892,34684,3181,261062,8823,79273,4444,109723,5741,35962,3326,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,122526,7678,63200,4095,13696,2144,10100,1703,13254,2181,3188,860,12129,2073,3879,1024,4961,1387,1993,751,59326,4483,11123,1788,8137,1929,13333,2211,3657,970,11312,1633,4537,1125,4994,1369,2233,921,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,116400,7266,59693,4383,12259,2919,9303,2017,17909,3017,4196,1239,8365,2013,1217,634,4047,1296,2397,846,56707,3846,10056,2166,8302,1539,16194,2275,2917,938,10133,1939,3418,1160,3282,773,2405,986,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11613,1918,6179,1216,1721,922,650,540,1939,675,70,84,426,294,814,647,391,301,168,173,5434,1165,1175,599,1036,543,942,582,64,104,686,425,376,239,865,509,290,251,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17672,3185,9842,2064,3857,1377,1871,879,1225,517,1029,748,211,187,88,156,530,348,1031,719,7830,1504,2039,1198,1097,617,1431,584,162,169,801,838,345,318,987,483,968,550,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,306496,15981,152352,9072,27558,3748,19125,3045,35705,3806,5100,1681,27282,3801,11846,2357,17874,2383,7862,1850,154144,9627,23742,3466,14738,1968,31753,3017,7147,1852,26175,3060,18442,2926,23887,3453,8260,1562,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
